,../parameterization/kapp/datasets/Rabinowitz2023_batchGlc_using_MFA_and_scRBA_methods/min_flux_violation/enz_alloc.flux_unscaled.txt,diff,../parameterization/kapp/datasets/PinheiroEtAl2020_batchXyl/min_flux_violation/enz_alloc.flux_unscaled.txt,../application/max_growth_xyl/gxf1_disabled/mu_max_on_glc_with_xyl/runRBA.flux.txt
RXN-EX_pnto__R_e_REV-SPONT,8.297142583706386e-07,-73.95746598059831,4.709337052267079e-09,2.16078618e-07
RXN-EX_nh4_e_REV-SPONT,2.755274637876835,-48.87384741558335,0.1865287807536984,1.408665915480644
RXN-EX_co2_e_FWD-SPONT,16.058611568841,-60.46949032444553,2.877664328,6.3480509999804
RXN-EX_glc__D_e_REV-SPONT,5.184981033120129,0.0,,
RXN-EX_glyc_e_FWD-SPONT,1.470415603044728e-08,56575865.57752939,0.008319018254252065,
RXN-EX_fe2_e_REV-SPONT,0.0002577439893155414,-98.35504222571434,5.201549355655129e-07,4.23977979e-06
RXN-EX_nac_e_REV-SPONT,0.0004116836738819257,-78.9554966165969,2.7409099377914e-06,8.6636784679e-05
RXN-EX_o2_e_REV-SPONT,15.9678423,-66.26442696034195,2.769178152,5.386843101973914
RXN-EX_pi_e_REV-SPONT,0.2029823205197164,-59.537748997185545,0.01212571878507297,0.082131216020025
RXN-EX_so4_e_REV-SPONT,0.05877183010654259,-44.19113425228245,0.004331310049868504,0.032799891761637
RXN-EX_thm_e_REV-SPONT,2.541946528074178e-05,-42.8687914375506,1.001770092149066e-06,1.4522447725e-05
RXN-EX_h_e_FWD-SPONT,0.9578588010093141,37.14383615595116,0.7060788024068209,1.313644304661572
RXN-EX_k_e_REV-SPONT,0.2235663835411198,-99.97667578057798,1.197773992659432e-06,5.2145113851e-05
RXN-EX_h2o_e_FWD-SPONT,23.40853324074511,-54.662986830169615,2.925859081323388,10.612729798220734
RXN-EX_fe3_e_REV-SPONT,1.008340549992049e-06,-53.52467834367117,3.633611886248071e-09,4.68629514e-07
RXN-EX_ca2_e_REV-SPONT,0.0004871386916097914,-99.99449641581305,5.269985331174108e-09,2.6810088e-08
RXN-EX_cobalt2_e_REV-SPONT,1.790356325193921e-05,27.404097698425296,1.083283448141582e-06,2.2809873217e-05
RXN-EX_cu2_e_REV-SPONT,4.4e-05,-99.99418418409091,1.726744032705706e-10,2.558959e-09
RXN-EX_mg2_e_REV-SPONT,0.02372976486932122,-98.99905802707266,6.863562628969281e-06,0.000237521176654
RXN-EX_mn2_e_REV-SPONT,5.449911023128429e-05,-59.79716361236513,6.290048697792946e-07,2.1910188119e-05
RXN-EX_ni2_e_REV-SPONT,2.222919693653649e-06,452.4298888555956,1.071319717923737e-07,1.2280072793e-05
RXN-EX_zn2_e_REV-SPONT,0.0006944263507773316,-87.57217905348858,2.483730013047356e-05,8.630206348e-05
RXN-EX_btn_c_REV-SPONT,9.410915656403632e-06,-98.06684808745248,3.678641804502047e-08,1.81927296e-07
RXN-13BDGLUCANt_c_en_FWD-SPONT,0.2534818279041822,69.18201039576591,0.06341880991060274,0.428845652436231
RXN-13GS_c_FWD-rt7616,0.2534818279041822,69.18201039576591,0.06341880991060274,0.428845652436231
RXN-16GS_c_FWD-rt0150,0.0006972875635090566,0.0,,
RXN-16GS_c_FWD-rt3279,0.06600827141295558,117.00199939761964,0.0211825954255676,0.143239268733921
RXN-1MLCLAT_mm_FWD-rt8106,0.002603214539490667,0.0,,
RXN-1MLCLAT_mm_REV-rt8106,0.002603214539490667,0.0,,
RXN-2OBUTt_c_m_FWD-SPONT,0.01494739250368587,-42.20197727958478,0.0001965226032181532,0.00863929731539
RXN-2OXOADPt_c_m_FWD-rt2267,0.1025290004369071,-45.80342733523166,0.008189350366359798,0.055567204224249
RXN-3HACD200_rm_FWD-rt2309,0.004417724913049033,16.607036103785227,0.0007617991826465602,0.005151378084325
RXN-3HACD220_rm_FWD-rt2309,0.004417724913049033,16.607036103785227,0.0007617991826465602,0.005151378084325
RXN-3HACD240_rm_FWD-rt2309,0.003394611847186232,9.528951184945953,0.0005498397430551877,0.003718082753023
RXN-3HACD260_rm_FWD-rt2309,0.0003702952715397758,0.0,,
RXN-3HAD100_c_FWD-rt0302,0.0560469765025905,124.08464293419664,0.018572970112325,0.125592667171243
RXN-3HAD120_c_FWD-rt0302,0.0560469765025905,124.08464293419664,0.018572970112325,0.125592667171243
RXN-3HAD140_c_FWD-rt0302,0.0560469765025905,124.08464293419664,0.018572970112325,0.125592667171243
RXN-3HAD160_c_FWD-rt0302,0.0560469765025905,124.08464293419664,0.018572970112325,0.125592667171243
RXN-3HAD180_c_FWD-rt0302,0.04606294348987613,126.2240710019772,0.01541017520284488,0.104205465986138
RXN-3HAD40_c_FWD-rt0302,0.0560469765025905,124.08464293419664,0.018572970112325,0.125592667171243
RXN-3HAD40_m_FWD-rt7207_m,0.0011249378931418,-52.007766706425016,0.0005398828180844399,
RXN-3HAD40_m_REV-rt7207_m,0.0011249378931418,-52.00776670642503,0.0005398828180844398,
RXN-3HAD60_c_FWD-rt0302,0.0560469765025905,124.08464293419664,0.018572970112325,0.125592667171243
RXN-3HAD80_c_FWD-rt0302,0.0560469765025905,124.08464293419664,0.018572970112325,0.125592667171243
RXN-3HBRDH_c_FWD-rt4427,0.001589771990801322,0.0,,
RXN-3HBRDH_c_REV-rt4427,0.001589771990801322,0.0,,
RXN-3INDACNLAH_c_FWD-rt4042,0.003277271028242432,-86.8918569631142,0.0004295893740884362,
