id	rxn_src	enz	protein_stoich
RXN-12AMANTF_g_FWD-rt2093	12AMANTF_g	rt2093	rt2093:1
RXN-12AMANTF_g_FWD-rt7201	12AMANTF_g	rt7201	rt7201:1
RXN-13BDGLUCANt_c_en_FWD-SPONT	13BDGLUCANt_c_en		zeroCost
RXN-13BDGLUCANt_c_en_REV-SPONT	13BDGLUCANt_c_en		zeroCost
RXN-13BGH_e_FWD-rt5185	13BGH_e	rt5185	rt5185:1
RXN-13GS_c_FWD-rt7616	13GS_c	rt7616	rt7616:1
RXN-14BMANTF_c_FWD-rt6298	14BMANTF_c	rt6298	rt6298:1
RXN-14DMLANOSTt_c_e_FWD-SPONT	14DMLANOSTt_c_e		zeroCost
RXN-14DMLANOSTt_c_e_REV-SPONT	14DMLANOSTt_c_e		zeroCost
RXN-16GS_c_FWD-rt0150	16GS_c	rt0150	rt0150:1
RXN-16GS_c_FWD-rt3279	16GS_c	rt3279	rt3279:1
RXN-1AGPCt_l_rm_FWD-SPONT	1AGPCt_l_rm		zeroCost
RXN-1AGPCt_l_rm_REV-SPONT	1AGPCt_l_rm		zeroCost
RXN-1AGPEt_l_rm_FWD-SPONT	1AGPEt_l_rm		zeroCost
RXN-1AGPEt_l_rm_REV-SPONT	1AGPEt_l_rm		zeroCost
RXN-1MLCLAT_mm_FWD-rt8106	1MLCLAT_mm	rt8106	rt8106:1
RXN-1MLCLAT_mm_REV-rt8106	1MLCLAT_mm	rt8106	rt8106:1
RXN-2DDA7Pt_c_m_FWD-SPONT	2DDA7Pt_c_m		zeroCost
RXN-2DDA7Pt_c_m_REV-SPONT	2DDA7Pt_c_m		zeroCost
RXN-2DHPt_c_m_FWD-SPONT	2DHPt_c_m		zeroCost
RXN-2DHPt_c_m_REV-SPONT	2DHPt_c_m		zeroCost
RXN-2DOXG6PP_c_FWD-rt0208	2DOXG6PP_c	rt0208	rt0208:1
RXN-2DOXG6PP_c_FWD-rt5045	2DOXG6PP_c	rt5045	rt5045:1
RXN-2MBACt_c_e_FWD-SPONT	2MBACt_c_e		zeroCost
RXN-2MBALDt_c_e_FWD-SPONT	2MBALDt_c_e		zeroCost
RXN-2MBALDt_c_e_REV-SPONT	2MBALDt_c_e		zeroCost
RXN-2MBALDt_c_m_FWD-SPONT	2MBALDt_c_m		zeroCost
RXN-2MBALDt_c_m_REV-SPONT	2MBALDt_c_m		zeroCost
RXN-2MBTOHt_c_e_FWD-SPONT	2MBTOHt_c_e		zeroCost
RXN-2MBTOHt_c_e_REV-SPONT	2MBTOHt_c_e		zeroCost
RXN-2MBTOHt_c_m_FWD-SPONT	2MBTOHt_c_m		zeroCost
RXN-2MBTOHt_c_m_REV-SPONT	2MBTOHt_c_m		zeroCost
RXN-2OBUTt_c_m_FWD-SPONT	2OBUTt_c_m		zeroCost
RXN-2OBUTt_c_m_REV-SPONT	2OBUTt_c_m		zeroCost
RXN-2OGMAH_c_FWD-rt6557	2OGMAH_c	rt6557	rt6557:1
RXN-2OSUCAH_c_FWD-rt6557	2OSUCAH_c	rt6557	rt6557:1
RXN-2OXOADPt_c_m_FWD-rt2267	2OXOADPt_c_m	rt2267	rt2267:1
RXN-2OXOADPt_c_m_REV-rt2267	2OXOADPt_c_m	rt2267	rt2267:1
RXN-2PHETOHt_c_e_FWD-SPONT	2PHETOHt_c_e		zeroCost
RXN-2PHETOHt_c_e_REV-SPONT	2PHETOHt_c_e		zeroCost
RXN-2PHETOHt_c_m_FWD-SPONT	2PHETOHt_c_m		zeroCost
RXN-2PHETOHt_c_m_REV-SPONT	2PHETOHt_c_m		zeroCost
RXN-3C3HMPt_c_e_FWD-SPONT	3C3HMPt_c_e		zeroCost
RXN-3C3HMPt_c_e_REV-SPONT	3C3HMPt_c_e		zeroCost
RXN-3C3HMPt_c_m_FWD-SPONT	3C3HMPt_c_m		zeroCost
RXN-3C3HMPt_c_m_REV-SPONT	3C3HMPt_c_m		zeroCost
RXN-3C4MOPt_c_m_FWD-SPONT	3C4MOPt_c_m		zeroCost
RXN-3C4MOPt_c_m_REV-SPONT	3C4MOPt_c_m		zeroCost
RXN-3DHSKD_c_FWD-rt3472	3DHSKD_c	rt3472	rt3472:1
RXN-3DHSKD_c_REV-rt3472	3DHSKD_c	rt3472	rt3472:1
RXN-3DSPHR_r_FWD-rt1611	3DSPHR_r	rt1611	rt1611:1
RXN-3HACD200_rm_FWD-rt2309	3HACD200_rm	rt2309	rt2309:1
RXN-3HACD200_rm_REV-rt2309	3HACD200_rm	rt2309	rt2309:1
RXN-3HACD220_rm_FWD-rt2309	3HACD220_rm	rt2309	rt2309:1
RXN-3HACD220_rm_REV-rt2309	3HACD220_rm	rt2309	rt2309:1
RXN-3HACD240_rm_FWD-rt2309	3HACD240_rm	rt2309	rt2309:1
RXN-3HACD240_rm_REV-rt2309	3HACD240_rm	rt2309	rt2309:1
RXN-3HACD260_rm_FWD-rt2309	3HACD260_rm	rt2309	rt2309:1
RXN-3HACD260_rm_REV-rt2309	3HACD260_rm	rt2309	rt2309:1
RXN-3HAD100_c_FWD-rt0302	3HAD100_c	rt0302	rt0302:1
RXN-3HAD120_c_FWD-rt0302	3HAD120_c	rt0302	rt0302:1
RXN-3HAD140_c_FWD-rt0302	3HAD140_c	rt0302	rt0302:1
RXN-3HAD160_c_FWD-rt0302	3HAD160_c	rt0302	rt0302:1
RXN-3HAD180_c_FWD-rt0302	3HAD180_c	rt0302	rt0302:1
RXN-3HAD40_c_FWD-rt0302	3HAD40_c	rt0302	rt0302:1
RXN-3HAD40_c_REV-rt0302	3HAD40_c	rt0302	rt0302:1
RXN-3HAD40_m_FWD-rt7207	3HAD40_m	rt7207	rt7207:1
RXN-3HAD40_m_REV-rt7207	3HAD40_m	rt7207	rt7207:1
RXN-3HAD60_c_FWD-rt0302	3HAD60_c	rt0302	rt0302:1
RXN-3HAD60_m_FWD-rt7207	3HAD60_m	rt7207	rt7207:1
RXN-3HAD60_m_REV-rt7207	3HAD60_m	rt7207	rt7207:1
RXN-3HAD80_c_FWD-rt0302	3HAD80_c	rt0302	rt0302:1
RXN-3HAD80_m_FWD-rt7207	3HAD80_m	rt7207	rt7207:1
RXN-3HAD80_m_REV-rt7207	3HAD80_m	rt7207	rt7207:1
RXN-3HAO_c_FWD-rt0234	3HAO_c	rt0234	rt0234:1
RXN-3HBHYOX_c_FWD-rt5813	3HBHYOX_c	rt5813	rt5813:1
RXN-3HBRDH_c_FWD-rt4427	3HBRDH_c	rt4427	rt4427:1
RXN-3HBRDH_c_REV-rt4427	3HBRDH_c	rt4427	rt4427:1
RXN-3HCINNMH_c_FWD-rt6518	3HCINNMH_c	rt6518	rt6518:1
RXN-3HPPPNH_c_FWD-rt6518	3HPPPNH_c	rt6518	rt6518:1
RXN-3HXPHBt_c_m_FWD-SPONT	3HXPHBt_c_m		zeroCost
RXN-3HXPHBt_c_m_REV-SPONT	3HXPHBt_c_m		zeroCost
RXN-3INDACNLAH_c_FWD-rt4042	3INDACNLAH_c	rt4042	rt4042:1
RXN-3INDACNLAH_c_REV-rt4042	3INDACNLAH_c	rt4042	rt4042:1
RXN-3IPM3MT_c_FWD-rt6691	3IPM3MT_c	rt6691	rt6691:1
RXN-3MBALDt_c_e_FWD-SPONT	3MBALDt_c_e		zeroCost
RXN-3MBALDt_c_e_REV-SPONT	3MBALDt_c_e		zeroCost
RXN-3MBALDt_c_m_FWD-SPONT	3MBALDt_c_m		zeroCost
RXN-3MBALDt_c_m_REV-SPONT	3MBALDt_c_m		zeroCost
