rxn,flux,lb,ub
13GS_c,0.06670597971826639,0.0,1000.0
16GS_c,0.017554184674219202,0.0,1000.0
PRMICI_c,0.008549182526026064,0.0,1000.0
ACHBS_m,0.0197690946911468,0.0,1000.0
AATA_c,0.17263503588265802,-1000.0,1000.0
IPPMIb_c,-0.03700775615466431,-1000.0,1000.0
HCITR_m,0.17263503588265797,-1000.0,1000.0
MCITS_m,2.1363407032983935e-16,0.0,1000.0
OMCDC_c,0.037007756154664305,0.0,1000.0
BPNT_c,0.2019958031663646,0.0,1000.0
DHQTi_c,0.0315048961363823,0.0,1000.0
DHQS_c,0.0315048961363823,0.0,1000.0
DDPA_c,0.0315048961363823,0.0,1000.0
HACD140i_x,-4.738282568421264e-16,0.0,1000.0
IPPMIa_c,-0.03700775615466431,-1000.0,1000.0
IPMD_c,0.037007756154664305,0.0,1000.0
PSCIT_c,0.031504896136382306,0.0,1000.0
PRFGS_c,0.01834592767139583,0.0,1000.0
MTHFR3_c,0.23319040127790494,0.0,1000.0
FTHFCL_c,-2.5615376725925665e-17,0.0,1000.0
KARA1i_m,0.0683730978898374,0.0,1000.0
ACLS_m,0.06837309788983742,0.0,1000.0
ACACT180i_x,0.1452965659306902,0.0,1000.0
ACACT160i_x,0.1452965659306902,0.0,1000.0
ACACT40ir_c,0.2552963357251909,0.0,1000.0
ACACT140i_x,-4.738282568421263e-16,0.0,1000.0
ACACT100i_x,3.5270589763794796e-17,0.0,1000.0
ACACT120i_x,-3.5862048787307475e-17,0.0,1000.0
ACGK_m,0.0472067190965515,0.0,1000.0
ACONT2_m,2.1363407032983935e-16,-1000.0,1000.0
ACOTAi_m,0.0472067190965515,0.0,1000.0
ACOAO160_x,0.14529656593069024,0.0,1000.0
ACOAO180_x,0.1452965659306902,0.0,1000.0
ACOAO140_x,-4.738282568421263e-16,0.0,1000.0
ADNK1_c,0.050963692802687206,0.0,1000.0
AHCi_c,0.05096369280268721,0.0,1000.0
ADK1_c,3.555431260248785,0.0,1000.0
ADK1_m,1.902098057147992e-15,0.0,1000.0
ADSL2i_c,0.01834592767139583,0.0,1000.0
ADSL1r_c,0.01579482465479038,-1000.0,1000.0
ADSS_c,0.015794824654790377,0.0,1000.0
ADSK_c,0.20199580316636456,0.0,1000.0
ALATRS_c,0.0432822757129132,0.0,1000.0
TRE6PS_c,0.013418898819459396,0.0,1000.0
ANPRT_c,0.004264937590227402,0.0,1000.0
ANS_c,0.004264937590227402,0.0,1000.0
ARGSL_c,0.024214274377416606,-1000.0,1000.0
ARGSS_c,0.024214274377416602,-1000.0,1000.0
ARGTRS_c,0.024214274377416602,0.0,1000.0
ASNS1_c,0.013600960029826902,0.0,1000.0
