rxn,flux,lb,ub
13GS_c,0.06670597971826639,0.0,1000.0
16GS_c,0.017554184674219202,0.0,1000.0
PRMICI_c,0.008549182526026064,0.0,1000.0
ACHBS_m,0.0197690946911468,0.0,1000.0
AATA_c,0.026940006845879008,-1000.0,1000.0
IPPMIb_c,-0.037007756154666886,-1000.0,1000.0
UNK3_c,-1.4327064993309162e-15,0.0,1000.0
HCITR_m,0.026940006845878998,-1000.0,1000.0
OMCDC_c,0.037007756154664305,0.0,1000.0
OMCDC_m,2.5720000512229935e-15,0.0,1000.0
BPNT_c,0.01243975640769038,0.0,1000.0
DHQTi_c,0.031504896136365444,0.0,1000.0
DHQS_c,0.031504896136365444,0.0,1000.0
DDPA_c,0.031504896136365444,0.0,1000.0
HACD140i_x,1.328522551978425e-14,0.0,1000.0
IPPMIa_c,-0.03700775615466688,-1000.0,1000.0
IPMD_c,0.03700775615466688,0.0,1000.0
PSCIT_c,0.031504896136365444,0.0,1000.0
PRFGS_c,0.018345927671412347,0.0,1000.0
MTHFR3_c,0.0221263115739814,0.0,1000.0
KARA1i_m,0.06837309788983999,0.0,1000.0
ACLS_m,0.06837309788983999,0.0,1000.0
ACACT40ir_c,0.031280523389798864,0.0,1000.0
ACACT100i_x,-2.2075541492346863e-14,0.0,1000.0
ACGK_m,0.0472067190965515,0.0,1000.0
ACOTAi_m,0.0472067190965515,0.0,1000.0
ACOAO140_x,1.3285225519784252e-14,0.0,1000.0
ADNK1_c,0.0136277240801223,0.0,1000.0
AHCi_c,0.0136277240801223,0.0,1000.0
ADK1_c,4.978469082388109,0.0,1000.0
ADK1_m,-1.9781819794339118e-14,0.0,1000.0
ADSL2i_c,0.018345927671412354,0.0,1000.0
ADSL1r_c,0.0157948246548069,-1000.0,1000.0
ADSS_c,0.0157948246548069,0.0,1000.0
ADSK_c,0.01243975640769144,0.0,1000.0
ALATRS_c,0.0432822757129132,0.0,1000.0
TRE6PS_c,0.013418898819459396,0.0,1000.0
ANPRT_c,0.004264937590227402,0.0,1000.0
ANS_c,0.004264937590227402,0.0,1000.0
ARGSL_c,0.024214274377416606,-1000.0,1000.0
ARGSS_c,0.024214274377416602,-1000.0,1000.0
ARGTRS_c,0.024214274377416602,0.0,1000.0
ASNS1_c,0.013600960029826902,0.0,1000.0
ASNTRS_c,0.013600960029826902,0.0,1000.0
ASPCT_c,0.019218842596688365,0.0,1000.0
ASPK_c,11.280067685101228,0.0,1000.0
ASPTA_c,-3.665385510661547,-1000.0,1000.0
ASAD_c,11.28006768510123,0.0,1000.0
ASPTRS_c,0.0229695228907398,0.0,1000.0
ATPPRT_c,0.008549182526026064,0.0,1000.0
