rxn,flux,lb,ub
13GS_c,0.06670597971826639,0.0,1000.0
16GS_c,0.017554184674219202,0.0,1000.0
PRMICI_c,0.008549182526026064,0.0,1000.0
ACHBS_m,0.0197690946911468,0.0,1000.0
AATA_c,0.026940006845871545,-1000.0,1000.0
IPPMIb_c,-0.03700775615466431,-1000.0,1000.0
HCITR_m,0.026940006845871542,-1000.0,1000.0
OMCDC_c,0.037007756154664305,0.0,1000.0
BPNT_c,0.012439756407691613,0.0,1000.0
DHQTi_c,5.413406391066983,0.0,1000.0
DHQS_c,5.413406391066983,0.0,1000.0
DDPA_c,5.4134063910669825,0.0,1000.0
HACD140i_x,-8.354869537074868e-16,0.0,1000.0
IPPMIa_c,-0.03700775615466431,-1000.0,1000.0
IPMD_c,0.037007756154664305,0.0,1000.0
PSCIT_c,5.413406391066983,0.0,1000.0
PRFGS_c,0.018345927671386104,0.0,1000.0
MTHFR3_c,8.094978553969883,0.0,1000.0
FTHFCL_c,4.1212915084350476e-15,0.0,1000.0
KARA1i_m,0.0683730978898374,0.0,1000.0
ACLS_m,0.06837309788983742,0.0,1000.0
ACACT180i_x,6.376986737459728e-16,0.0,1000.0
ACACT160i_x,6.376986737459727e-16,0.0,1000.0
ACACT40ir_c,0.03128052338980148,0.0,1000.0
ACACT100i_x,-3.456007916512678e-16,0.0,1000.0
ACACT120i_x,1.231274566834648e-16,0.0,1000.0
ACGK_m,0.0472067190965515,0.0,1000.0
ACOTAi_m,0.0472067190965515,0.0,1000.0
ACOAO160_x,6.365901898787569e-16,0.0,1000.0
ACOAO140_x,-8.354869537074868e-16,0.0,1000.0
ADNK1_c,8.086479966476022,0.0,1000.0
AHCi_c,8.086479966476023,0.0,1000.0
ADK1_c,9.085626954773382,0.0,1000.0
ADK1_m,1.217342756574715e-14,0.0,1000.0
ADSL2i_c,0.018345927671386108,0.0,1000.0
ADSL1r_c,0.01579482465478066,-1000.0,1000.0
ADSS_c,0.01579482465478066,0.0,1000.0
ADSK_c,0.012439756407692749,0.0,1000.0
ALATRS_c,0.0432822757129132,0.0,1000.0
TRE6PS_c,0.013418898819459396,0.0,1000.0
ANPRT_c,0.004264937590227402,0.0,1000.0
ANS_c,0.004264937590227402,0.0,1000.0
ARGSL_c,0.024214274377416606,-1000.0,1000.0
ARGSS_c,0.024214274377416602,-1000.0,1000.0
ARGTRS_c,0.024214274377416602,0.0,1000.0
ASNS1_c,0.013600960029826902,0.0,1000.0
ASNTRS_c,0.013600960029826902,0.0,1000.0
ASPCT_c,0.019218842596688365,0.0,1000.0
ASPK_c,0.05203634991706818,0.0,1000.0
ASPTA_c,16.359296812373856,-1000.0,1000.0
