rxn,flux,lb,ub
13GS_c,0.016771259275402597,0.0,1000.0
16GS_c,0.004413484125157231,0.0,1000.0
PRMICI_c,0.0021494408348740873,0.0,1000.0
ACHBS_m,0.004970358191357431,0.0,1000.0
AATA_c,0.006773273424685711,-1000.0,1000.0
IPPMIb_c,-0.00930451327290515,-1000.0,1000.0
HCITR_m,0.00677327342468571,-1000.0,1000.0
OMCDC_c,0.009304513272905147,0.0,1000.0
BPNT_c,0.0031276113613408285,0.0,1000.0
DHQTi_c,0.007920980754343072,0.0,1000.0
DHQS_c,0.007920980754343072,0.0,1000.0
DDPA_c,0.007920980754343073,0.0,1000.0
HACD140i_x,-1.2397696036273082e-15,0.0,1000.0
IPPMIa_c,-0.00930451327290515,-1000.0,1000.0
IPMD_c,0.009304513272905147,0.0,1000.0
PSCIT_c,0.007920980754343073,0.0,1000.0
MTAP_c,2.0725716770256328e-17,0.0,1000.0
PRFGS_c,0.004612544646285748,0.0,1000.0
MTHFR3_c,0.005563011139074547,0.0,1000.0
MDRPD_c,2.0725716770256328e-17,0.0,1000.0
MTRI_c,2.0725716770256328e-17,-1000.0,1000.0
KARA1i_m,0.017190407172131508,0.0,1000.0
ACLS_m,0.017190407172131508,0.0,1000.0
ACACT40ir_c,0.007864568817613785,0.0,1000.0
ACACT100i_x,4.30767484275002e-15,0.0,1000.0
ACACT120i_x,2.6881528278850225e-15,0.0,1000.0
ACGK_m,0.011868742935088997,0.0,1000.0
ACOTAi_m,0.011868742935088997,0.0,1000.0
ADD_c,2.0725716770255795e-17,0.0,1000.0
ADA_c,-2.070395704968487e-17,0.0,1000.0
ADNK1_c,0.003426290938933528,0.0,1000.0
AHCi_c,0.003426290938933507,0.0,1000.0
ADK1_c,1.8640359750942446,0.0,1000.0
ADK1_m,8.797203514309463e-16,0.0,1000.0
ADSL2i_c,0.004612544646285748,0.0,1000.0
ADSL1r_c,0.003971144725162402,-1000.0,1000.0
ADSS_c,0.003971144725162402,0.0,1000.0
ADSK_c,0.0031276113613408294,0.0,1000.0
ALATRS_c,0.010882056917184475,0.0,1000.0
TRE6PS_c,0.0033737879608703274,0.0,1000.0
ANPRT_c,0.0010722932849680877,0.0,1000.0
ANS_c,0.0010722932849680875,0.0,1000.0
ARGSL_c,0.006087968057205319,-1000.0,1000.0
ARGSS_c,0.006087968057205318,-1000.0,1000.0
ARGTRS_c,0.006087968057205318,0.0,1000.0
ASNS1_c,0.003419561904615147,0.0,1000.0
ASNTRS_c,0.003419561904615147,0.0,1000.0
ASPCT_c,0.004832013464513274,0.0,1000.0
ASPK_c,0.013083011746332723,0.0,1000.0
ASPTA_c,0.21059836190002867,-1000.0,1000.0
ASAD_c,0.013083011746332723,0.0,1000.0
ASPTRS_c,0.005775011857406293,0.0,1000.0
ATPPRT_c,0.0021494408348740873,0.0,1000.0
ATPASEP2e_c,0.07662938873252895,0.0,1000.0
C14STR_c,0.0013107614696022973,0.0,1000.0
C22STDSy_c,0.0013107614696022977,0.0,1000.0
C3STDH2_c,0.0013107614696022975,0.0,1000.0
C3STDH1_c,0.0013107614696022975,0.0,1000.0
C4STMO1_c,0.0013107614696022975,0.0,1000.0
C4STMO2_c,0.0013107614696022975,0.0,1000.0
C4STMO3_c,0.0013107614696022975,0.0,1000.0
C4STMO4_c,0.0013107614696022973,0.0,1000.0
C5STDS_c,0.0013107614696022975,0.0,1000.0
C8STI_c,0.0013107614696022975,0.0,1000.0
C24STR_r,0.0013107614696022977,0.0,1000.0
CBPS_c,0.010919981521718594,0.0,1000.0
CRNOAT_x,2.457411206504752e-15,0.0,1000.0
CAT_x,1.2287056032523763e-15,0.0,1000.0
CHTNS_c,0.00039650405831748105,0.0,1000.0
CHORM_c,0.006848687469374985,0.0,1000.0
CHORS_c,0.007920980754343072,0.0,1000.0
CS_m,1.6945346167022588,0.0,1000.0
CTPS2_c,0.003152653159187275,0.0,1000.0
CYSTS_c,0.0009908911611997873,0.0,1000.0
CYSTGL_c,0.0009908911611997873,0.0,1000.0
CYSTRS_c,0.0009908911611997873,0.0,1000.0
LNS14DMy_c,0.0013107614696022973,0.0,1000.0
DHFRi_c,0.00014721903648231261,0.0,1000.0
DHFRi_m,3.121309265461256e-20,0.0,1000.0
DHORTS_c,-0.0048320134645132755,-1000.0,1000.0
DHAD1_m,0.017190407172131508,0.0,1000.0
DHAD2_m,0.004970358191357431,0.0,1000.0
DMATT_c,0.0026215229392045946,0.0,1000.0
DOLPMT_c,0.012008555621868132,0.0,1000.0
DOLPMMT_r,0.01200855562186813,0.0,1000.0
DTMPK_c,0.00014721903648231264,0.0,1000.0
DUTPDP_c,0.00014721903648231264,0.0,1000.0
ENO_c,1.8229773034359016,-1000.0,1000.0
FDH_c,0.32753177830544306,0.0,1000.0
FBA_c,1.1802526474357409e-15,-1000.0,1000.0
FUM_c,0.014671657428655626,-1000.0,1000.0
DHORDfum_c,0.004832013464513274,0.0,1000.0
GRTT_c,0.0026215229392045946,0.0,1000.0
G6PDH2i_c,3.007931985098169,0.0,1000.0
PGI_c,-0.8404833895736826,-1000.0,1000.0
GLUDy_c,0.32064038071644174,0.0,1000.0
GLNS_c,0.03711746992825057,0.0,1000.0
GF6PTA_c,0.00039650405831748105,0.0,1000.0
GLNTRS_c,0.003991105116000969,0.0,1000.0
GLUTRS_c,0.006923795183797721,0.0,1000.0
GAPD_c,2.011596544146554,-1000.0,1000.0
G3PD1r_c,0.12393201199774315,-1000.0,1000.0
GARFT_c,0.0046125446462857485,0.0,1000.0
GLYCL_m,0.165181872409464,-1000.0,1000.0
GHMT2r_c,0.3433057771388512,-1000.0,1000.0
GLYGS_c,0.0057528123107752245,0.0,1000.0
GLYTRS_c,0.00832948767363738,0.0,1000.0
GMPS2_c,0.002790840755997433,0.0,1000.0
GK1_c,0.002790840755997433,0.0,1000.0
HEX1_c,2.20113372715757,0.0,1000.0
HISTD_c,0.0021494408348740864,0.0,1000.0
HISTP_c,0.0021494408348740864,0.0,1000.0
HSTPT_c,0.0021494408348740864,0.0,1000.0
HISTRS_c,0.002149440834874086,0.0,1000.0
HACNH_m,0.00677327342468571,-1000.0,1000.0
HICITD_m,0.00677327342468571,0.0,1000.0
HSK_c,0.009955400384991897,0.0,1000.0
HSERTA_c,0.003127611361340828,0.0,1000.0
HMGCOAR_c,0.007864568817613785,0.0,1000.0
HMGCOAS_c,0.007864568817613785,0.0,1000.0
IG3PS_c,0.0021494408348740864,0.0,1000.0
IGPDH_c,0.0021494408348740864,0.0,1000.0
IGPS_c,0.0010722932849680877,0.0,1000.0
PPA_c,1.923682641141349,0.0,1000.0
ICDHx_m,0.029556916659573385,0.0,1000.0
ILETA_m,-0.004970358191357432,-1000.0,1000.0
ILETRS_c,0.004970358191357431,0.0,1000.0
IPDDI_c,0.002621522939204595,-1000.0,1000.0
KARA2i_m,0.00497035819135743,0.0,1000.0
AASADy_c,0.006773273424685711,0.0,1000.0
THRD_L_m,0.003979467030157644,0.0,1000.0
LNSTLS_c,0.0013107614696022973,0.0,1000.0
LEUTA_c,-0.009304513272905148,-1000.0,1000.0
LEUTRS_c,0.009304513272905148,0.0,1000.0
LYSTRS_c,0.006773273424685708,0.0,1000.0
MDH_m,1.9469142350038084,-1000.0,1000.0
ME1_m,0.010882056917184475,0.0,1000.0
MAN1PT_c,0.012008555621868134,0.0,1000.0
MAN6PI_c,-0.012008555621868134,-1000.0,1000.0
METAT_c,0.003426290938933508,0.0,1000.0
METS_c,0.0055630111390745475,0.0,1000.0
METTRS_c,0.0021367202001410382,0.0,1000.0
MEVK2_c,0.007864568817613785,0.0,1000.0
DPMVD_c,0.007864568817613785,0.0,1000.0
AGPRi_m,0.011868742935088997,0.0,1000.0
ACGAM6PS_c,0.00039650405831748105,-1000.0,1000.0
ACGS_m,-5.847459129571607e-19,0.0,1000.0
NADHK1_c,1.3581120703632345e-16,0.0,1000.0
NDPK3_c,0.0089304307217847,0.0,1000.0
NDPK8_c,0.00014721903648231267,0.0,1000.0
NDPK7_c,0.00022978321570437855,0.0,1000.0
NDPK5_c,0.00022978321570437857,0.0,1000.0
NDPK4_c,0.00014721903648231261,0.0,1000.0
NDPK1_c,0.01854075788732359,0.0,1000.0
NDPK6_c,0.00014721903648231264,0.0,1000.0
NDPK2_c,0.035392642158553825,0.0,1000.0
AHSERL2_c,0.0031276113613408277,0.0,1000.0
OCBT_c,0.006087968057205318,0.0,1000.0
ORNTACi_m,0.011868742935088999,0.0,1000.0
ORPT_c,-0.004832013464513275,-1000.0,1000.0
OMPDC_c,0.0048320134645132755,0.0,1000.0
PHETA1_c,-0.003909020564964732,-1000.0,1000.0
PHETRS_c,0.003909020564964732,0.0,1000.0
PRAIS_c,0.004612544646285748,0.0,1000.0
ACGAMPM_c,0.00039650405831748105,-1000.0,1000.0
PAPSR_c,0.00312761136134083,0.0,1000.0
GND_c,3.007931985098169,0.0,1000.0
PGCD_c,0.18861924071065164,0.0,1000.0
PGK_c,2.0115965441465535,-1000.0,1000.0
PGM_c,1.8229773034359014,-1000.0,1000.0
PMANM_c,-0.01200855562186813,-1000.0,1000.0
PMEVK_c,0.007864568817613785,0.0,1000.0
PPM_c,-2.0725716770255795e-17,-1000.0,1000.0
PRASCSi_c,0.0046125446462857485,0.0,1000.0
PRAMPC_c,0.0021494408348740873,0.0,1000.0
PRATPP_c,0.0021494408348740873,0.0,1000.0
AIRC1_c,0.0046125446462857485,0.0,1000.0
PRAGSi_c,0.0046125446462857485,0.0,1000.0
GLUPRT_c,0.0046125446462857485,0.0,1000.0
PSERT_c,0.18861924071065164,0.0,1000.0
PPNDH_c,0.0039090205649660835,0.0,1000.0
PPND2_c,0.002939666904408899,0.0,1000.0
PROTRS_c,0.00578077487788368,0.0,1000.0
PUNP5_c,-2.0725716770255795e-17,-1000.0,1000.0
PC_c,0.10157808084820347,0.0,1000.0
PDH_m,1.7013078901269165,0.0,1000.0
PYK_c,1.8071353419271938,0.0,1000.0
RNDR1_c,0.00014721903648231267,0.0,1000.0
RNDR3_c,0.00022978321570437855,0.0,1000.0
RNDR2_c,0.00022978321570437855,0.0,1000.0
RPI_c,0.44307100723475046,-1000.0,1000.0
RPE_c,2.5648609778634186,-1000.0,1000.0
SAM24MT_c,0.0013107614696022973,0.0,1000.0
SACCD2_c,0.006773273424685709,0.0,1000.0
SACCD1_c,0.006773273424685709,0.0,1000.0
SERTRS_c,0.007375085043489631,0.0,1000.0
SHK3Di_c,0.007920980754343072,0.0,1000.0
SHKK_c,0.007920980754343073,0.0,1000.0
SQLEy_r,0.0013107614696022973,0.0,1000.0
SQLS_c,0.0013107614696022973,0.0,1000.0
SADT_c,0.00312761136134083,0.0,1000.0
SO3R_c,0.0031276113613408285,0.0,1000.0
TRDR_c,0.0038816158657142092,0.0,1000.0
THRS_c,0.0099554003849919,0.0,1000.0
THRTRS_c,0.005975933354834255,0.0,1000.0
TMDS_c,0.00014721903648231264,0.0,1000.0
TALA_c,0.4304047150041123,-1000.0,1000.0
TRE6PP_c,0.003373787960870328,0.0,1000.0
TPI_c,-0.12393201199774297,-1000.0,1000.0
TRPS1_c,0.0010722932849680873,0.0,1000.0
TRPTRS_c,0.0010722932849680875,0.0,1000.0
TYRTA_c,0.002939666904408899,-1000.0,1000.0
TYRTRS_c,0.0029396669044088985,0.0,1000.0
UAGDP_c,0.0003965040583174811,-1000.0,1000.0
UMPK_c,0.004832013464513276,0.0,1000.0
GALUi_c,0.030311343672205383,-1000.0,1000.0
VALTA_c,0.00930451327290515,-1000.0,1000.0
VALTA_m,-0.017190407172131508,-1000.0,1000.0
VALTRS_c,0.007885893899226358,0.0,1000.0
2OXOADPt_c_m,0.00677327342468571,-1000.0,1000.0
ADPATPt_c_m,11.149534887767784,-1000.0,1000.0
NH4t_c_e,0.1818248451659872,-1000.0,1000.0
ASPGLUt_c_m,0.25237961830154954,0.0,1000.0
