rxn,flux,lb,ub
AATA_c,-2.3872565809933557e-18,-1000.0,1000.0
HCITR_m,-2.3872565809933557e-18,-1000.0,1000.0
BPNT_c,0.023639767145033845,0.0,1000.0
HACD140i_x,5.357704500078501e-19,0.0,1000.0
PRFGS_c,0.02363976714503389,0.0,1000.0
FTHFCL_c,4.3078781973871845e-34,0.0,1000.0
KARA1i_m,9.678714410557613e-17,0.0,1000.0
ACLS_m,9.678714410557612e-17,0.0,1000.0
ACACT180i_x,-1.850792491556321e-33,0.0,1000.0
ACACT160i_x,-1.850792491556321e-33,0.0,1000.0
ACACT140i_x,5.3577045000785e-19,0.0,1000.0
ACGK_m,6.513762358523134e-19,0.0,1000.0
ACOTAi_m,6.513762358523134e-19,0.0,1000.0
ACOAO160_x,-1.8507924915563214e-33,0.0,1000.0
ACOAO180_x,-1.8507924915563214e-33,0.0,1000.0
ACOAO140_x,1.3394261250196558e-19,0.0,1000.0
ADK1_c,0.11819883572516929,0.0,1000.0
ADK1_m,4.0330527178253426e-17,0.0,1000.0
ADSL2i_c,0.023639767145033894,0.0,1000.0
ADSL1r_c,0.023639767145033894,-1000.0,1000.0
ADSS_c,0.023639767145033894,0.0,1000.0
ADSK_c,0.023639767145033838,0.0,1000.0
ALCD19y_c,-6.575144878263799e-19,0.0,1000.0
ASPK_c,6.076062146787055e-20,0.0,1000.0
ASPTA_c,0.16289410668874024,-1000.0,1000.0
ASAD_c,6.076062146787054e-20,0.0,1000.0
ATPASEP2e_c,0.13395868048852508,0.0,1000.0
CRNOAT_c,-6.992409286823625e-34,0.0,1000.0
CRNOAT_x,1.3588954190903628e-34,0.0,1000.0
CAT_x,6.697130625098094e-20,0.0,1000.0
CS_m,-1.041740667847215e-17,0.0,1000.0
CTPS2_c,-5.990415687753842e-49,0.0,1000.0
CYSS_c,0.023639767145033835,0.0,1000.0
FBA2_c,-6.575144878263799e-19,-1000.0,1000.0
DHAD1_m,9.678714410557613e-17,0.0,1000.0
DOLPMT_c,-4.4928241468765056e-20,0.0,1000.0
ENO_c,-4.743443432268563e-17,-1000.0,1000.0
FACOAL120_x,4.523106341915954e-34,0.0,1000.0
FACOAL140_x,5.357704500078518e-19,0.0,1000.0
FDH_c,0.009021370136577004,0.0,1000.0
FBA_c,0.008772974154124086,-1000.0,1000.0
FUM_m,8.675126325138231e-20,-1000.0,1000.0
FUM_c,0.04727953429006787,-1000.0,1000.0
G6PDH2i_c,0.08790016603242422,0.0,1000.0
PGI_c,-0.036075800801058114,-1000.0,1000.0
GLU5K_c,-6.513762358523135e-19,0.0,1000.0
GLUDy_c,0.11088963722094096,0.0,1000.0
GLNS_c,0.04727953429006778,0.0,1000.0
GAPD_c,0.06361010293087316,-1000.0,1000.0
G3PD1r_c,-6.427053053111928e-21,-1000.0,1000.0
GARFT_c,0.023639767145033894,0.0,1000.0
GLYCL_m,0.01633056864080542,-1000.0,1000.0
GHMT2r_c,0.05630090442664479,-1000.0,1000.0
GUAD_1_c,7.233645238373511e-19,0.0,1000.0
GK1_c,-7.233645238373511e-19,0.0,1000.0
HEX1_c,0.0518243652313661,0.0,1000.0
HACNH_m,-2.387256580993356e-18,-1000.0,1000.0
HICITD_m,-2.387256580993356e-18,0.0,1000.0
HSERTA_c,2.8497527459444665e-18,0.0,1000.0
PPA_c,0.14183860287020308,0.0,1000.0
ICDHx_m,-1.0417406678472149e-17,0.0,1000.0
AASADy_c,-2.3872565809933553e-18,0.0,1000.0
LYSTRS_c,-2.387256580993355e-18,0.0,1000.0
MDH_m,0.210173640978808,-1000.0,1000.0
ME1_m,-3.835407248674349e-18,0.0,1000.0
MAN1PT_c,-4.492824146876505e-20,0.0,1000.0
MAN6PI_c,4.4928241468765044e-20,-1000.0,1000.0
MI1PP_c,1.8176011177344965e-19,0.0,1000.0
AGPRi_m,6.513762358523134e-19,0.0,1000.0
NADHK1_c,-3.3257826912893797e-17,0.0,1000.0
NDPK3_c,0.023639767145033835,0.0,1000.0
NDPK1_c,0.02363976714503389,0.0,1000.0
NDPK2_c,-5.990415687753841e-49,0.0,1000.0
AHSERL2_c,3.060560581749246e-18,0.0,1000.0
ORNTACi_m,6.513762358523134e-19,0.0,1000.0
ORNTA_c,1.8130973271977457e-19,0.0,1000.0
PTPAT_c,0.023639767145033838,0.0,1000.0
PNTK_c,0.023639767145033838,0.0,1000.0
PRAIS_c,0.02363976714503389,0.0,1000.0
PAPSR_c,0.02363976714503384,0.0,1000.0
PFK_c,0.008772974154124084,0.0,1000.0
GND_c,0.08790016603242422,0.0,1000.0
PGCD_c,0.06361010293087321,0.0,1000.0
PGK_c,0.06361010293087316,-1000.0,1000.0
PGM_c,-4.743443432268563e-17,-1000.0,1000.0
PMANM_c,4.4928241468765044e-20,-1000.0,1000.0
PPNCL2_c,0.023639767145033838,0.0,1000.0
PPCDC_c,0.02363976714503384,0.0,1000.0
PRASCSi_c,0.023639767145033894,0.0,1000.0
AIRC1_c,0.023639767145033894,0.0,1000.0
PRAGSi_c,0.023639767145033894,0.0,1000.0
GLUPRT_c,0.023639767145033894,0.0,1000.0
PSERT_c,0.06361010293087321,0.0,1000.0
PROTRS_c,6.513762358523134e-19,0.0,1000.0
PUNP3_c,7.233645238373511e-19,-1000.0,1000.0
PUNP5_c,-7.233645238373511e-19,-1000.0,1000.0
PC_c,5.096598881920355e-17,0.0,1000.0
PDH_m,-1.6555056409520452e-17,0.0,1000.0
PYK_c,1.3307035168678067e-16,0.0,1000.0
RPI_c,0.04606415462262502,-1000.0,1000.0
RPE_c,0.06848854210021611,-1000.0,1000.0
SACCD2_c,-2.3872565809933557e-18,0.0,1000.0
SACCD1_c,-2.3872565809933557e-18,0.0,1000.0
SERAT_c,0.02363976714503384,0.0,1000.0
SADT_c,0.023639767145033838,0.0,1000.0
SO3R_c,0.023639767145033845,0.0,1000.0
TRDR_c,0.023639767145033838,0.0,1000.0
TALA_c,0.02242438747759114,-1000.0,1000.0
TPI_c,0.008772974154124086,-1000.0,1000.0
VALTA_c,9.956654646062233e-17,-1000.0,1000.0
VALTA_m,-9.678714410557612e-17,-1000.0,1000.0
2OXOADPt_c_m,-2.3872565809933557e-18,-1000.0,1000.0
5FTHFt_c_e,4.3078781973871845e-34,-1000.0,1000.0
ADPATPt_c_m,0.6844117994510819,-1000.0,1000.0
NH4t_c_e,0.14183860287020333,-1000.0,1000.0
AMPATPt_c_x,5.357704500078518e-19,0.0,1000.0
ASPGLUt_c_m,0.21017364097880803,0.0,1000.0
CTPt2_m,-4.8478905663651384e-33,0.0,1000.0
GLCt_c_e,0.051824365231366104,0.0,1000.0
INOSTtps_e,-9.555934044721485e-20,0.0,1000.0
GLUt_c_m,1.0257494206378539e-16,0.0,1000.0
NADt2_m,-4.033052717825343e-17,0.0,1000.0
ORNtpa_m,1.8130973271977455e-19,0.0,1000.0
PNTOtps_e,0.02363976714503384,-1000.0,1000.0
PItps_e,0.07091930143510211,-1000.0,1000.0
PItps_m,0.684411799451082,0.0,1000.0
SO4t_c_e,0.023639767145033838,0.0,1000.0
H2Ot_c_e,-0.5387679134204153,-1000.0,1000.0
EX_pnto__R_e,-0.02363976714503384,-1000,1000
EX_5fthf_e,-4.3078781973871845e-34,0.0,1000.0
EX_nh4_e,-0.14183860287020333,-1000.0,1000.0
HCO3E_c,0.01575984476335593,-1000.0,1000.0
EX_co2_e,0.09749226004645081,0.0,1000.0
CRNt_c_x,6.697130625098119e-19,0.0,1000.0
CO2t_c_m,-0.01633056864080558,-1000.0,1000.0
CO2t_c_e,0.09749226004645081,-1000.0,1000.0
COAt_c_x,-1.8507924915563214e-33,-1000.0,1000.0
CYTK1_c,0.023639767145033838,0.0,1000.0
EX_glc__D_e,-0.0518243652313661,-0.0518243652313661,-0.0518243652313661
EX_xyl__D_e,-0.0266525306904169,-0.0266525306904169,-0.0266525306904169
XYLt_c_e,0.026652530690416898,-1000.0,1000.0
DPCOAK_c,0.02363976714503384,0.0,1000.0
PPIt_c_x,-5.357704500078524e-19,-1000.0,1000.0
