rxn,flux,lb,ub
ADPh_m,1.711888251433193e-15,0.0,1000.0
13GS_c,0.008894130629102163,0.0,1000.0
16GS_c,0.002340557956562554,0.0,1000.0
PRMICI_c,0.001139891003470139,0.0,1000.0
ACHBS_m,0.0026358792921529007,0.0,1000.0
AATA_c,0.0033760009127838586,-1000.0,1000.0
IPPMIb_c,-0.0049343674872885605,-1000.0,1000.0
HCITR_m,0.0033760009127838573,-1000.0,1000.0
OMCDC_c,0.00493436748728856,0.0,1000.0
BPNT_c,0.0015266341876920024,0.0,1000.0
DHQTi_c,0.003971652818184577,0.0,1000.0
DHQS_c,0.003971652818184577,0.0,1000.0
DDPA_c,0.003971652818184577,0.0,1000.0
IPPMIa_c,-0.0049343674872885605,-1000.0,1000.0
IPMD_c,0.0049343674872885605,0.0,1000.0
PSCIT_c,0.003971652818184473,0.0,1000.0
PRFGS_c,0.002446123689516955,0.0,1000.0
MTHFR3_c,0.0016962677411766012,0.0,1000.0
FTHFCL_c,-8.988493849776959e-17,0.0,1000.0
KARA1i_m,0.008653413051978297,0.0,1000.0
ACLS_m,0.008653413051978299,0.0,1000.0
ACACT40ir_c,0.004170736451973516,0.0,1000.0
ACGK_m,0.005297229212873517,0.0,1000.0
ACOTAi_m,0.005297229212873516,0.0,1000.0
ADNK1_c,0.0006951227419952583,0.0,1000.0
AHCi_c,0.0006951227419953721,0.0,1000.0
ADK1_c,0.6188152895784869,0.0,1000.0
ADSL2i_c,0.002446123689516955,0.0,1000.0
ADSL1r_c,0.002105976620636228,-1000.0,1000.0
ADSS_c,0.0021059766206362276,0.0,1000.0
ADSK_c,0.001526634187692002,0.0,1000.0
ALATRS_c,0.005770970095055079,0.0,1000.0
ALCD19y_c,9.14770714245963e-16,0.0,1000.0
TRE6PS_c,0.0017891865092612485,0.0,1000.0
ANPRT_c,0.000568658345363652,0.0,1000.0
ANS_c,0.0005686583453636522,0.0,1000.0
ARGSL_c,0.0029925699169888725,-1000.0,1000.0
ARGSS_c,0.0029925699169888725,-1000.0,1000.0
ARGTRS_c,0.003228569916988872,0.0,1000.0
ASNS1_c,0.0018134613373102487,0.0,1000.0
ASNTRS_c,0.0018134613373102487,0.0,1000.0
ASPCT_c,0.002562512346225109,0.0,1000.0
ASPK_c,0.006530179988942301,0.0,1000.0
ASPTA_c,0.8365472695479231,-1000.0,1000.0
ASAD_c,0.006530179988942301,0.0,1000.0
ASPTRS_c,0.0030626030520986315,0.0,1000.0
ATPPRT_c,0.001139891003470139,0.0,1000.0
ATPASEP2e_c,0.37225605007549234,0.0,1000.0
C14STR_c,0.000695122741995586,0.0,1000.0
C22STDSy_c,0.0006951227419955861,0.0,1000.0
C3STDH2_c,0.0006951227419955861,0.0,1000.0
C3STDH1_c,0.000695122741995586,0.0,1000.0
C4STMO1_c,0.0006951227419955861,0.0,1000.0
C4STMO2_c,0.0006951227419955861,0.0,1000.0
C4STMO3_c,0.0006951227419955861,0.0,1000.0
C4STMO4_c,0.000695122741995586,0.0,1000.0
C5STDS_c,0.0006951227419955861,0.0,1000.0
C8STI_c,0.0006951227419955861,0.0,1000.0
C24STR_r,0.0006951227419955861,0.0,1000.0
CBPS_c,0.005555082263213982,0.0,1000.0
CHTNS_c,0.00021027394733662077,0.0,1000.0
CHOLK_c,0.0003739690451181022,0.0,1000.0
CHLPCTD_c,0.0003739690451181022,0.0,1000.0
CHORM_c,0.003402994472820887,0.0,1000.0
CHORS_c,0.003971652818184474,0.0,1000.0
CS_m,0.36106773514086515,0.0,1000.0
CTPS2_c,0.001671914348565823,0.0,1000.0
CYSTS_c,0.0005254891885106866,0.0,1000.0
CYSTGL_c,0.0005254891885106866,0.0,1000.0
CYSTRS_c,0.0005254891885106866,0.0,1000.0
LNS14DMy_c,0.000695122741995586,0.0,1000.0
FBA2_c,9.345123484652538e-16,-1000.0,1000.0
DHFRi_c,7.807316791558059e-05,0.0,1000.0
DHORTS_c,-0.002562512346225109,-1000.0,1000.0
DHAD1_m,0.008653413051978297,0.0,1000.0
DHAD2_m,0.0026358792921529007,0.0,1000.0
DMATT_c,0.0013902454839911725,0.0,1000.0
DOLPMT_c,0.006368374646999811,0.0,1000.0
DOLPMMT_r,0.006368374646999811,0.0,1000.0
DTMPK_c,7.80731679155806e-05,0.0,1000.0
DUTPDP_c,7.80731679155806e-05,0.0,1000.0
ENO_c,0.42331043327674156,-1000.0,1000.0
FDH_c,0.3914151574489326,0.0,1000.0
FBA_c,-1.348068862214301e-15,-1000.0,1000.0
FUM_m,-3.6237506680603698e-16,-1000.0,1000.0
FUM_c,0.007544670227142044,-1000.0,1000.0
DHORDfum_c,0.0025625123462251088,0.0,1000.0
GRTT_c,0.0013902454839911722,0.0,1000.0
G6PDH2i_c,0.8267944705918007,0.0,1000.0
PGI_c,-0.5117333623892699,-1000.0,1000.0
GLUDy_c,0.2707788028992973,0.0,1000.0
GLNS_c,0.019448128707485104,0.0,1000.0
GF6PTA_c,0.00021027394733662077,0.0,1000.0
GLNTRS_c,0.0021165620108355545,0.0,1000.0
GLUTRS_c,0.003671825579857485,0.0,1000.0
GAPD_c,0.6304898134668384,-1000.0,1000.0
G3PD1r_c,0.0007974662839601352,-1000.0,1000.0
GARFT_c,0.002446123689516955,0.0,1000.0
GLYCL_m,0.1962050490944154,-1000.0,1000.0
GHMT2r_c,0.39852651399853367,-1000.0,1000.0
GLYGS_c,0.003050830193280979,0.0,1000.0
GLYTRS_c,0.004417292120185695,0.0,1000.0
GMPS2_c,0.001480038072350866,0.0,1000.0
GK1_c,0.001480038072350866,0.0,1000.0
HEX7_c,0.332924999999999,0.0,1000.0
HEX1_c,0.3329250000000001,0.0,1000.0
HISTD_c,0.0011398910034701385,0.0,1000.0
HISTP_c,0.0011398910034701385,0.0,1000.0
HSTPT_c,0.0011398910034701385,0.0,1000.0
HISTRS_c,0.0011398910034701385,0.0,1000.0
HACNH_m,0.0033760009127838577,-1000.0,1000.0
HICITD_m,0.003376000912783858,0.0,1000.0
HSK_c,0.005003545801250298,0.0,1000.0
HSERTA_c,0.0015266341876920028,0.0,1000.0
HMGCOAR_c,0.004170736451973517,0.0,1000.0
HMGCOAS_c,0.004170736451973516,0.0,1000.0
IG3PS_c,0.0011398910034701385,0.0,1000.0
IGPDH_c,0.0011398910034701385,0.0,1000.0
IGPS_c,0.000568658345363652,0.0,1000.0
PPA_c,0.6504470967494295,0.0,1000.0
ICDHx_m,0.01344861771635051,0.0,1000.0
ILETA_m,-0.0026358792921529007,-1000.0,1000.0
ILETRS_c,0.0026358792921529,0.0,1000.0
IPDDI_c,0.0013902454839911725,-1000.0,1000.0
KARA2i_m,0.0026358792921529002,0.0,1000.0
AASADy_c,0.003376000912783858,0.0,1000.0
THRD_L_m,0.002110390103642214,0.0,1000.0
LNSTLS_c,0.000695122741995586,0.0,1000.0
LEUTA_c,-0.0049343674872885605,-1000.0,1000.0
LEUTRS_c,0.0049343674872885605,0.0,1000.0
LYSTRS_c,0.0035920009127838573,0.0,1000.0
MDH_m,1.2186684316405074,-1000.0,1000.0
ME1_m,0.004591970095055372,0.0,1000.0
MAN1PT_c,0.006368374646999811,0.0,1000.0
MAN6PI_c,-0.006368374646999811,-1000.0,1000.0
METAT_c,0.0006951227419952583,0.0,1000.0
METS_c,0.0016962677411765737,0.0,1000.0
METTRS_c,0.0011331449991813158,0.0,1000.0
MEVK2_c,0.004170736451973517,0.0,1000.0
DPMVD_c,0.004170736451973517,0.0,1000.0
AGPRi_m,0.005297229212873517,0.0,1000.0
ACGAM6PS_c,0.00021027394733662074,-1000.0,1000.0
NADHK1_c,3.8267155900084167e-16,0.0,1000.0
NDPK3_c,0.0047359841088494255,0.0,1000.0
NDPK8_c,7.807316791558062e-05,0.0,1000.0
NDPK7_c,0.00012185858576805305,0.0,1000.0
NDPK5_c,0.00012185858576805304,0.0,1000.0
NDPK4_c,7.807316791558059e-05,0.0,1000.0
NDPK1_c,0.00983253075421885,0.0,1000.0
NDPK6_c,7.807316791558059e-05,0.0,1000.0
NDPK2_c,0.018769418413853094,0.0,1000.0
AHSERL2_c,0.0015266341876920026,0.0,1000.0
OCBT_c,0.002992569916988872,0.0,1000.0
ORNTACi_m,0.005297229212873517,0.0,1000.0
ORPT_c,-0.002562512346225109,-1000.0,1000.0
OMPDC_c,0.002562512346225109,0.0,1000.0
PHETA1_c,-0.0018440309492999277,-1000.0,1000.0
PHETRS_c,0.0020730309492999277,0.0,1000.0
PRAIS_c,0.002446123689516955,0.0,1000.0
ACGAMPM_c,0.00021027394733662077,-1000.0,1000.0
PAPSR_c,0.0015266341876920024,0.0,1000.0
GND_c,0.8267944705918007,0.0,1000.0
PGCD_c,0.20717938019009402,0.0,1000.0
PGK_c,0.6304898134668383,-1000.0,1000.0
PGM_c,0.42331043327674156,-1000.0,1000.0
PMANM_c,-0.00636837464699981,-1000.0,1000.0
PMEVK_c,0.004170736451973517,0.0,1000.0
PRASCSi_c,0.002446123689516955,0.0,1000.0
PRAMPC_c,0.001139891003470139,0.0,1000.0
PRATPP_c,0.001139891003470139,0.0,1000.0
AIRC1_c,0.0024461236895169554,0.0,1000.0
PRAGSi_c,0.0024461236895169545,0.0,1000.0
GLUPRT_c,0.0024461236895169545,0.0,1000.0
PSERT_c,0.20717938019009405,0.0,1000.0
PPNDH_c,0.001844030949299928,0.0,1000.0
PPND2_c,0.0015589635235208929,0.0,1000.0
