Rxn,Flux
EX_btn_c,-7.76253261e-07
EX_ca2_e,-0.00060150738264
EX_cobalt2_e,-2.550697161e-06
EX_cu2_e,-5.3374129506e-05
EX_fe2_e,-0.000313585791077
EX_glc__D_e,-13.21
EX_h2o_e,2.4639835841052
EX_h_e,34.598479986906085
EX_hco3_e,33.12583526922624
EX_ibutoh_e,6.855907752974317
EX_inost_e,-0.00455483093906
EX_k_e,-0.282373331799538
EX_mg2_e,-0.029926817709727
EX_mn2_e,-6.4528454447e-05
EX_nac_e,-0.00047889926571
EX_nh4_e,-3.585111507720633
EX_ni2_e,-1.8749201515e-05
EX_o2_e,-18.848096415496876
EX_pi_e,-0.258237300543087
EX_pnto__R_e,-3.52835e-10
EX_so4_e,-0.048964101491083
EX_thm_e,-2.0654200447e-05
EX_zn2_e,-0.000786605724899
13BDGLUCANt_c_en,0.320187572089493
13GS_c,0.320187572089493
16GS_c,0.084259653443955
2OBUTt_c_m,0.00359055881323
2OXOADPt_c_m,0.086266777929351
3HACD200_rm,0.005580284100694
3HACD220_rm,0.005580284100694
3HACD240_rm,0.004287930754341
3HACD260_rm,0.000467741395629
3HAD100_c,0.070796180845377
3HAD120_c,0.070796180845377
3HAD140_c,0.070796180845377
3HAD160_c,0.070796180845377
3HAD180_c,0.058184770724054
3HAD40_c,0.070796180845377
3HAD60_c,0.070796180845377
3HAD80_c,0.070796180845377
3MOBDC_c,6.855907752974317
3OACE200_rm,0.005580284100694
3OACE220_rm,0.005580284100694
3OACE240_rm,0.004287930754341
3OACE260_rm,0.000467741395629
3OACR200_rm,0.005580284100694
3OACR220_rm,0.005580284100694
3OACR240_rm,0.004287930754341
3OACR260_rm,0.000467741395629
3OAR100_c,0.070796180845377
3OAR120_c,0.070796180845377
3OAR140_c,0.070796180845377
3OAR160_c,0.070796180845377
3OAR180_c,0.058184770724054
3OAR40_c,0.070796180845377
3OAR60_c,0.070796180845377
3OAR80_c,0.070796180845377
3OAS100_c,0.070796180845377
3OAS120_c,0.070796180845377
3OAS140_c,0.070796180845377
3OAS160_c,0.070796180845377
3OAS180_c,0.058184770724054
3OAS40_c,0.070796180845377
3OAS60_c,0.070796180845377
3OAS80_c,0.070796180845377
5AOPt_c_m,-1.8525965448e-05
AASADy_c,0.086266777929351
AATA_c,0.086266777929351
ACACT40ir_c,0.150146856727706
ACCOAC_c,0.569674276993053
ACGAM6PS_c,0.007569935670485
ACGAMPM_c,0.007569935670485
ACGK_m,0.242365377290047
ACHBS_m,0.060220765604814
ACITL_c,1.307038362631518
ACLS_m,7.14876374873677
ACOADS180_rm,0.044829313253556
ACOADS181_rm,0.030552898231749
ACOADS182_rm,0.006038665745126
ACOATA_c,0.070796180845377
ACONTa_m,0.671581051032144
ACONTb_m,0.671581051032144
ACOTAi_m,0.242365377290047
ACS_c,0.03435999741822
ADK1_c,2.84574039043512
ADNK1_c,0.065414601549213
ADPATPt_c_m,113.69890614902346
ADSK_c,0.03435999741822
ADSL1r_c,0.080822941501848
ADSL2i_c,0.091531302411783
ADSS_c,0.080822941501848
AFAT_c,3.008140934e-06
AGPAT_rm,0.029347666523589
AGPRi_m,0.242365377290047
AHCYSt_c_rm,-0.040388700047036
AHCi_c,0.065414601549213
AHSERL2_c,0.03435999741822
AICART_c,0.134157458037132
AIRC1_c,0.091531302411783
AKGDH_m,1.8525965448e-05
AKGMALta_m,34.03470783314125
ALAS_m,1.8525965448e-05
ALATA_L_m,-0.249137721236182
ALATRS_c,0.249137721236182
ALAt_c_m,0.249137721236182
ALCD23xi_c,6.855907752974317
AMETt_c_rm,0.040388700047036
ANPRT_c,0.018747519360177
ANS_c,0.018747519360177
ARACHt_c_rm,0.0
ARGSL_c,0.154776496664681
ARGSS_c,0.154776496664681
ARGTRS_c,0.154776496664681
ASAD_c,0.188237510507392
ASNS1_c,0.057352269441788
ASNTRS_c,0.057352269441788
ASPCT_c,0.091532584931309
ASPGLUt_c_m,26.97580377391932
ASPK_c,0.188237510507392
ASPTA_c,26.17381014281921
ASPTAi_m,26.97580377391932
ASPTRS_c,0.137740525641307
ATPASEP2e_c,1.735457503715274
ATPM_c,92.07869237030806
ATPPRT_c,0.042626155625348
ATPS_m,37.8496085646346
ATPt_c_rm,0.0
BPNT_c,0.03435999741822
C14STR_c,0.02502447345661
C22STDSy_c,0.02502447345661
C24STR_r,0.02502447345661
C3STDH1_c,0.02502447345661
C3STDH2_c,0.02502447345661
C3STKR1_c,0.02502447345661
C3STKR2_c,0.02502447345661
C4STMO1_c,0.02502447345661
C4STMO2_c,0.02502447345661
C4STMO3_c,0.02502447345661
C4STMO4_c,0.02502447345661
C5STDS_c,0.02502447345661
C8STI_c,0.02502447345661
CA2t_c_e,0.00060150738264
CBPS_c,0.24630908159599
CDPDAGS_rm,0.024735833897297
CHORM_c,0.059070951578914
CHORS_c,0.077818470939092
CHTNS_c,0.007569935670485
CITMALta_m,1.307038362631518
CMPt_c_rm,-0.024735833897297
CO2t_c_e,33.12583526922624
CO2t_c_m,-22.154707021315744
CO2t_c_mm,-0.017073821436332
CO2t_c_n,-8.349750308332768
CO2t_c_rm,-0.015916240351357
COAt_c_rm,-0.084493954597809
COBALT2t_c_e,2.550697161e-06
CPPPGO_c,1.601722898e-06
