Rxn,Flux
ACOADS182_rm,0.001258055363568
DHPPDA2_c,5.2597956e-06
P5CR_c,0.036225226680564
NDPK5_c,0.000913940230567
GENERIC_mn2mg2ormn2_c,4.609586387e-06
GARFT_c,0.019513677666666
EX_thm_e,-1.28570568e-06
O2t_c_r,0.005213431970127
ORNCD_m,0.002876815769532
EAR160y_c,0.014749204342787
13BDGLUCANt_c_en,0.066705744185311
SUCFUMt_c_m,0.018412563768192
PRAIS_c,0.019513677666666
ODECOAt_c_rm,-1.4996176594e-05
PAILS_rm,0.000948923112304
H2Ot_c_m,-30.642790694652447
EX_h_e,0.452653995088331
ACOADS181_rm,0.006365187131614
UAGDP_c,0.001577069931351
EX_ca2_e,-0.000125603993657
DOCOSCOAt_c_rm,-1.358584215e-06
Kt_c_e,0.05882642239075
16GS_c,0.017554094467491
CHORS_c,0.067463134884002
FCLT_m,5.29410603e-07
ECOAR240_rm,0.000893318907154
COAt_c_rm,-0.017602907207877
IPPS_c,0.08415643278549
UPPDC1_c,5.29410603e-07
RNDR2_c,0.000913940230567
compACYLCOA_rm,0.014287023801344
DHORTS_c,-0.018412563768192
3HAD180_c,0.012121827234178
ILETA_m,-0.062995168676167
FE2t_c_e,6.5821823459e-05
EAR180y_c,0.012121827234178
AASADy_c,0.076384491701033
TPI_c,-4.006756069868439
PItps_e,0.053590855322733
GND_c,0.217613475832598
ZN2t_c_e,0.000194608813309
C3STDH1_c,0.005213431970127
PPCDC_c,2.17926178e-07
MDH_m,0.915283775107041
INOSTtps_e,0.000948923112304
ATPPRT_c,0.022059510992032
3OAS80_c,0.014749204342787
AGPAT_rm,0.006114097192414
TRE6PS_c,0.013418884915876
TRDR_c,0.024302110459322
NDPK2_c,0.140549613786444
CYSTRS_c,0.008926100867364
NH4t_c_m,-6.949390621999769
ECOAR220_rm,0.001162559187644
C22STDSy_c,0.005213431970127
C4STMO2_c,0.005213431970127
ACITL_c,0.301742156259008
SERt_c_rm,0.004204375616299
TMDPK_c,1.28570568e-06
3HACD260_rm,9.7446124089e-05
3OAR80_c,0.014749204342787
3OAS180_c,0.012121827234178
G3PAT_rm,0.006114097192414
ACCOAC_c,0.118682141040219
3HAD160_c,0.014749204342787
PMANM_c,-0.047762768578216
EAR120y_c,0.014749204342787
CA2t_c_e,0.000125603993657
TALA_c,0.067463134884002
GLUDy_c,8.232039617852458
PNTOtps_e,2.17926178e-07
DHAD1_m,0.172776636820847
3OAR100_c,0.014749204342787
NADHcplxI_c_m,8.944224846353716
HCITS_m,0.076384491701033
ACGAMPM_c,0.001577069931351
PEt_c_rm,-0.000752275295969
PEt_mm_rm,0.003557046132569
MN2t_c_e,1.6420905974e-05
ACLS_m,0.172776636820847
GLUt_c_m,0.446213172328824
ME1_m,0.398141194448121
NACt_c_e,9.9770677201e-05
ATPASEP2e_c,0.507195277155226
SADT_c,0.021303131800043
GF6PTA_c,0.001577069931351
UMPK_c,0.018412563768192
SERTRS_c,0.054723340393454
OCBT_c,0.045187337147936
G6PDH2i_c,0.217613475832598
CO2t_c_rm,-0.003315883406533
EX_glc__D_e,-13.21
GLU5K_c,0.036225226680564
DHORDfum_c,0.018412563768192
PROTRS_c,0.039102042450096
IMPC_c,0.041573188658698
NDPK7_c,0.000913939141036
3HAD120_c,0.014749204342787
DGAT_rm,0.001022591642876
3HAD60_c,0.014749204342787
EX_btn_c,-1.78393707e-07
EAR140y_c,0.014749204342787
RBFSa_c,1.05195912e-05
3OAR140_c,0.014749204342787
SERt_c_m,-6.892444956347612
EX_h2o_e,8.591605905434694
GLYt_c_m,13.784897737658458
UPP3S_c,9.78120404e-07
GK1_c,0.011456629031256
PGCD_c,7.065762615424591
EX_inost_e,-0.000948923112304
3OAR60_c,0.014749204342787
HSERTA_c,0.021303131800043
PAPSR_c,0.021303131800043
EX_pnto__R_e,-2.17926178e-07
GHMT2r_c,13.879040588523553
HSTPT_c,0.022059510992032
3HACD220_rm,0.001162559187644
MAN6PI_c,-0.047762768578216
SHCHF_c,4.48709802e-07
2OBUTt_c_m,0.008926318793542
LACPYRt_c_m,-0.786682915241129
EX_mg2_e,-0.006213942315472
GHMT2r_m,-6.892444956347612
C4STMO3_c,0.005213431970127
NI2t_c_e,4.92913313e-07
Ht_m_mm,0.007114092265138
HSDy_c,0.133084605713465
ADSL2i_c,0.019513677666666
DPMVD_c,0.031280595702533
C5STDS_c,0.005213431970127
MALCOAt_c_rm,0.003315883406533
PPIt_c_rm,-0.005153298728604
ALATA_L_m,-0.114313060996874
3OAS120_c,0.014749204342787
HACNH_m,0.076384491701033
GMPS2_c,0.010871079922847
EAR60y_c,0.014749204342787
IPDDI_c,0.010426865234178
H2Ot_c_r,-0.005213431970127
ACS_c,0.032567610748482
GALUi_c,0.120559980086901
3OACR200_rm,0.001162559187644
GENERIC_shemeheme_c,9.0053933e-08
ERGSTt_c_rm,0.001036237773639
3OACE260_rm,9.7446124089e-05
AIRC1_c,0.019513677666666
3OAS140_c,0.014749204342787
FECOOR_m,4.481318705060954
3HACD200_rm,0.001162559187644
ADNK1_c,0.01362864189953
CITMALta_m,0.301742156259008
SO4t_c_e,0.024345653481889
THRS_c,0.111781473913422
EX_zn2_e,-0.000194608813309
PMTCOAt_c_rm,0.002420221831948
FE2t_c_m,5.29410603e-07
LEUTRS_c,0.08415643278549
DAGt_c_rm,6.1793179065e-05
GLUTRS_c,0.082397948063418
3OACR260_rm,9.7446124089e-05
IPMD_c,0.08415643278549
CTPS2_c,0.010974755585748
GLUPRT_c,0.019513677666666
HICITD_m,0.076384491701033
ALAt_c_m,0.114313060996874
COBALT2t_c_e,1.66110822e-07
THRD_L_m,0.054068849882625
NNATi_c,9.9770677201e-05
SO3R_c,0.021303131800043
RNDR3_c,0.001499489320303
ECOAR260_rm,9.7446124089e-05
ARGTRS_c,0.045187337147936
PDH_m,0.661962606374523
CO2t_c_e,21.77866883028601
Ht_c_rm,0.014681429346197
ERGSTESTt_c_rm,-0.001036237773639
FECRq9_m,8.962637410121909
PRPPS_c,0.071398471549446
TRE6PP_c,0.013418884915876
3HAD40_c,0.014749204342787
GRTT_c,0.010426865234178
MEVK1_c,0.031280595702533
SACCD2_c,0.076384491701033
ILETRS_c,0.062995168676167
ASPTAi_m,0.32970566043355
OMPDC_c,0.018412563768192
PRATPP_c,0.022059510992032
NDPK1_c,2.117640146444618
TYRTA_c,0.021752700260945
GLCt_c_e,13.21
RBFK_c,5.2597956e-06
PPBNGS_1_c,3.912481617e-06
MTHFD_c,8.832442790624162
DB4PS_c,1.05195912e-05
GAPD_c,8.892338577088903
PRAIi_c,0.011312948445354
PItps_m,28.95072329801854
PPPGO_m,2.64705301e-07
GENERIC_phemeheme_m,2.64058339e-07
NDPK4_c,0.000585550179267
MCOATA_c,0.115366257633687
ALATRS_c,0.114313060996874
STATg_rm,0.001036237773639
RPE_c,0.078727613832441
HSK_c,0.111781473913422
3OAS40_c,0.014749204342787
3OAR180_c,0.012121827234178
NADPHt_c_rm,0.006631766813065
H2Ot_c_e,-8.591605905434694
ADSL1r_c,0.030702108735851
GENERIC_fe2feCATION_c,1.1675523e-07
NADHt_c_rm,0.01696268275634
ACACT40ir_c,0.031280595702533
DHFRi_c,0.000585550179267
ACOADS180_rm,0.009339440261157
3OAS60_c,0.014749204342787
CO2t_c_m,-8.548556662709254
VALTRS_c,0.088620204035357
FMNRx_c,3.38487132e-07
DOLPMT_c,0.047762768578216
VALt_c_m,-0.172776636820847
3OACE220_rm,0.001162559187644
NADPt_c_rm,-0.006631766813065
IPPMIb_c,-0.08415643278549
LEUTA_c,-0.08415643278549
DHQS_c,0.067463134884002
PSP_L_c,7.065762615424591
DTMPK_c,0.000585550179267
EX_pi_e,-0.053590855322733
PSCIT_c,0.067463134884002
DMATT_c,0.010426865234178
G3PT_c,16.87717292821509
PGM_c,1.826575961664312
ACKr_c,-0.011264478948439
PKETX_c,0.011264478948439
NADS2_c,9.9770677201e-05
SUCDq9_m,0.018412563768192
AFAT_c,4.452232378e-06
DRAPPRy_c,5.2597956e-06
NTD3pp_c,0.000585550179267
BPNT_c,0.021303131800043
ACGAM6PS_c,0.001577069931351
HISTP_c,0.022059510992032
ACONTb_m,0.283835958414482
HEX1_c,13.21
EX_cobalt2_e,-1.66110822e-07
GK2_c,-0.000585549108409
ASPCT_c,0.018412563768192
SSQ23EPXt_c_r,0.005213431970127
G5SADr_c,0.036225226680564
PMEVK_c,0.031280595702533
HMGCOAS_c,0.031280595702533
PYK_c,1.691649691896308
NADPHt_c_r,0.010426863940254
PRFGS_c,0.019513677666666
ATPM_c,1.258692370308051
GLYTRS_c,0.074629173198429
FUM_c,0.095403123550454
PPND2_c,0.021752700260945
PSt_mm_rm,-0.003557046132569
PPNCL2_c,2.17926178e-07
ALAS_m,7.824963234e-06
PIt_c_rm,-0.000960798463811
FDH_c,13.796591928469818
SQLt_c_r,0.005213431970127
LNS14DMy_c,0.005213431970127
KARA1i_m,0.172776636820847
RNDR1_c,0.000585549108409
ASNTRS_c,0.030164574995798
SAM24MT_c,0.005213431970127
PGI_c,12.858407659164628
ATPS_m,9.666262483645335
PHETA1_c,-0.034397486177704
O2t_c_e,4.560843897573172
VALTA_c,0.08415643278549
LNSTLS_c,0.005213431970127
TKT1_c,0.067463134884002
3OACR220_rm,0.001162559187644
NADPt_c_r,-0.010426863940254
PPA_c,1.582533858542117
ANPRT_c,0.011312948445354
DHAD2_m,0.062995168676167
ORNTACi_m,0.048064152917468
METAT_c,0.01362864189953
STCOAt_c_rm,0.012113661455736
RPI_c,0.138875342408956
FRDPt_c_m,1.293924e-09
C8STI_c,0.005213431970127
ILEt_c_m,0.062995168676167
C24STR_r,0.005213431970127
3OAR160_c,0.014749204342787
EX_fe2_e,-6.5821823459e-05
3OAS160_c,0.014749204342787
PGK_c,8.892338577088903
AGPRi_m,0.048064152917468
O2t_c_m,4.481319501764705
13GS_c,0.066705744185311
PSt_c_rm,-0.00064732948373
ARGSS_c,0.045187337147936
PMEMT_rm,0.0028047708366
THMtps_e,1.28570568e-06
ACONTa_m,0.283835958414482
ADSK_c,0.021303131800043
PCOATA180_c,0.012121827234178
HOMOX_m,1.293924e-09
C4STMO4_c,0.005213431970127
NAMNPP_c,9.9770677201e-05
3OAR40_c,0.014749204342787
CS_m,0.58557811467349
UPP3MT_2_c,4.48709802e-07
3OAR120_c,0.014749204342787
