rxn,flux,lb,ub
13GS_c,0.06670597971826639,0.0,1000.0
16GS_c,0.017554184674219202,0.0,1000.0
PRMICI_c,0.008549182526026064,0.0,1000.0
ACHBS_m,0.0197690946911468,0.0,1000.0
AATA_c,0.026940006845879008,-1000.0,1000.0
IPPMIb_c,-0.037007756154664305,-1000.0,1000.0
HCITR_m,0.026940006845878998,-1000.0,1000.0
OMCDC_c,0.037007756154664305,0.0,1000.0
OMCDC_m,-6.139289823273207e-18,0.0,1000.0
BPNT_c,0.012439756407690055,0.0,1000.0
DHQTi_c,4.128860558973141,0.0,1000.0
DHQS_c,4.12886055897314,0.0,1000.0
DDPA_c,4.12886055897314,0.0,1000.0
IPPMIa_c,-0.0370077561546643,-1000.0,1000.0
IPMD_c,0.0370077561546643,0.0,1000.0
PSCIT_c,4.128860558973183,0.0,1000.0
MTAP_c,1.8403517377497662e-18,0.0,1000.0
PRFGS_c,0.01834592767140636,0.0,1000.0
MTHFR3_c,0.022126311573982187,0.0,1000.0
MDRPD_c,1.8403517377497666e-18,0.0,1000.0
MTRI_c,1.8403517377497662e-18,-1000.0,1000.0
KARA1i_m,0.0683730978898374,0.0,1000.0
ACLS_m,0.06837309788983742,0.0,1000.0
ACACT40ir_c,0.031280523389801446,0.0,1000.0
ACACT140i_x,-3.563435736585069e-33,0.0,1000.0
ACGK_m,0.024214274377416595,0.0,1000.0
ACOTAi_m,0.024214274377416602,0.0,1000.0
ADD_c,1.8403517377497662e-18,0.0,1000.0
ADA_c,-1.8403517377497662e-18,0.0,1000.0
ADNK1_c,0.013627724080122302,0.0,1000.0
AHCi_c,0.0136277240801223,0.0,1000.0
ADK1_c,17.257697724006235,0.0,1000.0
ADK1_m,9.130070674310362e-15,0.0,1000.0
ADSL2i_c,0.01834592767140637,0.0,1000.0
ADSL1r_c,0.015794824654800914,-1000.0,1000.0
ADSS_c,0.015794824654800914,0.0,1000.0
ADSK_c,0.012439756407690053,0.0,1000.0
ALATRS_c,0.0432822757129132,0.0,1000.0
TRE6PS_c,0.013418898819459396,0.0,1000.0
ANPRT_c,0.004264937590227402,0.0,1000.0
ANS_c,0.004264937590227402,0.0,1000.0
ARGSL_c,0.024214274377416606,-1000.0,1000.0
ARGSS_c,0.024214274377416602,-1000.0,1000.0
ARGTRS_c,0.024214274377416602,0.0,1000.0
ASNS1_c,0.013600960029826902,0.0,1000.0
ASNTRS_c,0.013600960029826902,0.0,1000.0
ASPCT_c,0.019218842596688365,0.0,1000.0
ASPK_c,0.0520363499170674,0.0,1000.0
ASPTA_c,19.228640496245678,-1000.0,1000.0
ASAD_c,0.0520363499170674,0.0,1000.0
ASPTRS_c,0.0229695228907398,0.0,1000.0
