rxn,flux,lb,ub
BPNT_c,0.02363976714503388,0.0,1000.0
4DPMIPPH_c,1.512432203090855e-19,-1000.0,1000.0
IPPYP1_c,-1.512432203090855e-19,0.0,1000.0
PRFGS_c,0.023639767145033838,0.0,1000.0
6DPMIPPH_c,-1.512432203090855e-19,-1000.0,1000.0
IPPYP4_c,1.5124322030908548e-19,0.0,1000.0
ACACT160i_x,1.0729352202748348e-18,0.0,1000.0
ACACT100i_x,-2.1458704405496704e-19,0.0,1000.0
ACACT120i_x,1.9189648439348018e-34,0.0,1000.0
ACOAO160_x,1.0729352202748352e-18,0.0,1000.0
ADK1_c,0.11819883572516923,0.0,1000.0
ADK1_m,9.807693107169334e-17,0.0,1000.0
ADSL2i_c,0.023639767145033835,0.0,1000.0
ADSL1r_c,0.023639767145033835,-1000.0,1000.0
ADSS_c,0.023639767145033835,0.0,1000.0
ADSK_c,0.023639767145033876,0.0,1000.0
ASPK_c,1.0387562538438145e-17,0.0,1000.0
ASPTA_c,0.16289410668874033,-1000.0,1000.0
ASAD_c,1.0387562538438143e-17,0.0,1000.0
ATPASEP2e_c,0.13395868048852505,0.0,1000.0
CRNOAT_c,-1.2339545800276992e-34,0.0,1000.0
CRNOAT_x,1.3588954190903628e-34,0.0,1000.0
CAT_x,1.072935220274836e-19,0.0,1000.0
CS_m,6.721754529708906e-17,0.0,1000.0
CYSTS_c,-4.192096323938018e-18,0.0,1000.0
CYSTGL_c,-4.192096323938018e-18,0.0,1000.0
CYSS_c,0.023639767145033883,0.0,1000.0
DHFRi_c,3.058809803237674e-17,0.0,1000.0
PMI1346PS_c,-1.5124322030908546e-19,0.0,1000.0
DOLPMT_c,1.6172314289818265e-20,0.0,1000.0
ENO_c,1.1858608580671407e-16,-1000.0,1000.0
FACOAL120_x,3.8514264123553283e-38,0.0,1000.0
FACOAL80_x,8.269017077564041e-35,0.0,1000.0
FDH_c,0.009021370136577066,0.0,1000.0
FBA_c,0.008772974154124124,-1000.0,1000.0
FUM_m,4.4548048908483663e-35,-1000.0,1000.0
FUM_c,0.04727953429006761,-1000.0,1000.0
G6PDH2i_c,0.08790016603242423,0.0,1000.0
PGI_c,-0.03607580080105817,-1000.0,1000.0
GLUDy_c,0.1108896372209409,0.0,1000.0
GLNS_c,0.047279534290067676,0.0,1000.0
GAPD_c,0.0636101029308733,-1000.0,1000.0
G3PD1r_c,-2.1458704405496708e-19,-1000.0,1000.0
GARFT_c,0.023639767145033838,0.0,1000.0
GLYCL_m,0.016330568640805468,-1000.0,1000.0
