rxn_name,subsystem,bounds_changes,gpr_changes,stoichiometry_changes
FMNRx_c,FMNRx_c: fmn_c + 2.0 h_c + nadh_c --> fmnh2_c + nad_c,,"{'GSM_iSace1144_rba': 'YLR011W', 'iRhtoC': 'rt8485'}",
FMNRx2_c,FMNRx2_c: fmn_c + 2.0 h_c + nadph_c --> fmnh2_c + nadp_c,,"{'GSM_iSace1144_rba': 'YLR011W', 'iRhtoC': 'rt8485'}",
RLFC2O_c,RLFC2O_c: 2.0 ficytC_m + lac__D_c --> 2.0 focytC_m + 2.0 h_c + pyr_c,,"{'GSM_iSace1144_rba': 'YDL174C', 'iRhtoC': 'rt4960 and rt0434'}",
RLFC2O_m,RLFC2O_m: 2.0 ficytC_m + lac__D_m --> 2.0 focytC_m + 2.0 h_m + pyr_m,,"{'GSM_iSace1144_rba': 'YDL178W', 'iRhtoC': '(rt8275 or rt4871) and rt0434'}",
BTDDH_c,BTDDH_c: btd_c + nad_c <=> actn__R_c + h_c + nadh_c,,"{'GSM_iSace1144_rba': 'YAL060W', 'iRhtoC': 'rt5273'}",
LLFC2O_c,LLFC2O_c: 2.0 ficytC_m + lac__L_c --> 2.0 focytC_m + 2.0 h_c + pyr_c,,"{'GSM_iSace1144_rba': '(YEL039C and YML054C) or (YJR048W and YML054C)', 'iRhtoC': 'rt8239 or rt0745'}",
13GS_c,13GS_c: udpg_c --> 13BDglucan_en + h_c + udp_c,,"{'GSM_iSace1144_rba': '(YLR342W and YPR165W) or (YGR032W and YPR165W)', 'iRhtoC': 'rt7616'}",
16GS_c,16GS_c: udpg_c --> 16BDglucan_en + h_c + udp_c,,"{'GSM_iSace1144_rba': 'YGR143W or YPR159W', 'iRhtoC': 'rt3279 or rt0150'}",
PRMICI_c,PRMICI_c: prfp_c --> prlp_c,,"{'GSM_iSace1144_rba': 'YIL020C', 'iRhtoC': 'rt3242'}",
DHPPDA2_c,DHPPDA2_c: 25dhtpp_c + h2o_c + h_c --> 5aprbu_c + nh4_c,,"{'GSM_iSace1144_rba': 'YOL066C', 'iRhtoC': 'rt7138'}",
