rxn_name,category
LIPOCT_m,0
ZYMSTATer_RT_rm,0
THFAT_m,0
FMNRx_c,0
FMNRx2_c,0
ADPh_c,0
ADPh_m,0
tpscu2_c_m,0
GENERIC_na1CATION1_c,0
GENERIC_na1CATION1_e,0
GENERIC_kCATION1_m,0
GENERIC_kCATION1_e,0
GENERIC_kCATION1_c,0
GENERIC_hCATION1_en,0
GENERIC_hCATION1_vm,0
GENERIC_hCATION1_gm,0
GENERIC_hCATION1_mm,0
GENERIC_hCATION1_rm,0
GENERIC_hCATION1_v,0
GENERIC_hCATION1_x,0
GENERIC_hCATION1_n,0
GENERIC_hCATION1_m,0
GENERIC_hCATION1_l,0
GENERIC_hCATION1_g,0
GENERIC_hCATION1_c,0
GENERIC_hCATION1_r,0
GENERIC_hCATION1_e,0
GENERIC_ca2metal2_c,0
GENERIC_ca2metal2_e,0
GENERIC_cobalt2metal2_c,0
GENERIC_cobalt2metal2_e,0
GENERIC_cu2metal2_e,0
GENERIC_cu2metal2_c,0
GENERIC_fe2metal2_c,0
GENERIC_fe2metal2_e,0
GENERIC_fe2metal2_m,0
GENERIC_mg2metal2_c,0
GENERIC_mg2metal2_e,0
GENERIC_mn2metal2_e,0
GENERIC_mn2metal2_c,0
GENERIC_ni2metal2_c,0
GENERIC_ni2metal2_e,0
GENERIC_zn2metal2_e,0
GENERIC_zn2metal2_c,0
GENERIC_fe2feCATION_c,0
GENERIC_fe2feCATION_e,0
GENERIC_fe2feCATION_m,0
GENERIC_fe3feCATION_c,0
GENERIC_fe3feCATION_e,0
GENERIC_mg2mg2ormn2_c,0
GENERIC_mg2mg2ormn2_e,0
GENERIC_mn2mg2ormn2_c,0
GENERIC_mn2mg2ormn2_e,0
GENERIC_hemeAheme_c,0
GENERIC_hemeAheme_m,0
GENERIC_hemeOheme_m,0
GENERIC_phemeheme_m,0
GENERIC_shemeheme_c,0
RLFC2O_c,0
RLFC2O_m,0
BTDDH_c,0
LLFC2O_c,0
13GS_c,0
16GS_c,0
PRMICI_c,0
P5CD2_m,0
DHPPDA2_c,0
DRAPPRy_c,0
ACHBS_m,0
HPPK2_m,0
AATA_c,0
DPR_c,0
DDPA_m,0
IPPMIb_c,0
UNK3_c,0
HCITR_m,0
MCITS_m,0
OMCDC_c,0
OMCDC_m,0
BPNT_c,0
PDE1_c,0
PDE2_c,0
PDE3_c,0
PDE4_c,0
PDE5_c,0
DB4PS_c,0
DHQTi_c,0
DHQS_c,0
3DSPHR_r,0
DDPA_c,0
HKYNH_c,0
HACD140i_x,0
3HAO_c,0
3IPM3MT_c,0
IPPMIa_c,0
IPMD_c,0
3MOBDC_c,0
MTMOHT_m,0
3MOPDC_c,0
PSCIT_c,0
ADCS_c,0
ADCL_c,0
ABTA_c,0
4HTHRS_c,0
4DPMIPPH_c,0
IPPYP1_c,0
MTAP_c,0
NTD4pp_c,0
NTD2pp_c,0
PRFGS_c,0
MTHFR3_c,0
ALAS_m,0
PMI12346PS_c,0
FTHFCL_c,0
MHPGLUT_c,0
MDRPD_c,0
MTRI_c,0
IPPYP2_c,0
IPPYP3_c,0
6DPMIPPH_c,0
IPPYP4_c,0
ACALDCD_c,0
KARA1i_m,0
ACLS_m,0
ACOATA_m,0
ACACT180i_x,0
ACACT260i_x,0
ACACT160i_x,0
ACACT40ir_c,0
ACACT140i_x,0
ACACT100i_x,0
ACACT120i_x,0
ACS_n,0
ACGK_m,0
ACP1_e,0
ACONT2_m,0
ACOTAi_m,0
ACOAO100_x,0
ACOAO120_x,0
ACOAO260_x,0
ACOAO160_x,0
ACOAO180_x,0
ACOAO140_x,0
ADD_c,0
ADPT_c,0
ADA_c,0
ADNK1_c,0
AMPDA_c,0
AHCi_c,0
ADMDC_c,0
AMAOTr_c,0
ADNCYC_c,0
ADK1_c,0
ADK1_m,0
ADK3_m,0
ADSL2i_c,0
ADSL1r_c,0
ADSS_c,0
ADSK_c,0
AGTi_c,0
ALATRS_c,0
ALCD2i1_c,0
ALCD19y_c,0
ALCD2i2_m,0
ALCD22xi_c,0
ALCD22xi_m,0
ALCD22yi_c,0
ALCD25xi_c,0
ALCD25xi_m,0
ALCD25yi_c,0
ALDD20x_m,0
ALDD20y_m,0
ALCD24xi_c,0
ALCD24xi_m,0
ALCD24yi_c,0
ALCD23xi_c,0
