Rxn,Flux
12AMANTF_g,0.0
13BDGLUCANt_c_en,0.13661897940875262
13BGH_e,0.0
13GS_c,0.13661897940875262
14BMANTF_c,0.0
14DMLANOSTt_c_e,0.0
16GS_c,0.03595241471182423
1AGPCt_l_rm,0.0
1AGPEt_l_rm,0.0
1MLCLAT_mm,0.0
2DDA7Pt_c_m,0.0
2DHPt_c_m,0.0
2DOXG6PP_c,0.0
2MBACt_c_e,0.0
2MBALDt_c_e,0.0
2MBALDt_c_m,0.0
2MBTOHt_c_e,0.0
2MBTOHt_c_m,0.0
2OBUTt_c_m,0.00045508515158474913
2OGMAH_c,0.0
2OSUCAH_c,0.0
2OXOADPt_c_m,0.02089373350420341
2PHETOHt_c_e,0.0
2PHETOHt_c_m,0.0
3C3HMPt_c_e,0.0
3C3HMPt_c_m,0.0
3C4MOPt_c_m,0.0
3DHSKD_c,0.0
3DSPHR_r,0.0005632562983668911
3HACD200_rm,0.001810632961652685
3HACD220_rm,0.001810632961652685
3HACD240_rm,0.001466405428053344
3HACD260_rm,0.00028162814918344557
3HAD100_c,0.021876214401407128
3HAD120_c,0.021876214401407128
3HAD140_c,0.021876214401407128
3HAD160_c,0.021876214401407128
3HAD180_c,0.0158769540793414
3HAD40_c,0.021876214401407128
3HAD40_m,0.0
3HAD60_c,0.021876214401407128
3HAD60_m,0.0
3HAD80_c,0.021876214401407128
3HAD80_m,0.0
3HAO_c,0.0
3HBHYOX_c,0.0
3HBRDH_c,0.0
3HCINNMH_c,0.0
3HPPPNH_c,0.0
3HXPHBt_c_m,0.0
3INDACNLAH_c,0.0
3IPM3MT_c,0.0
3MBALDt_c_e,0.0
3MBALDt_c_m,0.0
3MLCLAT_mm,0.0
3MOBDC_c,0.0
3MOBR_m,0.0
3MOPDC_c,0.0
3MOPR_m,0.0
3MOPt_c_e,0.0
3NP4H5MOBCL_m,0.0
3NPDHBZH_m,0.0
3NPDHMT_m,0.0
3OACE200_rm,0.001810632961652685
3OACE220_rm,0.001810632961652685
3OACE240_rm,0.001466405428053344
3OACE260_rm,0.00028162814918344557
3OACR200_rm,0.001810632961652685
3OACR220_rm,0.001810632961652685
3OACR240_rm,0.001466405428053344
3OACR260_rm,0.00028162814918344557
3OADPCOAT_m,0.0
3OAR100_c,0.021876214401407128
3OAR120_c,0.021876214401407128
3OAR140_c,0.021876214401407128
3OAR160_c,0.021876214401407128
3OAR180_c,0.0158769540793414
3OAR40_c,0.021876214401407128
3OAR40_m,0.0
3OAR60_c,0.021876214401407128
3OAR60_m,0.0
3OAR80_c,0.021876214401407128
3OAR80_m,0.0
3OAS100_c,0.021876214401407128
3OAS120_c,0.021876214401407128
3OAS140_c,0.021876214401407128
3OAS160_c,0.021876214401407128
3OAS180_c,0.0158769540793414
3OAS40_c,0.021876214401407128
3OAS60_c,0.021876214401407128
3OAS80_c,0.021876214401407128
4ABUTNt_c_m,0.0
4ABUTt_c_m,0.0
4ABUTtps_e,0.0
4ABZt_c_e,0.0
4ABZt_c_m,0.0
4AMPMS_c,0.0
4CMCOAL_c,0.0
4CMCOAL_x,0.0
4DPMIPPH_c,0.0
4H2OGLTt_c_m,0.0
4H2OGLTt_c_x,0.0
4HBZCOAS_c,0.0
4HBZF_c,0.0
4HBZNPT_m,0.0
4HBZt_c_m,0.0
4HGLSD_m,0.0
4HPEOR_c,0.0
4HPLH_c,0.0
4HPPCL_c,0.0
4HPPR_c,0.0
4HTHRS_c,0.0
4MOPR_m,0.0
5AOPt_c_m,-7.859847177629737e-05
5AOPtps_e,0.0
5FTHFt_c_e,0.0
6DPMIPPH_c,0.0
AACTOOR_c,0.0
AASADy_c,0.02089373350420341
AATA_c,0.02089373350420341
ABTA_c,0.0
ABTD2Dx_c,0.0
ABTD2Dy_c,0.0
ABTD4Dx_c,0.0
ABTD4Dy_c,0.0
ABTDt_c_e,0.0
ABTLD_c,0.0
ABTt_c_e,0.0
ABUTD_m,0.0
ACACT100i_m,0.0
ACACT100i_x,0.0
ACACT101ei_x,0.0
ACACT120i_m,0.0
ACACT120i_x,0.0
ACACT121ai_m,0.0
ACACT121ai_x,0.0
ACACT121di_x,0.0
ACACT122ei_x,0.0
ACACT140i_m,0.0
ACACT140i_x,0.0
ACACT141ai_m,0.0
ACACT141ai_x,0.0
ACACT141bi_m,0.0
ACACT141bi_x,0.0
ACACT142i_x,0.0
ACACT143i_x,0.0
ACACT160i_m,0.0
ACACT160i_x,0.0
ACACT161ai_m,0.0
ACACT161ai_x,0.0
ACACT161bi_m,0.0
ACACT161bi_x,0.0
ACACT162i_x,0.0
ACACT163i_x,0.0
ACACT180i_m,0.0
ACACT180i_x,0.0
ACACT181ai_m,0.0
ACACT181ai_x,0.0
ACACT182i_x,0.0
ACACT183i_x,0.0
ACACT200i_m,0.0
ACACT200i_x,0.0
ACACT220i_m,0.0
ACACT220i_x,0.0
ACACT240i_m,0.0
ACACT240i_x,0.0
ACACT260i_m,0.0
ACACT260i_x,0.0
ACACT40i_m,0.0
ACACT40i_x,0.0
ACACT40ir_c,0.08100692544770258
ACACT60i_m,0.0
ACACT60i_x,0.0
ACACT80i_m,0.0
ACACT80i_x,0.0
ACALDCD_c,0.0
ACALDt_c_e,0.0
ACALDt_c_m,0.0
ACCOAC_c,0.17437975438973347
ACCOATsucac_m,0.0
ACCOATsucpp_m,0.0
ACCOAt_c_n,0.0
ACCOAt_c_r,0.0
ACEST1_m,0.0
ACEST1_x,0.0
ACGAM6PS_c,0.009779811346945243
ACGAM6S1_r,0.0
ACGAM6S2_r,0.0
ACGAMPM_c,0.009779811346945243
ACGK_m,0.01228523588290444
ACGS_m,0.0
ACHAH_c,0.0
ACHAH_e,0.0
ACHBS_m,0.018731194801368308
ACHLE1_c,0.0
ACHLE2_c,0.0
ACHLE3_c,0.0
ACITL_c,-5.221156840207186e-12
ACKr_c,-0.472211273279353
ACLS_m,0.04878381172548421
ACOAD100f_m,0.0
ACOAD100f_x,0.0
ACOAD101df_x,0.0
ACOAD102ef_x,0.0
ACOAD120f_m,0.0
ACOAD120f_x,0.0
ACOAD121af_x,0.0
ACOAD140f_x,0.0
ACOAD141af_x,0.0
ACOAD141bf_x,0.0
ACOAD142f_x,0.0
ACOAD143f_x,0.0
ACOAD160f_x,0.0
ACOAD161af_x,0.0
ACOAD161bf_x,0.0
ACOAD162f_x,0.0
ACOAD163f_x,0.0
ACOAD180f_x,0.0
ACOAD181af_x,0.0
ACOAD182f_x,0.0
ACOAD183f_x,0.0
ACOAD40f_m,0.0
ACOAD40f_x,0.0
ACOAD60f_m,0.0
ACOAD60f_x,0.0
ACOAD80f_m,0.0
ACOAD80f_x,0.0
ACOAD82ef_x,0.0
ACOADS160_rm,0.0
ACOADS180_rm,0.01199027572093477
ACOADS181_rm,0.008178435466286382
ACOADS182_3_rm,0.0
