rxn_src	dir	enz	protein_stoich	status	comments
12AMANTF_g	FWD	rt2093	rt2093:1	protStoichAsgnAuto	
12AMANTF_g	FWD	rt7201	rt7201:1	protStoichAsgnAuto	
13BDGLUCANt_c_en	FWD	SPONT	zeroCost	protStoichAsgnManual	
13BDGLUCANt_c_en	REV	SPONT	zeroCost	protStoichAsgnManual	
13BGH_e	FWD	rt5185	rt5185:1	protStoichAsgnAuto	
13GS_c	FWD	rt7616	rt7616:1	protStoichAsgnAuto	
14BMANTF_c	FWD	rt6298	rt6298:1	protStoichAsgnAuto	
14DMLANOSTt_c_e	FWD	SPONT	zeroCost	protStoichAsgnAuto	
14DMLANOSTt_c_e	REV	SPONT	zeroCost	protStoichAsgnAuto	
16GS_c	FWD	rt0150	rt0150:1	protStoichAsgnAuto	
16GS_c	FWD	rt3279	rt3279:1	protStoichAsgnAuto	
1AGPCt_l_rm	FWD	SPONT	zeroCost	protStoichAsgnAuto	
1AGPCt_l_rm	REV	SPONT	zeroCost	protStoichAsgnAuto	
1AGPEt_l_rm	FWD	SPONT	zeroCost	protStoichAsgnAuto	
1AGPEt_l_rm	REV	SPONT	zeroCost	protStoichAsgnAuto	
1MLCLAT_mm	FWD	rt8106	rt8106:1	protStoichAsgnAuto	
1MLCLAT_mm	REV	rt8106	rt8106:1	protStoichAsgnAuto	
2DDA7Pt_c_m	FWD	SPONT	zeroCost	protStoichAsgnManual	
2DDA7Pt_c_m	REV	SPONT	zeroCost	protStoichAsgnManual	
2DHPt_c_m	FWD	SPONT	zeroCost	protStoichAsgnManual	
2DHPt_c_m	REV	SPONT	zeroCost	protStoichAsgnManual	
2DOXG6PP_c	FWD	rt0208	rt0208:1	protStoichAsgnAuto	
2DOXG6PP_c	FWD	rt5045	rt5045:1	protStoichAsgnAuto	
2MBACt_c_e	FWD	SPONT	zeroCost	protStoichAsgnAuto	
2MBALDt_c_e	FWD	SPONT	zeroCost	protStoichAsgnAuto	
2MBALDt_c_e	REV	SPONT	zeroCost	protStoichAsgnAuto	
2MBALDt_c_m	FWD	SPONT	zeroCost	protStoichAsgnAuto	
2MBALDt_c_m	REV	SPONT	zeroCost	protStoichAsgnAuto	
2MBTOHt_c_e	FWD	SPONT	zeroCost	protStoichAsgnManual	
2MBTOHt_c_e	REV	SPONT	zeroCost	protStoichAsgnManual	
2MBTOHt_c_m	FWD	SPONT	zeroCost	protStoichAsgnManual	
2MBTOHt_c_m	REV	SPONT	zeroCost	protStoichAsgnManual	
2OBUTt_c_m	FWD	SPONT	zeroCost	protStoichAsgnAuto	
2OBUTt_c_m	REV	SPONT	zeroCost	protStoichAsgnAuto	
2OGMAH_c	FWD	rt6557	rt6557:1	protStoichAsgnAuto	
2OSUCAH_c	FWD	rt6557	rt6557:1	protStoichAsgnAuto	
2OXOADPt_c_m	FWD	rt2267	rt2267:1	protStoichAsgnAuto	
2OXOADPt_c_m	REV	rt2267	rt2267:1	protStoichAsgnAuto	
2PHETOHt_c_e	FWD	SPONT	zeroCost	protStoichAsgnAuto	
2PHETOHt_c_e	REV	SPONT	zeroCost	protStoichAsgnAuto	
2PHETOHt_c_m	FWD	SPONT	zeroCost	protStoichAsgnAuto	
2PHETOHt_c_m	REV	SPONT	zeroCost	protStoichAsgnAuto	
3C3HMPt_c_e	FWD	SPONT	zeroCost	protStoichAsgnManual	
3C3HMPt_c_e	REV	SPONT	zeroCost	protStoichAsgnManual	
3C3HMPt_c_m	FWD	SPONT	zeroCost	protStoichAsgnManual	
3C3HMPt_c_m	REV	SPONT	zeroCost	protStoichAsgnManual	
3C4MOPt_c_m	FWD	SPONT	zeroCost	protStoichAsgnAuto	
3C4MOPt_c_m	REV	SPONT	zeroCost	protStoichAsgnAuto	
3DHSKD_c	FWD	rt3472	rt3472:1	protStoichAsgnAuto	
3DHSKD_c	REV	rt3472	rt3472:1	protStoichAsgnAuto	
3DSPHR_r	FWD	rt1611	rt1611:1	protStoichAsgnAuto	
3HACD200_rm	FWD	rt2309	rt2309:1	protStoichAsgnAuto	
3HACD200_rm	REV	rt2309	rt2309:1	protStoichAsgnAuto	
3HACD220_rm	FWD	rt2309	rt2309:1	protStoichAsgnAuto	
3HACD220_rm	REV	rt2309	rt2309:1	protStoichAsgnAuto	
3HACD240_rm	FWD	rt2309	rt2309:1	protStoichAsgnAuto	
3HACD240_rm	REV	rt2309	rt2309:1	protStoichAsgnAuto	
3HACD260_rm	FWD	rt2309	rt2309:1	protStoichAsgnAuto	
3HACD260_rm	REV	rt2309	rt2309:1	protStoichAsgnAuto	
3HAD100_c	FWD	rt0302	rt0302:1	protStoichAsgnAuto	
3HAD120_c	FWD	rt0302	rt0302:1	protStoichAsgnAuto	
3HAD140_c	FWD	rt0302	rt0302:1	protStoichAsgnAuto	
3HAD160_c	FWD	rt0302	rt0302:1	protStoichAsgnAuto	
3HAD180_c	FWD	rt0302	rt0302:1	protStoichAsgnAuto	
3HAD40_c	FWD	rt0302	rt0302:1	protStoichAsgnAuto	
3HAD40_c	REV	rt0302	rt0302:1	protStoichAsgnAuto	
3HAD40_m	FWD	rt7207_m	rt7207_m:1	protStoichAsgnAuto	
3HAD40_m	REV	rt7207_m	rt7207_m:1	protStoichAsgnAuto	
3HAD60_c	FWD	rt0302	rt0302:1	protStoichAsgnAuto	
3HAD60_m	FWD	rt7207_m	rt7207_m:1	protStoichAsgnAuto	
3HAD60_m	REV	rt7207_m	rt7207_m:1	protStoichAsgnAuto	
3HAD80_c	FWD	rt0302	rt0302:1	protStoichAsgnAuto	
3HAD80_m	FWD	rt7207_m	rt7207_m:1	protStoichAsgnAuto	
3HAD80_m	REV	rt7207_m	rt7207_m:1	protStoichAsgnAuto	
3HAO_c	FWD	rt0234	rt0234:1	protStoichAsgnAuto	
3HBHYOX_c	FWD	rt5813	rt5813:1	protStoichAsgnAuto	
3HBRDH_c	FWD	rt4427	rt4427:1	protStoichAsgnAuto	
3HBRDH_c	REV	rt4427	rt4427:1	protStoichAsgnAuto	
3HCINNMH_c	FWD	rt6518	rt6518:1	protStoichAsgnAuto	
3HPPPNH_c	FWD	rt6518	rt6518:1	protStoichAsgnAuto	
3HXPHBt_c_m	FWD	SPONT	zeroCost	protStoichAsgnAuto	
3HXPHBt_c_m	REV	SPONT	zeroCost	protStoichAsgnAuto	
3INDACNLAH_c	FWD	rt4042	rt4042:1	protStoichAsgnAuto	
3INDACNLAH_c	REV	rt4042	rt4042:1	protStoichAsgnAuto	
3IPM3MT_c	FWD	rt6691	rt6691:1	protStoichAsgnAuto	
3MBALDt_c_e	FWD	SPONT	zeroCost	protStoichAsgnAuto	
3MBALDt_c_e	REV	SPONT	zeroCost	protStoichAsgnAuto	
3MBALDt_c_m	FWD	SPONT	zeroCost	protStoichAsgnAuto	
3MBALDt_c_m	REV	SPONT	zeroCost	protStoichAsgnAuto	
3MLCLAT_mm	FWD	rt8106	rt8106:1	protStoichAsgnAuto	
3MLCLAT_mm	REV	rt8106	rt8106:1	protStoichAsgnAuto	
3MOBDC_c	FWD	rt7423	rt7423:1	protStoichAsgnAuto	
3MOBR_m	FWD	rt41987068	"rt4198:1,rt7068:1"	protStoichAsgnManual	Changed GPR to include only proteins mentioning 2-oxoisovalerate or its synonyms on UniProt
3MOBR_m	REV	rt41987068	"rt4198:1,rt7068:1"	protStoichAsgnManual	Changed GPR to include only proteins mentioning 2-oxoisovalerate or its synonyms on UniProt
3MOPDC_c	FWD	rt7423	rt7423:1	protStoichAsgnAuto	
3MOPR_m	FWD	rt4198	rt4198:1	protStoichAsgnManual	Could only find alpha subunit
3MOPR_m	REV	rt4198	rt4198:1	protStoichAsgnManual	Could only find alpha subunit
3MOPt_c_e	FWD	SPONT	zeroCost	protStoichAsgnAuto	
3MOPt_c_e	REV	SPONT	zeroCost	protStoichAsgnAuto	
3NP4H5MOBCL_m	FWD	SPONT	zeroCost	protStoichAsgnAuto	
3NPDHBZH_m	FWD	rt7829	rt7829:1	protStoichAsgnManual	 
3NPDHMT_m	FWD	rt3097	rt3097:1	protStoichAsgnManual	 
3OACE200_rm	FWD	rt2975	rt2975:1	protStoichAsgnAuto	 
3OACE200_rm	FWD	rt8287	rt8287:1	protStoichAsgnAuto	 
3OACE220_rm	FWD	rt2975	rt2975:1	protStoichAsgnAuto	 
3OACE220_rm	FWD	rt8287	rt8287:1	protStoichAsgnAuto	 
3OACE240_rm	FWD	rt2975	rt2975:1	protStoichAsgnAuto	 
3OACE240_rm	FWD	rt8287	rt8287:1	protStoichAsgnAuto	 
3OACE260_rm	FWD	rt2975	rt2975:1	protStoichAsgnAuto	 
3OACE260_rm	FWD	rt8287	rt8287:1	protStoichAsgnAuto	 
3OACR200_rm	FWD	rt8327	rt8327:1	protStoichAsgnAuto	 
3OACR220_rm	FWD	rt8327	rt8327:1	protStoichAsgnAuto	 
3OACR240_rm	FWD	rt8327	rt8327:1	protStoichAsgnAuto	 
3OACR260_rm	FWD	rt8327	rt8327:1	protStoichAsgnAuto	 
3OADPCOAT_m	FWD	rt4722	rt4722:1	protStoichAsgnAuto	 
3OADPCOAT_m	REV	rt4722	rt4722:1	protStoichAsgnAuto	 
3OAR100_c	FWD	rt0409	rt0409:1	protStoichAsgnAuto	 
3OAR100_c	REV	rt0409	rt0409:1	protStoichAsgnManual	 
3OAR100_c	FWD	rt1363	rt1363:1	protStoichAsgnAuto	 
