,old_min,old_max,new_min,new_max,diff_min,diff_max
THFAT_m,0.0,-2.7326118931766617e-11,0.0,-9.47353110760963e-15,0.0,-2.731664540065901e-11
FMNRx_c,9.811264788632888e-09,0.0,3.401409560289214e-12,0.0,9.807863379072599e-09,0.0
FMNRx2_c,0.0,0.0,0.0,0.0,0.0,0.0
ADPh_c,0.0,-4.513613818771298e-09,0.0,6.151230534975768e-13,0.0,-4.5142289418247954e-09
ADPh_m,0.0,-4.517050795271927e-09,0.0,2.769721254583477e-14,0.0,-4.517078492484473e-09
tpscu2_c_m,0.0,0.0,0.0,0.0,0.0,0.0
GENERIC_na1CATION1_c,0.0,0.0,0.0,0.0,0.0,0.0
GENERIC_na1CATION1_e,0.0,0.0,0.0,0.0,0.0,0.0
GENERIC_kCATION1_m,0.0,-4.515388478573857e-09,0.0,4.670270798146841e-14,0.0,-4.515435181281839e-09
GENERIC_kCATION1_e,0.0,0.0,0.0,0.0,0.0,0.0
GENERIC_kCATION1_c,0.0,-4.515166676257642e-09,0.0,3.211130476730044e-12,0.0,-4.518377806734372e-09
GENERIC_hCATION1_en,0.0,0.0,0.0,0.0,0.0,0.0
GENERIC_hCATION1_vm,0.0,0.0,0.0,0.0,0.0,0.0
GENERIC_hCATION1_gm,0.0,0.0,0.0,0.0,0.0,0.0
GENERIC_hCATION1_mm,0.0,0.0,0.0,0.0,0.0,0.0
GENERIC_hCATION1_rm,0.0,0.0,0.0,0.0,0.0,0.0
GENERIC_hCATION1_v,0.0,0.0,0.0,0.0,0.0,0.0
GENERIC_hCATION1_x,0.0,0.0,0.0,0.0,0.0,0.0
GENERIC_hCATION1_n,0.0,0.0,0.0,0.0,0.0,0.0
GENERIC_hCATION1_m,0.0,0.0,0.0,0.0,0.0,0.0
GENERIC_hCATION1_l,0.0,0.0,0.0,0.0,0.0,0.0
GENERIC_hCATION1_g,0.0,0.0,0.0,0.0,0.0,0.0
GENERIC_hCATION1_c,0.0,1.0826779249770352e-14,0.0,-1.7653197215008212e-14,0.0,2.847997646477856e-14
GENERIC_hCATION1_r,0.0,0.0,0.0,0.0,0.0,0.0
GENERIC_hCATION1_e,0.0,0.0,0.0,0.0,0.0,0.0
GENERIC_ca2metal2_c,0.0,0.0,0.0,0.0,0.0,0.0
GENERIC_ca2metal2_e,0.0,0.0,0.0,0.0,0.0,0.0
GENERIC_cobalt2metal2_c,0.0,0.0,0.0,0.0,0.0,0.0
GENERIC_cobalt2metal2_e,0.0,0.0,0.0,0.0,0.0,0.0
GENERIC_cu2metal2_e,0.0,0.0,0.0,0.0,0.0,0.0
GENERIC_cu2metal2_c,0.0,0.0,0.0,0.0,0.0,0.0
GENERIC_fe2metal2_c,0.0,0.0,0.0,0.0,0.0,0.0
GENERIC_fe2metal2_e,0.0,0.0,0.0,0.0,0.0,0.0
GENERIC_fe2metal2_m,0.0,0.0,0.0,0.0,0.0,0.0
GENERIC_mg2metal2_c,0.0,0.0,0.0,0.0,0.0,0.0
GENERIC_mg2metal2_e,0.0,0.0,0.0,0.0,0.0,0.0
GENERIC_mn2metal2_e,0.0,0.0,0.0,0.0,0.0,0.0
GENERIC_mn2metal2_c,0.0,0.0,0.0,0.0,0.0,0.0
GENERIC_ni2metal2_c,0.0,0.0,0.0,0.0,0.0,0.0
GENERIC_ni2metal2_e,0.0,0.0,0.0,0.0,0.0,0.0
GENERIC_zn2metal2_e,0.0,0.0,0.0,0.0,0.0,0.0
GENERIC_zn2metal2_c,0.0,0.0,0.0,0.0,0.0,0.0
GENERIC_fe2feCATION_c,0.0,0.0,0.0,0.0,0.0,0.0
GENERIC_fe2feCATION_e,0.0,0.0,0.0,0.0,0.0,0.0
GENERIC_fe2feCATION_m,0.0,0.0,0.0,0.0,0.0,0.0
GENERIC_fe3feCATION_c,0.0,0.0,0.0,0.0,0.0,0.0
GENERIC_fe3feCATION_e,0.0,0.0,0.0,0.0,0.0,0.0
GENERIC_mg2mg2ormn2_c,0.0,0.0,0.0,0.0,0.0,0.0
GENERIC_mg2mg2ormn2_e,0.0,0.0,0.0,0.0,0.0,0.0
GENERIC_mn2mg2ormn2_c,0.0,0.0,0.0,0.0,0.0,0.0
GENERIC_mn2mg2ormn2_e,0.0,0.0,0.0,0.0,0.0,0.0
GENERIC_hemeAheme_c,0.0,0.0,0.0,0.0,0.0,0.0
GENERIC_hemeAheme_m,0.0,0.0,0.0,0.0,0.0,0.0
GENERIC_hemeOheme_m,0.0,0.0,0.0,0.0,0.0,0.0
GENERIC_phemeheme_m,0.0,0.0,0.0,0.0,0.0,0.0
GENERIC_shemeheme_c,0.0,0.0,0.0,0.0,0.0,0.0
RLFC2O_c,0.0,-1.1885311757994661e-09,0.0,9.046588340837103e-13,0.0,-1.1894358346335498e-09
RLFC2O_m,0.0,-1.0265942119561144e-09,0.0,-1.152155694504541e-12,0.0,-1.02544205626161e-09
BTDDH_c,1.2365262690269412e-10,0.0,9.983705477541607e-14,0.0,1.235527898479187e-10,0.0
LLFC2O_c,2.513060585066542e-10,-1.060285613054519e-09,-8.586393561309048e-14,2.63517620897329e-13,2.5139192244226727e-10,-1.0605491306754164e-09
13GS_c,0.3906265804346779,0.39062658042613346,0.39031193469863706,0.3903119346986344,0.00031464573604084167,0.0003146457274990633
16GS_c,0.10279669443398828,0.10279669443173911,0.10271389274254486,0.10271389274254605,8.280169144342375e-05,8.280168919305719e-05
PRMICI_c,0.029772155210025936,0.029772155209374533,0.029748174041926322,0.029748174041926676,2.3981168099613398e-05,2.398116744785697e-05
P5CD2_m,0.0,-1.4756476038270014e-09,0.0,1.0213023082347368e-13,0.0,-1.475749734057825e-09
DHPPDA2_c,7.8037679772551e-05,7.803767977084385e-05,7.797482121550239e-05,7.797482121550267e-05,6.285855704861649e-08,6.285855534117425e-08
DRAPPRy_c,7.8037679772551e-05,7.803767977084386e-05,7.79748212155024e-05,7.797482121550248e-05,6.285855704860294e-08,6.285855534137754e-08
ACHBS_m,0.09085927055918114,0.09085927046858155,0.09078608434120942,0.09078608434121568,7.318621797171299e-05,7.318612736587071e-05
HPPK2_m,0.0,-1.962808233723854e-09,0.0,-2.6678309778419362e-12,0.0,-1.960140402746012e-09
AATA_c,0.10134870528580861,0.10134870519922469,0.10126706993489122,0.10126706993492977,8.163535091738894e-05,8.163526429491585e-05
DPR_c,3.9018839886598656e-05,3.901878848221982e-05,3.8987410607696076e-05,3.8987410615735456e-05,3.142927890257961e-08,3.1377866484365833e-08
DDPA_m,0.0,0.0,0.0,0.0,0.0,0.0
IPPMIb_c,-0.12356213074878997,-0.12356213083306523,-0.12346260279383596,-0.12346260279388394,-9.952795495400679e-05,-9.95280391812986e-05
UNK3_c,7.803773069627626e-05,7.803760513769969e-05,7.797482132667698e-05,7.797482119989016e-05,6.290936959927609e-08,6.278393780952476e-08
HCITR_m,0.10134870528580864,0.10134870519919861,0.10126706993489125,0.10126706993483606,8.163535091738894e-05,8.163526436255619e-05
MCITS_m,0.0,0.0,0.0,0.0,0.0,0.0
OMCDC_c,0.12356213083306523,0.12356213074873702,0.12346260279388395,0.12346260279388223,9.952803918128472e-05,9.952795485479449e-05
OMCDC_m,1.1844989908341187e-17,0.0,0.0,0.0,1.1844989908341187e-17,0.0
BPNT_c,0.019862540506617756,0.019862539616950097,0.01984654136990675,0.019846541369651406,1.599913671100628e-05,1.5998247298691648e-05
PDE1_c,0.0,-2.2580691129597716e-09,0.0,1.8327319910126212e-12,0.0,-2.2599018449507843e-09
PDE2_c,0.0,0.0,0.0,0.0,0.0,0.0
PDE3_c,0.0,0.0,0.0,0.0,0.0,0.0
PDE4_c,0.0,0.0,0.0,0.0,0.0,0.0
PDE5_c,0.0,0.0,0.0,0.0,0.0,0.0
DB4PS_c,0.000156075359545102,0.00015607535954168493,0.0001559496424310048,0.00015594964243100662,1.2571711409720587e-07,1.2571711067830985e-07
DHQTi_c,0.09838093232405619,0.09838093224179582,0.0983016874840651,0.09830168748413895,7.924483999108278e-05,7.924475765687389e-05
DHQS_c,0.0983809323240562,0.09838093224176656,0.09830168748406512,0.09830168748413474,7.924483999108278e-05,7.92447576318106e-05
3DSPHR_r,0.003153112451209924,0.0031531124286547133,0.0036285084013778267,0.0036285084013968436,-0.0004753959501679027,-0.0004753959727421303
DDPA_c,0.09838093232405622,0.09838093224183768,0.09830168748406513,0.09830168748407661,7.924483999108278e-05,7.924475776106832e-05
HKYNH_c,7.803767977033876e-05,7.803761750242053e-05,7.797482121502396e-05,7.797482125380115e-05,6.285855531480103e-08,6.279624861938056e-08
HACD140i_x,-2.6914952598602944e-27,-1.9565209437854044e-10,2.7409025859028195e-17,9.879168271650321e-14,-2.740902586171969e-17,-1.9575088606125694e-10
