Objective:  Maximize
1.0*BIOMASS_RT_CLIM - 1.0*BIOMASS_RT_CLIM_reverse_12b42
Result:  0.19069533756447
Nonzero fluxes:
Reaction ID: 13GS_c, Flux: 0.19090948842855487
Reaction ID: 16GS_c, Flux: 0.05023944946270988
Reaction ID: PRMICI_c, Flux: 0.014550435646844188
Reaction ID: DHPPDA2_c, Flux: 3.8139067512894e-05
Reaction ID: DRAPPRy_c, Flux: 3.8139067512894e-05
Reaction ID: ACHBS_m, Flux: 0.04440531630526248
Reaction ID: AATA_c, Flux: 0.04953177906500813
Reaction ID: IPPMIb_c, Flux: -0.060388064632553404
Reaction ID: UNK3_c, Flux: 1.9069533756447e-05
Reaction ID: HCITR_m, Flux: 0.04953177906500813
Reaction ID: OMCDC_c, Flux: 0.060388064632553404
Reaction ID: BPNT_c, Flux: 0.009688276624963021
Reaction ID: DB4PS_c, Flux: 7.6278135025788e-05
Reaction ID: DHQTi_c, Flux: 0.048024141726223435
Reaction ID: DHQS_c, Flux: 0.048024141726223435
Reaction ID: 3DSPHR_r, Flux: 0.001541009022858482
Reaction ID: DDPA_c, Flux: 0.048024141726223435
Reaction ID: IPPMIa_c, Flux: -0.060388064632553404
Reaction ID: IPMD_c, Flux: 0.060388064632553404
Reaction ID: PSCIT_c, Flux: 0.048024141726223435
Reaction ID: MTAP_c, Flux: 1.9069533756447e-05
Reaction ID: PRFGS_c, Flux: 0.007697035910112615
Reaction ID: MTHFR3_c, Flux: 0.05172401266564928
Reaction ID: ALAS_m, Flux: 0.000152556270051576
Reaction ID: MDRPD_c, Flux: 1.9069533756447e-05
Reaction ID: MTRI_c, Flux: 1.9069533756447e-05
Reaction ID: KARA1i_m, Flux: 0.11564966650536115
Reaction ID: ACLS_m, Flux: 0.11564966650536115
Reaction ID: ACACT40ir_c, Flux: 0.17063037414593643
Reaction ID: ACGK_m, Flux: 0.0609349788606883
Reaction ID: ACOTAi_m, Flux: 0.0609349788606883
