,fluxes,reduced_costs,abs,unique
THFAT_m,0.0,-2.0,0.0,False
FMNRx_c,0.0,-1.9999999999997726,0.0,False
FMNRx2_c,0.0,11.40229885057488,0.0,False
ADPh_c,0.0,38.09195402298866,0.0,True
ADPh_m,0.0,-1.999999999999961,0.0,True
tpscu2_c_m,0.0,-2.0,0.0,False
GENERIC_na1CATION1_c,0.0,0.0,0.0,False
GENERIC_na1CATION1_e,0.0,-2.0,0.0,False
GENERIC_kCATION1_m,0.0,40.09195402298849,0.0,False
GENERIC_kCATION1_e,0.0,2.0,0.0,False
GENERIC_kCATION1_c,0.0,42.09195402298849,0.0,False
GENERIC_hCATION1_en,0.0,-2.0,0.0,False
GENERIC_hCATION1_vm,0.0,-2.0,0.0,False
GENERIC_hCATION1_gm,0.0,-2.0,0.0,False
GENERIC_hCATION1_mm,0.0,-2.0,0.0,False
GENERIC_hCATION1_rm,0.0,-2.0,0.0,False
GENERIC_hCATION1_v,0.0,-2.0,0.0,False
GENERIC_hCATION1_x,0.0,-2.0,0.0,False
GENERIC_hCATION1_n,0.0,-2.0,0.0,False
GENERIC_hCATION1_m,0.0,-2.0,0.0,False
GENERIC_hCATION1_l,0.0,-2.0,0.0,False
GENERIC_hCATION1_g,0.0,-2.0,0.0,False
GENERIC_hCATION1_c,0.0,-2.0,0.0,False
GENERIC_hCATION1_r,0.0,-2.0,0.0,False
GENERIC_hCATION1_e,0.0,-2.0,0.0,False
GENERIC_ca2metal2_c,0.0,-2.0,0.0,False
GENERIC_ca2metal2_e,0.0,-2.0,0.0,False
GENERIC_cobalt2metal2_c,0.0,-2.0,0.0,False
GENERIC_cobalt2metal2_e,0.0,-2.0,0.0,False
GENERIC_cu2metal2_e,0.0,-2.0,0.0,False
GENERIC_cu2metal2_c,0.0,-2.0,0.0,False
GENERIC_fe2metal2_c,0.0,-2.0,0.0,False
GENERIC_fe2metal2_e,0.0,-2.0,0.0,False
GENERIC_fe2metal2_m,0.0,-2.0,0.0,False
GENERIC_mg2metal2_c,0.0,-2.0,0.0,False
GENERIC_mg2metal2_e,0.0,-2.0,0.0,False
GENERIC_mn2metal2_e,0.0,-2.0,0.0,False
GENERIC_mn2metal2_c,0.0,-2.0,0.0,False
GENERIC_ni2metal2_c,0.0,-2.0,0.0,False
GENERIC_ni2metal2_e,0.0,-2.0,0.0,False
GENERIC_zn2metal2_e,0.0,-2.0,0.0,False
GENERIC_zn2metal2_c,0.0,-2.0,0.0,False
GENERIC_fe2feCATION_c,0.0,2.0,0.0,False
GENERIC_fe2feCATION_e,0.0,2.0,0.0,False
GENERIC_fe2feCATION_m,0.0,-2.0,0.0,False
GENERIC_fe3feCATION_c,0.0,-2.0,0.0,False
GENERIC_fe3feCATION_e,0.0,-2.0,0.0,False
GENERIC_mg2mg2ormn2_c,0.0,-2.0,0.0,False
GENERIC_mg2mg2ormn2_e,0.0,-2.0,0.0,False
GENERIC_mn2mg2ormn2_c,0.0,-2.0,0.0,False
GENERIC_mn2mg2ormn2_e,0.0,-2.0,0.0,False
