,fluxes,reduced_costs,abs,unique
RLFC2O_c,0.0,-2.0,0.0,True
RLFC2O_m,0.0,302.0,0.0,False
BTDDH_c,0.0,2.0,0.0,False
LLFC2O_c,0.0,-2.0,0.0,False
13GS_c,0.09271958082286179,-2.0,0.09271958082286179,False
16GS_c,0.024399884649999846,-2.0,0.024399884649999846,False
PRMICI_c,0.012253145992180069,-2.0,0.012253145992180069,False
P5CD_m,0.0,-2.000000000003638,0.0,False
DKMPPD_c,0.0,-1.9999999999986926,0.0,False
DHPPDA2_c,0.0,-2.0,0.0,False
DRAPPRy_c,0.0,-2.0,0.0,False
ACHBS_m,0.03739461014513623,-1.9999999999990905,0.03739461014513623,False
HPPK2_m,0.0,1018.6666666666647,0.0,True
AATA_c,0.0417117043993954,-2.0,0.0417117043993954,False
DPR_c,0.0,-2.0,0.0,False
Q6MT1_m,0.0,-2.0,0.0,False
Q6MO_m,0.0,-2.0,0.0,False
IPPMIb_c,-0.05085396365917158,2.0,0.05085396365917158,False
IPPS_c,0.0,647.3333333333235,0.0,False
IPPS_m,0.05085396365917158,-2.000000000003638,0.05085396365917158,True
UNK3_c,0.0,-2.0,0.0,False
HCITR_m,0.0417117043993954,-2.0,0.0417117043993954,False
MCITS_m,0.0,-2.0,0.0,False
OMCDC_c,0.05085396365917158,-2.0,0.05085396365917158,False
OMCDC_m,0.0,-2.0,0.0,False
BPNT_c,0.008150666604981371,-2.0,0.008150666604981371,False
PDE1_c,0.0,876.6666666666647,0.0,False
PDE2_c,0.0,-2.0,0.0,False
PDE3_c,0.0,-2.0,0.0,False
PDE4_c,0.0,-2.0,0.0,False
PDE5_c,0.0,-2.0,0.0,False
DB4PS_c,0.0,26617.666666666664,0.0,False
DHQTi_c,0.04044202989839487,-2.0,0.04044202989839487,False
DHQS_c,0.04044202989839487,-2.0,0.04044202989839487,False
3DSPHR_r,0.0001585400912156018,-1.999999999992724,0.0001585400912156018,False
DDPA_c,0.04044202989839487,-2.0,0.04044202989839487,False
3HXPHBH_c,0.0,-2.0,0.0,False
3HPH5MBDC_m,0.0,-2.0,0.0,False
HKYNH_c,0.0,22307.333333333314,0.0,False
HACD140i_x,0.0,-2.000000000003638,0.0,False
3HAO_c,0.0,-2.0,0.0,False
3IPM3MT_c,0.0,-2.0,0.0,False
IPPMIa_c,-0.05085396365917158,2.0,0.05085396365917158,False
IPMD_c,0.05085396365917158,-2.0,0.05085396365917158,False
3MOBDC_c,0.0,13508.66666666667,0.0,False
MTMOHT_m,0.0,-2.0,0.0,False
PSCIT_c,0.04044202989839487,-2.0,0.04044202989839487,False
ADCS_c,0.0,21021.999999999985,0.0,False
ADCL_c,0.0,-2.0,0.0,False
ABTA_c,0.0,-2.0,0.0,False
4HTHRS_c,0.0,-2.0,0.0,False
4HBZF_m,0.0,-2.0,0.0,False
4DPMIPPH_c,0.0,-2.000000000000057,0.0,True
IPPYP1_c,0.0,-2.0,0.0,True
MTAP_c,0.0,-2.0,0.0,False
NTD4pp_c,0.0,-2.0,0.0,False
NTD11_c,0.0,-2.0,0.0,True
NTD2pp_c,0.0,515.3333333333321,0.0,True
PRFGS_c,0.016344794575454014,-1.999999999998181,0.016344794575454014,False
MTHFR3_c,0.011802560891915488,-2.0,0.011802560891915488,False
ALAS_m,1.0195338789395374e-06,-2.0,1.0195338789395374e-06,False
5DPMIPPH_c,0.0,-1.9999999999991473,0.0,True
PMI12346PS_c,0.0,515.3333333333317,0.0,True
MHPGLUT_c,0.0,-2.0,0.0,False
MDRPD_c,0.0,-2.0,0.0,False
MTRI_c,0.0,-2.0,0.0,False
IPPYP2_c,0.0,-2.0,0.0,True
IPPYP3_c,0.0,-2.0,0.0,True
PFK_4_c,0.0,515.3333333333326,0.0,True
PGL_c,0.008640079701978054,-2.0,0.008640079701978054,False
6DPMIPPH_c,0.0,1.9999999999999432,0.0,True
IPPYP4_c,0.0,1.9999999999994884,0.0,True
AOXS_c,0.0,-2.0,0.0,False
ACALDCD_c,0.0,0.0,0.0,False
KARA1i_m,0.09739083306408386,-2.0,0.09739083306408386,False
ACLS_m,0.09739083306408386,-2.0,0.09739083306408386,False
ACOATA_m,0.0,-2.0,0.0,False
ACACT180i_x,0.0,-2.000000000007276,0.0,False
ACACT260i_x,0.0,-2.0,0.0,False
ACACT160i_x,0.0,18567.999999999593,0.0,False
ACACT40ir_c,0.0,2.0,0.0,False
ACACT40ir_m,0.008258807043010491,-2.0,0.008258807043010491,True
ACACT140i_x,0.0,-2.0,0.0,True
ACACT100i_x,0.0,-2.0,0.0,True
ACACT120i_x,0.0,-2.0,0.0,False
ACCOAC_m,0.0,-2.0000000000022737,0.0,False
ACCOAC_c,0.03883314778628156,-1.999999999996362,0.03883314778628156,False
ACOAHi_m,0.0,921.3333333333344,0.0,True
ACS_c,0.05443992647431953,-1.9999999999954525,0.05443992647431953,False
ACGK_m,0.0512983999716613,-2.0,0.0512983999716613,False
ACP1_e,0.0,-2.0,0.0,False
ACONT2_m,0.0,2.0,0.0,False
ACOTAi_m,0.0512983999716613,-2.0,0.0512983999716613,False
COAHL_m,0.0,1701.9999999999936,0.0,True
ACOAO100_x,0.0,-2.0,0.0,True
ACOAO120_x,0.0,-2.0,0.0,True
ACOAO260_x,0.0,-2.0,0.0,False
ACOAO160_x,0.0,-2.0,0.0,False
ACOAO180_x,0.0,2507.3333333333867,0.0,False
ACOAO140_x,0.0,-2.0,0.0,False
STATe181_rm,0.0,-2.0,0.0,True
STATg181_rm,7.53015410106918e-05,-2.0,7.53015410106918e-05,True
STATf181_rm,0.0,2.0,0.0,True
STATl181_rm,0.0,2.0,0.0,True
STATz181_rm,0.0,-2.0,0.0,True
STATe161_rm,0.0,2.0,0.0,True
STATg161_rm,0.00020526172937148312,-2.0,0.00020526172937148312,True
STATf161_rm,0.0,2.0,0.0,True
STATl161_rm,0.0,2.0,0.0,True
STATz161_rm,0.0,-2.0,0.0,True
GPIA3_r,0.0,2.0,0.0,False
ADD_c,0.0,-2.0,0.0,False
ADPT_c,0.0,122.00000000001455,0.0,False
ADA_c,0.0,233.33333333332484,0.0,True
ADNK1_c,0.004564980842688024,-2.0,0.004564980842688024,False
AMPDA_c,0.0,750.666666666657,0.0,False
AHCi_c,0.004564980842688024,-2.000000000001819,0.004564980842688024,False
ADMDC_c,0.0,-2.0,0.0,False
AMAOTr_c,0.0,2.0,0.0,False
ADNCYC_c,0.0,-2.0000000000004547,0.0,False
ADK1_c,0.8767849806917799,-2.0,0.8767849806917799,False
ADK1_m,0.0,-2.0,0.0,False
ADK3_m,0.0,-2.0,0.0,False
ADSL2i_c,0.016344794575454014,-2.0,0.016344794575454014,False
ADSL1r_c,0.020869238855610782,-1.999999999998181,0.020869238855610782,False
ADSS_c,0.020869238855610782,-2.000000000003638,0.020869238855610782,False
ADSK_c,0.008150666604981371,-2.0,0.008150666604981371,False
23CAPPD_c,0.0,-2.0,0.0,False
AGTi_c,0.0,-2.0,0.0,False
ALATRS_c,0.06202800354683472,-2.0,0.06202800354683472,False
OHACT3_c,0.0,-2.0,0.0,False
OHACT1_c,0.0,-2.0000000000004547,0.0,True
OHACT2_c,0.0,-2.0,0.0,True
OHACT4_c,0.0,-2.0,0.0,True
OHACT5_c,0.0,-2.0,0.0,True
ALCD2i1_c,0.0,-2.0,0.0,True
ALCD19y_c,0.0,-2.0,0.0,False
ALCD2i2_m,0.0,2.0,0.0,True
ALCD22xi_c,0.0,-2.0,0.0,False
ALCD22xi_m,0.0,-2.0,0.0,False
ALCD22yi_c,0.0,225.33333333332848,0.0,False
ALCD25xi_c,0.0,-2.0,0.0,True
ALCD25xi_m,0.0,-2.0,0.0,True
ALCD25yi_c,0.0,225.33333333332848,0.0,True
ALDD22x_c,0.0,-2.0,0.0,True
ALDD2y_c,0.046289259869338156,-2.0,0.046289259869338156,False
ALDD2x_m,0.0,915.3333333333335,0.0,True
ALDD2y_m,0.0,842.000000000005,0.0,True
ALDD20x_m,0.0,367.3333333333321,0.0,False
ALDD20y_c,0.0,-2.0,0.0,True
ALDD20y_m,0.0,294.0,0.0,False
ALCD24xi_c,0.0,-2.0,0.0,False
ALCD24xi_m,0.0,-2.0,0.0,False
ALCD24yi_c,0.0,225.33333333332848,0.0,False
ALCD23xi_c,0.0,-2.0,0.0,False
ALCD23xi_m,0.0,-2.0,0.0,True
ALCD23yi_c,0.0,225.33333333332848,0.0,False
ALDD19xi_c,0.0,-2.0,0.0,False
ALCD26xi_c,0.0,-2.0,0.0,False
ALCD26xi_m,0.0,-1.999999999996362,0.0,True
AKP1_c,0.0,149.99999999999943,0.0,True
ATAH_c,0.0,-2.0,0.0,False
ALLTN_c,0.0,2.000000000000057,0.0,False
ALPHNH_c,0.0,501.33333333333076,0.0,False
12AMANTF_g,0.0,-2.0000000000009095,0.0,False
TREH_v,0.0,1391.9999999999964,0.0,True
TREH_c,0.0,1399.9999999999964,0.0,True
TRE6PS_c,0.0022406933566754632,-2.0,0.0022406933566754632,True
MALT_c,0.0,-2.0,0.0,False
AMID_c,0.0,-2.0,0.0,False
AACTOOR_c,0.0,1552.3333333333148,0.0,False
