id	object_type	command
#Fix on 2021-01-31
ALDD2y_c	rxn	copy:ALDD2y_m
ALDD2y_c	rxn	gpr:rt3674 or rt2756
ALDD2y_c	rxn	notes:notes-cofactor assignment based on protein homology to S cerevisiae
ALDD2x_c	rxn	gpr:rt2756
ALDD2x_c	rxn	notes:notes-cofactor assignment based on protein homology to S cerevisiae
ALDD2y_m	rxn	remove
ALDD2x_m	rxn	remove
GLUDC_c	rxn	gpr:rt1067 or rt2354 or rt1066
GLUDC_m	rxn	remove
SSALx_c	rxn	remove
rt8468	gene	notes:notes-confirm to be succinate semialdehyde via ncbi BLAST, check with SC UGA2 YBR006W in ncbi CDD
OAADC_c	rxn	create
OAADC_c	rxn	name:oxaloacetate decarboxylase
OAADC_c	rxn	reaction:h_c + oaa_c --> co2_c + pyr_c
OAADC_c	rxn	gpr:rt7226
OAADC_c	rxn	subsystem:Pyruvate metabolism
OAADC_c	rxn	lower_bound:0
OAADC_c	rxn	upper_bound:1000
OAADC_c	rxn	annotation:kegg.reaction-R00217
OAADC_c	rxn	annotation:ec-4.1.1.112
rt7226	gene	name:YER010C
CITt4_m	rxn	id:CITICITta_m
Ktps_e	rxn	create
Ktps_e	rxn	name:potassium transport
Ktps_e	rxn	reaction:h_e + k_e --> h_c + k_c
Ktps_e	rxn	gpr:rt2101
Ktps_e	rxn	subsystem:Transport
Ktps_e	rxn	lower_bound:0
Ktps_e	rxn	upper_bound:1000
Ktps_e	rxn	annotation:sbo-SBO:0000185
rt2101	gene	name:NHX1
ALDD2x_c	rxn	gpr:rt2756
ALDD2y_c	rxn	name:acetaldehyde dehydrogenase (NADP)
ALDD2y_c	rxn	reaction:acald_c + h2o_c + nadp_c --> ac_c + 2.0 h_c + nadph_c
ALDD2y_c	rxn	gpr:rt3674 or rt2756
ALDD2y_c	rxn	subsystem:Pyruvate metabolism
ALDD2y_c	rxn	lower_bound:0
ALDD2y_c	rxn	upper_bound:1000
ALDD2y_c	rxn	annotation:kegg.reaction-R00711
ALDD2y_c	rxn	annotation:ec-1.2.1.4
