	id	name	reaction	subsystem	reversibility	gpr	val_fit	mfaLB	mfaUB	val_fit_100	mfaLB_100	mfaUB_100	pfba	pfba_100	exact name in model?	match to same compartment (or another if unavailable)?	Column1	manually chosen best match	Column2	reaction (as written in original data)	Unnamed: 20	Unnamed: 21	Unnamed: 22	Unnamed: 23	Unnamed: 24	Unnamed: 25	Unnamed: 26	Unnamed: 27	Unnamed: 28	Unnamed: 29	Unnamed: 30
13GS_c	13GS_c	1,3-beta-glucan synthase	udpg_c --> 13BDglucan_c + h_c + udp_c	Carbohydrate biosynthesis	0	rt7616	0.2646304	0.2646303	0.2646305	4.963275511564238	4.963273636014221	4.963277387114254	0.2646303344509098	4.963367558780229			v.up('RXN-13GS_c_REV-SPONT') = 0.2646304 * %nscale%;	13GS_c	True	udpg_c --> 13BDglucan_c + h_c + udp_c			True	-0.2646304	-0.2646305	-0.2646303	-4.963275511564238	-4.963277387114254	-4.963273636014221	-0.2646303344509098	-4.963367558780229
16GS_c	16GS_c	1,6-beta-glucan synthase	udpg_c --> 16BDglucan_c + h_c + udp_c	Carbohydrate biosynthesis	0	rt3279 or rt0150	0.0696395	0.06963939999999999	0.0696396	1.306123653924786	1.306121778374769	1.306125529474803	0.06963948031303091	1.306147831136612			v.up('RXN-16GS_c_REV-SPONT') = 0.0696395 * %nscale%;	16GS_c	True	udpg_c --> 16BDglucan_c + h_c + udp_c			True	-0.0696395	-0.0696396	-0.06963939999999999	-1.306123653924786	-1.306125529474803	-1.306121778374769	-0.06963948031303091	-1.306147831136612
2OBUTt_c_m	2OBUTt_c_m	2-oxobutanoate transporter	2obut_c <=> 2obut_m	Transport	1		0.0022486	0.0	0.09457170000000001	0.04217361767696888	0.0	1.773739535204571	0.002248330321856891	0.04216935221761777			v.up('RXN-2OBUTt_c_m_REV-SPONT') = 0.0022486 * %nscale%;	2OBUTt_c_m	True	2obut_c <=> 2obut_m			True	-0.0022486	-0.09457170000000001	0.0	-0.04217361767696888	-1.773739535204571	0.0	-0.002248330321856891	-0.04216935221761777
2OXOADPt_c_m	2OXOADPt_c_m	2-oxoadipate and 2-oxoglutarate transport	2oxoadp_m + akg_c --> 2oxoadp_c + akg_m	Transport	0	rt2267	0.1055161	0.105516	0.1055162	1.979007231239356	1.979005355689339	1.979009106789373	0.1055161212776545	1.97904482252386			v.up('RXN-2OXOADPt_c_m_REV-SPONT') = 0.1055161 * %nscale%;	2OXOADPt_c_m	True	2oxoadp_m + akg_c --> 2oxoadp_c + akg_m			True	-0.1055161	-0.1055162	-0.105516	-1.979007231239356	-1.979009106789373	-1.979005355689339	-0.1055161212776545	-1.97904482252386
AASADy_c	AASADy_c	L-aminoadipate-semialdehyde dehydrogenase (NADPH)	L2aadp_c + atp_c + h_c + nadph_c --> L2aadp6sa_c + amp_c + nadp_c + ppi_c	Lysine metabolism	0	rt1127 and rt1852	0.1055161	0.105516	0.1055162	1.979007231239356	1.979005355689339	1.979009106789373	0.1055161212776545	1.97904482252386			v.up('RXN-AASADy_c_REV-SPONT') = 0.1055161 * %nscale%;	AASADy_c	True	L2aadp_c + atp_c + h_c + nadph_c --> L2aadp6sa_c + amp_c + nadp_c + ppi_c			True	-0.1055161	-0.1055162	-0.105516	-1.979007231239356	-1.979009106789373	-1.979005355689339	-0.1055161212776545	-1.97904482252386
AATA_c	AATA_c	2-aminoadipate transaminase	2oxoadp_c + glu__L_c --> L2aadp_c + akg_c	Lysine metabolism	0	rt7471 or rt0172 or rt4039	0.1055161	0.105516	0.1055162	1.979007231239356	1.979005355689339	1.979009106789373	0.1055161212776545	1.97904482252386			v.up('RXN-AATA_c_REV-SPONT') = 0.1055161 * %nscale%;	AATA_c	True	2oxoadp_c + glu__L_c --> L2aadp_c + akg_c			True	-0.1055161	-0.1055162	-0.105516	-1.979007231239356	-1.979009106789373	-1.979005355689339	-0.1055161212776545	-1.97904482252386
ABTA_c	ABTA_c	4-aminobutyrate transaminase	4abut_c + akg_c --> glu__L_c + sucsal_c	Alanine, aspartate and glutamate metabolism	0	rt7537 or rt2569	0.0	0.0	0.170296	0.0	0.0	3.19398665654945	0.0	0.0			v.up('RXN-ABTA_c_REV-SPONT') = 0 * %nscale%;	ABTA_c	True	4abut_c + akg_c --> glu__L_c + sucsal_c			True	0.0	-0.170296	0.0	0.0	-3.19398665654945	0.0	0.0	0.0
ACACT40ir_c	ACACT40ir_c	acetyl-CoA C-acetyltransferase	2.0 accoa_c --> aacoa_c + coa_c	Terpenoid backbone biosynthesis	0	rt0310	0.1240935	0.1240934	0.1240936	2.327435660053784	2.327433784503766	2.3274375356038	0.1240936	2.327481275985413			v.up('RXN-ACACT40ir_c_REV-SPONT') = 0.1240935 * %nscale%;	ACACT40ir_c	True	2.0 accoa_c --> aacoa_c + coa_c			True	-0.1240935	-0.1240936	-0.1240934	-2.327435660053784	-2.3274375356038	-2.327433784503766	-0.1240936	-2.327481275985413
ACGAM6PS_c	ACGAM6PS_c	N-acetylglucosamine-6-phosphate synthase	accoa_c + gam6p_c --> acgam6p_c + coa_c + h_c	Carbohydrate biosynthesis	0	rt4107	0.0062564	0.006256299999999999	0.0062565	0.1173419112488607	0.1173400356988439	0.1173437867988774	0.006256357965772339	0.1173433281103724			v.up('RXN-ACGAM6PS_c_REV-SPONT') = 0.0062564 * %nscale%;	ACGAM6PS_c	True	accoa_c + gam6p_c --> acgam6p_c + coa_c + h_c			True	-0.0062564	-0.0062565	-0.006256299999999999	-0.1173419112488607	-0.1173437867988774	-0.1173400356988439	-0.006256357965772339	-0.1173433281103724
ACGAMPM_c	ACGAMPM_c	phosphoacetylglucosamine mutase	acgam6p_c --> acgam1p_c	Amino sugar and nucleotide sugar metabolism	0	rt4597	0.0062564	0.006256299999999999	0.0062565	0.1173419112488607	0.1173400356988439	0.1173437867988774	0.006256357965772339	0.1173433281103724			v.up('RXN-ACGAMPM_c_REV-SPONT') = 0.0062564 * %nscale%;	ACGAMPM_c	True	acgam6p_c --> acgam1p_c			True	-0.0062564	-0.0062565	-0.006256299999999999	-0.1173419112488607	-0.1173437867988774	-0.1173400356988439	-0.006256357965772339	-0.1173433281103724
