"j"	"v"	"v_enzload"	"+ slack"	"- slack"
"RXN-2OXOADPt_c_m_FWD-rt2267"	 1.026196741009137E+04	 3.987444187009750E-02	 0.00E+00	 7.88E+03
"RXN-3HACD200_rm_FWD-rt2309"	 4.417724913049032E+02	 4.085436148357256E-02	 0.00E+00	 3.24E-05
"RXN-3HACD220_rm_FWD-rt2309"	 4.417724913049032E+02	 1.000000010000000E-09	 0.00E+00	 4.42E+02
"RXN-3HACD240_rm_FWD-rt2309"	 3.394611847186231E+02	 1.000000010000000E-09	 0.00E+00	 3.39E+02
"RXN-3HACD260_rm_FWD-rt2309"	 3.702952715397758E+01	 1.000000010000000E-09	 0.00E+00	 3.70E+01
"RXN-3HAD100_c_FWD-rt0302"	 5.604697650259048E+03	 1.000000010000000E-09	 0.00E+00	 5.60E+03
"RXN-3HAD120_c_FWD-rt0302"	 5.604697650259049E+03	 1.000000010000000E-09	 0.00E+00	 5.60E+03
"RXN-3HAD140_c_FWD-rt0302"	 5.604697650259050E+03	 1.000000010000000E-09	 0.00E+00	 5.60E+03
"RXN-3HAD160_c_FWD-rt0302"	 5.604697650259050E+03	 1.000000010000000E-09	 0.00E+00	 5.60E+03
"RXN-3HAD180_c_FWD-rt0302"	 4.606294348987613E+03	 1.000000010000000E-09	 0.00E+00	 4.61E+03
"RXN-3HAD40_c_FWD-rt0302"	 5.604697650259048E+03	 1.000000010000000E-09	 0.00E+00	 5.60E+03
"RXN-3HAD60_c_FWD-rt0302"	 5.604697650259048E+03	 1.000000010000000E-09	 0.00E+00	 5.60E+03
"RXN-3HAD80_c_FWD-rt0302"	 5.604697650259048E+03	 1.000000010000000E-09	 0.00E+00	 5.60E+03
"RXN-3OACE200_rm_FWD-rt2975"	 4.417724913049032E+02	 2.680207782775060E-03	 0.00E+00	 1.00E-03
"RXN-3OACE220_rm_FWD-rt8287"	 4.417718212514412E+02	 2.764806534913626E-05	 0.00E+00	 4.40E+02
"RXN-3OACE240_rm_FWD-rt2975"	 6.700534619898291E-04	 1.000000010000000E-09	 0.00E+00	 5.43E-04
"RXN-3OACE240_rm_FWD-rt8287"	 3.394605146651612E+02	 0.000000000000000E+00	 0.00E+00	 3.39E+02
