index	prosynSlack(% higher/lower than measured value)
SWS2	 2.425822667754153E+01
rt8465	-1.000000000000000E+00
rt8313	-1.000000000000000E+00
rt8262	-1.000000000000000E+00
rt8160	-1.000000000000000E+00
rt7991	-1.000000000000000E+00
rt7913	-1.000000000000000E+00
rt7828	-1.000000000000000E+00
rt7776	-1.000000000000000E+00
rt7648	-1.000000000000000E+00
rt7599	-1.000000000000000E+00
rt7511	-1.000000000000000E+00
rt7480	-1.000000000000000E+00
rt7437	-1.000000000000000E+00
rt7388	-1.000000000000000E+00
rt7353	-1.000000000000000E+00
rt7345	-1.000000000000000E+00
rt7317	-1.000000000000000E+00
rt7311	-1.000000000000000E+00
rt7263	-1.000000000000000E+00
rt7221	-1.000000000000000E+00
rt7136	-1.000000000000000E+00
rt7128	-1.000000000000000E+00
rt7120	-1.000000000000000E+00
rt7055	-1.000000000000000E+00
rt7052	-1.000000000000000E+00
rt6998	-1.000000000000000E+00
rt6983	-1.000000000000000E+00
rt6850	-1.000000000000000E+00
rt6811	-1.000000000000000E+00
rt6799	-1.000000000000000E+00
rt6769	-1.000000000000000E+00
rt6665	-1.000000000000000E+00
rt6588	-1.000000000000000E+00
rt6546	-1.000000000000000E+00
rt6544	-1.000000000000000E+00
rt6488	-1.000000000000000E+00
rt6418	-1.000000000000000E+00
rt6131	-1.000000000000000E+00
rt5913	-1.000000000000000E+00
rt5891	-1.000000000000000E+00
rt5890	-1.000000000000000E+00
rt5884	-1.000000000000000E+00
rt5758	-1.000000000000000E+00
rt5740	-1.000000000000000E+00
rt5719	-1.000000000000000E+00
rt5713	-1.000000000000000E+00
rt5633	-1.000000000000000E+00
rt5580	-1.000000000000000E+00
rt5579	-1.000000000000000E+00
rt5526	-1.000000000000000E+00
rt5403	-1.000000000000000E+00
rt5389	-1.000000000000000E+00
rt5262	-1.000000000000000E+00
rt5260	-1.000000000000000E+00
rt5249	-1.000000000000000E+00
rt5078	-1.000000000000000E+00
rt5075	-1.000000000000000E+00
rt5056	-1.000000000000000E+00
rt4929	-1.000000000000000E+00
rt4918	-1.000000000000000E+00
rt4881	-1.000000000000000E+00
rt4649	-1.000000000000000E+00
rt4634	-1.000000000000000E+00
rt4544	-1.000000000000000E+00
rt4336	-1.000000000000000E+00
rt4102	-1.000000000000000E+00
rt4053	-1.000000000000000E+00
rt3934	-1.000000000000000E+00
rt3880	-1.000000000000000E+00
rt3802	-1.000000000000000E+00
rt3754	-1.000000000000000E+00
rt3674	-1.000000000000000E+00
rt3670	-1.000000000000000E+00
rt3663	-1.000000000000000E+00
rt3614	-1.000000000000000E+00
rt3605	-1.000000000000000E+00
rt3590	-1.000000000000000E+00
rt3577	-1.000000000000000E+00
rt3476	-1.000000000000000E+00
rt3384	-1.000000000000000E+00
rt3314	-1.000000000000000E+00
rt3313	-1.000000000000000E+00
rt3256	-1.000000000000000E+00
rt3255	-1.000000000000000E+00
rt3250	-1.000000000000000E+00
rt3236	-1.000000000000000E+00
rt3118	-1.000000000000000E+00
rt2963	-1.000000000000000E+00
rt2960	-1.000000000000000E+00
rt2922	-1.000000000000000E+00
rt2810	-1.000000000000000E+00
rt2761	-1.000000000000000E+00
rt2621	-1.000000000000000E+00
rt2385	-1.000000000000000E+00
rt2246	-1.000000000000000E+00
rt2245	-1.000000000000000E+00
rt2234	-1.000000000000000E+00
rt2060	-1.000000000000000E+00
rt2006	-1.000000000000000E+00
rt1962	-1.000000000000000E+00
rt1896	-1.000000000000000E+00
rt1878	-1.000000000000000E+00
rt1837	-1.000000000000000E+00
rt1805	-1.000000000000000E+00
rt1776	-1.000000000000000E+00
rt1768	-1.000000000000000E+00
rt1711	-1.000000000000000E+00
rt1672	-1.000000000000000E+00
RT16644	-1.000000000000000E+00
RT16616	-1.000000000000000E+00
RT16570	-1.000000000000000E+00
RT16443	-1.000000000000000E+00
rt1639	-1.000000000000000E+00
rt1632	-1.000000000000000E+00
RT15948	-8.907384242110905E-01
rt1591	-1.000000000000000E+00
RT15870	-1.000000000000000E+00
RT15802	-1.000000000000000E+00
rt1542	-1.000000000000000E+00
RT15259	-1.000000000000000E+00
RT15257	-1.000000000000000E+00
RT14966	-1.000000000000000E+00
RT14752	-1.000000000000000E+00
rt1457	-1.000000000000000E+00
RT14550	-1.000000000000000E+00
rt1432	-1.000000000000000E+00
rt1406	-1.000000000000000E+00
rt1397	-1.000000000000000E+00
RT13966	-1.000000000000000E+00
RT13956	-1.000000000000000E+00
RT13779	-1.000000000000000E+00
rt1374	-1.000000000000000E+00
rt1358	-1.000000000000000E+00
RT13577	-1.000000000000000E+00
RT13491	-1.000000000000000E+00
rt1337	-1.000000000000000E+00
RT13312	-1.000000000000000E+00
rt1321	-1.000000000000000E+00
rt1320	-2.511800501592054E-01
RT13074	-1.000000000000000E+00
RT13015	-1.000000000000000E+00
rt1299	-1.000000000000000E+00
RT12715	-1.000000000000000E+00
RT12698	-1.000000000000000E+00
RT12684	-1.000000000000000E+00
RT12473	-1.000000000000000E+00
RT12340	-1.000000000000000E+00
RT12323	-1.000000000000000E+00
RT12318	-1.000000000000000E+00
rt1221	-1.000000000000000E+00
RT12087	-1.000000000000000E+00
RT11858	-1.000000000000000E+00
RT11567	-1.000000000000000E+00
RT11400	-1.000000000000000E+00
RT11395	-1.000000000000000E+00
rt1127	-1.000000000000000E+00
RT11091	-1.000000000000000E+00
RT11021	-1.000000000000000E+00
RT10742	-1.000000000000000E+00
RT10392	-1.000000000000000E+00
RT10362	-1.000000000000000E+00
RT10320	-1.000000000000000E+00
RT10103	-1.000000000000000E+00
rt1009	-1.000000000000000E+00
rt0996	-1.000000000000000E+00
RT09872	-1.000000000000000E+00
RT09857	-1.000000000000000E+00
RT09843	-1.000000000000000E+00
RT09823	-1.000000000000000E+00
RT09736	-1.000000000000000E+00
RT09735	-1.000000000000000E+00
RT09676	-1.000000000000000E+00
RT09609	-1.000000000000000E+00
RT09604	-1.000000000000000E+00
RT09529	-1.000000000000000E+00
rt0932	-1.000000000000000E+00
RT09130	-1.000000000000000E+00
RT09086	-1.000000000000000E+00
RT09069	-1.000000000000000E+00
RT08902	-1.000000000000000E+00
rt0876	-1.000000000000000E+00
rt0873	-1.000000000000000E+00
RT08529	-1.000000000000000E+00
RT08391	-1.000000000000000E+00
rt0830	-1.000000000000000E+00
rt0808	-1.000000000000000E+00
rt0717	-1.000000000000000E+00
rt0669	-1.000000000000000E+00
rt0604	-1.000000000000000E+00
rt0601	-1.000000000000000E+00
rt0553	-1.000000000000000E+00
rt0521	-1.000000000000000E+00
rt0451	-1.000000000000000E+00
rt0409	-1.000000000000000E+00
rt0376	-1.000000000000000E+00
rt0310	-1.000000000000000E+00
rt0302	-1.000000000000000E+00
rt0271	-1.000000000000000E+00
rt0027	-1.000000000000000E+00
rt0017	-1.000000000000000E+00
RPS9A	-1.876626590472750E+01
RPS8A	-8.523711882783259E+00
RPS7A	-2.149042199316575E+00
RPS6A	 1.132619787309431E+02
RPS5	-3.986284939855986E+01
RPS4A	-1.837585331771775E+01
RPS3	-4.884735144645632E+01
RPS29A	 2.310391247088845E+01
RPS28A	 2.851731377457556E+00
RPS27A	-1.478103087919273E+01
RPS26A	 2.037016421582671E+01
RPS25A	-1.000000000000000E+00
RPS24A	 1.675762497827137E+02
RPS22A	-1.805571155698634E+01
RPS21A	-4.246573724550336E+01
RPS20	-2.588034613785443E+01
RPS2	 4.171552582416762E+01
RPS1A	-2.047116051349018E+01
RPS19A	-4.970819282093335E+01
RPS18A	-2.968278383838504E+01
RPS16A	-3.061697649529075E+01
RPS14A	 5.237978869479875E+01
RPS13	 1.127489780510414E+02
RPS12	-2.817233363115506E+01
RPS11A	 5.960844005347194E+01
RPS10A	 4.407564544865283E+00
RPS0A	-6.958962626187315E+00
RPP2A	-1.000000000000000E+00
RPP0	-1.000000000000000E+00
RPL9A	-5.635304090047919E+01
RPL8A	-1.678536416270396E+01
RPL7A	 1.181164776947801E+01
RPL6A	-1.224994113142878E+01
RPL5	 1.438936934193539E+01
RPL4A	-9.778204060222473E+00
RPL43A	 9.277809748643229E+01
RPL42A	 9.423485737108804E+01
RPL37A	 1.823720611027476E+02
RPL36A	 4.537381984619056E+01
RPL35A	 1.351954741864738E+02
RPL34A	 1.001985271153271E+02
RPL33A	-6.070347158106478E+01
RPL32	 4.548008914007590E+01
RPL31A	-8.273865394742064E+00
RPL30	-1.000000000000000E+00
RPL3	 3.132642126687519E+01
RPL28	-2.371193305249955E+01
RPL27A	 2.262458122099631E+01
RPL26A	-2.814447432865603E+01
RPL25	-5.022556338321449E+00
RPL23A	 9.443581445644167E-01
RPL22A	-1.000000000000000E+00
RPL21B	-1.899123203122910E-01
RPL20A	 1.112470483597221E+01
RPL1A	 3.909691685648546E+01
RPL19A	-6.295280594208485E+00
RPL18A	 5.184782093419873E+01
RPL17A	-1.555583391191165E+01
RPL16A	 1.313328768283966E+01
RPL15A	 8.920371359162849E+01
RPL14B	-3.734529191194710E+01
RPL13A	 2.027412208607381E+02
RPL12A	 7.983721697117629E+00
RPL11A	 1.234314584203356E+02
RPL10	 2.831034876978255E+01
ASC1	-1.000000000000000E+00
RT09128	-1.000000000000000E+00
RT08976	-1.000000000000000E+00
RT08847	-1.000000000000000E+00
RT08801	-1.000000000000000E+00
RT08680	-1.000000000000000E+00
RT12688	-1.000000000000000E+00
RT12693	-1.000000000000000E+00
RT12673	-1.000000000000000E+00
RT12671	-1.000000000000000E+00
RT12548	-1.000000000000000E+00
RT12386	-1.000000000000000E+00
RT12261	-1.000000000000000E+00
RT12096	-1.000000000000000E+00
RT13492	-1.000000000000000E+00
RT13488	-1.000000000000000E+00
RT13702	-1.000000000000000E+00
RT13564	-1.000000000000000E+00
RT14093	-1.000000000000000E+00
RT13963	-1.000000000000000E+00
RT13880	-1.000000000000000E+00
RT13847	-1.000000000000000E+00
RT14961	-1.000000000000000E+00
RT14898	-1.000000000000000E+00
RT14736	-1.000000000000000E+00
RT14707	-1.000000000000000E+00
RT14549	-1.000000000000000E+00
RT15310	-1.000000000000000E+00
RT15285	-1.000000000000000E+00
RT15258	-1.000000000000000E+00
RT16178	-1.000000000000000E+00
RT16068	-1.000000000000000E+00
RT16054	-1.000000000000000E+00
RT15909	-1.000000000000000E+00
RT15715	-1.000000000000000E+00
RT16726	-1.000000000000000E+00
RT09598	-1.000000000000000E+00
RT09984	-1.000000000000000E+00
RT09983	-1.000000000000000E+00
RT10370	-1.000000000000000E+00
RT10267	-1.000000000000000E+00
RT10200	-1.000000000000000E+00
RT10153	-1.000000000000000E+00
RT10676	-1.000000000000000E+00
RT10527	-1.000000000000000E+00
RT10499	-1.000000000000000E+00
RT10964	-1.000000000000000E+00
RT10822	-1.000000000000000E+00
RT11492	-1.000000000000000E+00
RT11450	-1.000000000000000E+00
RT11595	-1.000000000000000E+00
A0A0K3CNN2	-1.000000000000000E+00
A0A0K3CJ98	-1.000000000000000E+00
A0A0K3CA02	-1.000000000000000E+00
A0A0K3C8F4	-1.000000000000000E+00
RT13362	-1.000000000000000E+00
RT15852	-1.000000000000000E+00
RT08534	-1.000000000000000E+00
RT09231	-1.000000000000000E+00
