"rxn"	"v_exp_lb"	"v_sm"	"% diff from v_exp_lb"
"13GS_c"	 2.646303344509098E-01	 2.534818279041822E-01	-4.21E+00
"16GS_c"	 6.963948031303091E-02	 6.670555897646463E-02	-4.21E+00
"2OXOADPt_c_m"	 1.055161212776545E-01	 1.026396781412752E-01	-2.73E+00
"AASADy_c"	 1.055161212776545E-01	 1.026396781412752E-01	-2.73E+00
"AATA_c"	 1.055161212776545E-01	 1.026396781412752E-01	-2.73E+00
"ACACT40ir_c"	 1.240936000000000E-01	 1.188662489188965E-01	-4.21E+00
"ACGAM6PS_c"	 6.256357965772339E-03	 5.992865739133599E-03	-4.21E+00
"ACGAMPM_c"	 6.256357965772339E-03	 5.992865739133599E-03	-4.21E+00
"ACHBS_m"	 9.459494178611749E-02	 7.503306873875071E-02	-2.07E+01
"ACKr_c"	 9.132142089751660E-08	 0.000000000000000E+00	-1.00E+02
"ACLS_m"	 2.463645834695243E-01	 2.591310955201983E-01	 5.18E+00
"ACOADS180_rm"	 3.666022672353034E-02	 3.548987299239839E-02	-3.19E+00
"ACOADS181_rm"	 2.498535322007001E-02	 2.418771110013480E-02	-3.19E+00
"ACOADS182_rm"	 4.938270437192119E-03	 4.780610381557956E-03	-3.19E+00
"ACONTa_m"	 1.803862224676159E+00	 1.813562035327195E+00	 5.38E-01
"ACONTb_m"	 1.803862224676159E+00	 1.813562035327195E+00	 5.38E-01
"ACS_c"	 2.055690000000000E-02	 7.585175724094734E-04	-9.63E+01
"ADK1_c"	 1.217887662522189E+00	 2.427669329971280E+00	 9.93E+01
"ADNK1_c"	 5.406278161887105E-02	 5.178542902371954E-02	-4.21E+00
"ADPATPt_c_m"	 7.733920576150967E+01	 7.943021777095689E+01	 2.70E+00
"ADSK_c"	 2.055699132142089E-02	 4.710184652421420E-02	 1.29E+02
"ADSL1r_c"	 5.974085357308522E-02	 6.793246645329679E-02	 1.37E+01
"ADSL2i_c"	 7.278047360172257E-02	 7.575428721554743E-02	 4.09E+00
"ADSS_c"	 5.974085357308522E-02	 6.793246645329679E-02	 1.37E+01
