index	prosynSlack(% higher/lower than measured value)
A0A2T0AAQ5	-1.000000000000000E+00
YML6	-1.000000000000000E+00
A0A2S9ZW61	-1.000000000000000E+00
A0A2T0A2I6	-1.000000000000000E+00
A0A2T0A436	-1.000000000000000E+00
SWS2	 4.611468408132560E+03
A0A2S9ZWW7	-1.000000000000000E+00
rt8485	-1.000000000000000E+00
rt8484	-1.000000000000000E+00
rt8483	-1.000000000000000E+00
rt8468	-1.000000000000000E+00
rt8465	-1.000000000000000E+00
rt8431	-1.000000000000000E+00
rt8407	-1.000000000000000E+00
rt8378	-1.000000000000000E+00
rt8374	-1.000000000000000E+00
rt8364	-1.000000000000000E+00
rt8357	-1.000000000000000E+00
rt8345	-1.000000000000000E+00
rt8327	-1.000000000000000E+00
rt8313	-1.000000000000000E+00
rt8298	-1.000000000000000E+00
rt8291	-1.000000000000000E+00
rt8275	-1.000000000000000E+00
rt8273	-1.000000000000000E+00
rt8272	-1.000000000000000E+00
rt8267	-1.000000000000000E+00
rt8262	-1.000000000000000E+00
rt8251	-1.000000000000000E+00
rt8239	-1.000000000000000E+00
rt8224	-1.000000000000000E+00
rt8223	-1.000000000000000E+00
rt8196	-1.000000000000000E+00
rt8184	-1.000000000000000E+00
rt8181	-1.000000000000000E+00
rt8160	-1.000000000000000E+00
rt8154	-1.000000000000000E+00
rt8149	-1.000000000000000E+00
rt8147	-1.000000000000000E+00
rt8143	-1.000000000000000E+00
rt8139	-1.000000000000000E+00
rt8137	-1.000000000000000E+00
rt8135	-1.000000000000000E+00
rt8109	-1.000000000000000E+00
rt8107	-1.000000000000000E+00
rt8106	-1.000000000000000E+00
rt8084	-1.000000000000000E+00
rt8055	-1.000000000000000E+00
rt8036	-1.000000000000000E+00
rt8029	-1.000000000000000E+00
rt8001	-1.000000000000000E+00
rt7991	-1.000000000000000E+00
rt7962	-1.000000000000000E+00
rt7955	-1.000000000000000E+00
rt7922	-1.000000000000000E+00
rt7919	-1.000000000000000E+00
rt7917	-1.000000000000000E+00
rt7916	-1.000000000000000E+00
rt7913	-1.000000000000000E+00
rt7912	-1.000000000000000E+00
rt7910	-1.000000000000000E+00
rt7908	-1.000000000000000E+00
rt7907	-1.000000000000000E+00
rt7905	-1.000000000000000E+00
rt7899	-1.000000000000000E+00
rt7896	-1.000000000000000E+00
rt7877	-1.000000000000000E+00
rt7873	-1.000000000000000E+00
rt7872	-1.000000000000000E+00
rt7857	-1.000000000000000E+00
rt7845	-1.000000000000000E+00
rt7840	-1.000000000000000E+00
