index	prosynSlack(% higher/lower than measured value)
rt0004	-1.000000000000000E+02
rt0017	-1.000000000000000E+02
rt0027	-1.000000000000000E+02
rt0031	-1.000000000000000E+02
rt0063	-9.999999999999999E+01
rt0066	-1.000000000000000E+02
rt0075	-1.000000000000000E+02
rt0078	-1.000000000000000E+02
rt0088	-1.000000000000000E+02
rt0144	-1.000000000000000E+02
rt0172	-1.000000000000000E+02
rt0180	-1.000000000000000E+02
rt0201	-1.000000000000000E+02
rt0207	-1.000000000000000E+02
rt0212	-1.000000000000000E+02
rt0234	-1.000000000000000E+02
rt0239	-1.000000000000000E+02
rt0271	-1.000000000000000E+02
rt0283	-1.000000000000000E+02
rt0302	-1.000000000000000E+02
rt0309	-1.000000000000000E+02
rt0310	-1.000000000000000E+02
rt0324	-1.000000000000000E+02
rt0331	-1.000000000000000E+02
rt0334	-9.999999999999999E+01
rt0339	-1.000000000000000E+02
rt0341	-1.000000000000000E+02
rt0353	-1.000000000000000E+02
rt0376	-9.999999999999999E+01
rt0390	-9.999999999999999E+01
rt0400	-1.000000000000000E+02
rt0409	-1.000000000000000E+02
rt0413	-1.000000000000000E+02
rt0422	-1.000000000000000E+02
rt0434	-1.000000000000000E+02
rt0451	-1.000000000000000E+02
rt0467	-1.000000000000000E+02
rt0477	-1.000000000000000E+02
rt0499	-1.000000000000000E+02
rt0510	-1.000000000000000E+02
rt0517	-1.000000000000000E+02
rt0521	-1.000000000000000E+02
rt0532	-1.000000000000000E+02
rt0540	-1.000000000000000E+02
rt0548	-1.000000000000000E+02
rt0553	-1.000000000000000E+02
rt0564	-1.000000000000000E+02
rt0568	-1.000000000000000E+02
rt0601	-9.999999999999999E+01
rt0604	-1.000000000000000E+02
rt0607	-1.000000000000000E+02
rt0620	-1.000000000000000E+02
rt0632	-1.000000000000000E+02
rt0643	-1.000000000000000E+02
rt0669	-9.999999999999999E+01
rt0671	-1.000000000000000E+02
rt0697	-1.000000000000000E+02
rt0711	-1.000000000000000E+02
rt0712	-1.000000000000000E+02
rt0716	-1.000000000000000E+02
rt0717	-9.999999999999999E+01
rt0757	-9.999999999999999E+01
rt0767	-1.000000000000000E+02
rt0797	-1.000000000000000E+02
rt0799	-1.000000000000000E+02
rt0808	-1.000000000000000E+02
rt0812	-1.000000000000000E+02
rt0830	-1.000000000000000E+02
rt0842	-1.000000000000000E+02
rt0848	-1.000000000000000E+02
rt0852	-1.000000000000000E+02
rt0872	-9.999999999999999E+01
rt0873	-1.000000000000000E+02
rt0876	-1.000000000000000E+02
rt0882	-1.000000000000000E+02
rt0894	-1.000000000000000E+02
rt0910	-1.000000000000000E+02
rt0915	-9.999999999999999E+01
rt0930	-1.000000000000000E+02
rt0932	-1.000000000000000E+02
rt0947	-1.000000000000000E+02
rt0963	-1.000000000000000E+02
rt0996	-1.000000000000000E+02
rt1009	-1.000000000000000E+02
rt1057	-1.000000000000000E+02
rt1060	-1.000000000000000E+02
rt1089	-1.000000000000000E+02
rt1127	-1.000000000000000E+02
rt1131	-1.000000000000000E+02
rt1145	-1.000000000000000E+02
rt1168	-1.000000000000000E+02
rt1169	-9.999999999999999E+01
rt1206	-1.000000000000000E+02
rt1221	-1.000000000000000E+02
rt1228	-1.000000000000000E+02
rt1254	-1.000000000000000E+02
rt1267	-9.999999999999999E+01
rt1269	-9.999999999999999E+01
rt1276	-1.000000000000000E+02
rt1299	-1.000000000000000E+02
rt1320	-1.000000000000000E+02
rt1321	-1.000000000000000E+02
rt1332	-1.000000000000000E+02
rt1336	-1.000000000000000E+02
rt1337	-1.000000000000000E+02
rt1358	-1.000000000000000E+02
rt1360	-1.000000000000000E+02
rt1362	-1.000000000000000E+02
rt1374	-1.000000000000000E+02
rt1395	-9.999999999999999E+01
rt1397	-9.999999999999999E+01
rt1406	-1.000000000000000E+02
rt1414	-1.000000000000000E+02
rt1432	-1.000000000000000E+02
rt1437	-9.999999999999999E+01
rt1457	-1.000000000000000E+02
rt1470	-9.999999999999999E+01
rt1487	-1.000000000000000E+02
rt1488	-1.000000000000000E+02
rt1518	-1.000000000000000E+02
rt1520	-1.000000000000000E+02
rt1542	-1.000000000000000E+02
rt1544	-9.999999999999999E+01
rt1561	-1.000000000000000E+02
rt1572	-1.000000000000000E+02
rt1591	-1.000000000000000E+02
rt1613	-1.000000000000000E+02
rt1632	-9.999999999999999E+01
rt1639	-9.999999999999999E+01
rt1642	-1.000000000000000E+02
rt1644	-1.000000000000000E+02
rt1648	-1.000000000000000E+02
rt1672	-1.000000000000000E+02
rt1675	-1.000000000000000E+02
rt1701	-1.000000000000000E+02
rt1711	-1.000000000000000E+02
rt1736	-1.000000000000000E+02
rt1745	-1.000000000000000E+02
rt1768	-1.000000000000000E+02
rt1772	-1.000000000000000E+02
rt1776	-1.000000000000000E+02
rt1779	-9.903812914082265E+01
rt1802	-1.000000000000000E+02
rt1805	-1.000000000000000E+02
rt1830	-1.000000000000000E+02
rt1837	-1.000000000000000E+02
rt1845	-1.000000000000000E+02
rt1850	-1.000000000000000E+02
rt1878	-9.999999999999999E+01
rt1883	-1.000000000000000E+02
rt1896	-9.999999999999999E+01
rt1908	-1.000000000000000E+02
rt1924	-1.000000000000000E+02
rt1935	-1.000000000000000E+02
rt1962	-1.000000000000000E+02
rt1963	-1.000000000000000E+02
rt1964	-9.999999999999999E+01
rt1965	-1.000000000000000E+02
rt1970	-1.000000000000000E+02
rt1973	-1.000000000000000E+02
rt1991	-1.000000000000000E+02
rt2006	-9.999999999999999E+01
rt2040	-1.000000000000000E+02
rt2060	-1.000000000000000E+02
rt2107	-1.000000000000000E+02
rt2136	-1.000000000000000E+02
rt2146	-1.000000000000000E+02
rt2172	-9.999999999999999E+01
rt2173	-1.000000000000000E+02
rt2183	-1.000000000000000E+02
rt2190	-1.000000000000000E+02
rt2202	-1.000000000000000E+02
rt2220	-1.000000000000000E+02
rt2224	-1.000000000000000E+02
rt2234	-1.000000000000000E+02
rt2239	-1.000000000000000E+02
rt2245	-1.000000000000000E+02
rt2246	-1.000000000000000E+02
rt2265	-9.999999999999999E+01
rt2267	-1.000000000000000E+02
rt2279	-1.000000000000000E+02
rt2305	-1.000000000000000E+02
rt2306	-1.000000000000000E+02
rt2309	-1.000000000000000E+02
rt2317	-1.000000000000000E+02
rt2336	-1.000000000000000E+02
rt2348	-1.000000000000000E+02
rt2385	-1.000000000000000E+02
rt2416	-1.000000000000000E+02
rt2444	-1.000000000000000E+02
rt2473	-1.000000000000000E+02
rt2477	-1.000000000000000E+02
rt2532	-9.999999999999999E+01
rt2544	-1.000000000000000E+02
rt2569	-1.000000000000000E+02
rt2573	-1.000000000000000E+02
rt2577	-1.000000000000000E+02
rt2593	-1.000000000000000E+02
rt2613	-1.000000000000000E+02
rt2621	-1.000000000000000E+02
rt2643	-9.999999999999999E+01
rt2654	-1.000000000000000E+02
rt2671	-9.999999999999999E+01
rt2682	-1.000000000000000E+02
rt2684	-1.000000000000000E+02
rt2696	-1.000000000000000E+02
rt2707	-1.000000000000000E+02
rt2749	-1.000000000000000E+02
rt2756	-1.000000000000000E+02
rt2761	-9.999999999999999E+01
rt2777	-1.000000000000000E+02
rt2799	-1.000000000000000E+02
rt2810	-1.000000000000000E+02
rt2815	-1.000000000000000E+02
rt2835	-1.000000000000000E+02
rt2839	-1.000000000000000E+02
rt2849	-1.000000000000000E+02
rt2880	-1.000000000000000E+02
rt2922	-1.000000000000000E+02
rt2949	-1.000000000000000E+02
rt2960	-1.000000000000000E+02
rt2963	-1.000000000000000E+02
rt2964	-9.999999999999999E+01
rt2994	-1.000000000000000E+02
rt3013	-1.000000000000000E+02
rt3021	-1.000000000000000E+02
rt3052	-1.000000000000000E+02
rt3078	-9.999999999999999E+01
rt3095	-1.000000000000000E+02
rt3097	-9.999999999999999E+01
rt3101	-1.000000000000000E+02
rt3118	-1.000000000000000E+02
rt3157	-1.000000000000000E+02
rt3236	-1.000000000000000E+02
rt3242	-1.000000000000000E+02
rt3250	-9.999999999999999E+01
rt3255	-1.000000000000000E+02
rt3256	-1.000000000000000E+02
rt3261	-1.000000000000000E+02
rt3274	-9.999999999999999E+01
rt3278	-1.000000000000000E+02
rt3279	-1.000000000000000E+02
rt3313	-1.000000000000000E+02
rt3314	-1.000000000000000E+02
rt3334	-1.000000000000000E+02
rt3348	-1.000000000000000E+02
rt3355	-1.000000000000000E+02
rt3373	-1.000000000000000E+02
rt3384	-1.000000000000000E+02
rt3408	-1.000000000000000E+02
rt3417	-1.000000000000000E+02
rt3419	-1.000000000000000E+02
rt3425	-9.999999999999999E+01
rt3469	-9.999999999999999E+01
rt3476	-1.000000000000000E+02
rt3499	-1.000000000000000E+02
rt3514	-1.000000000000000E+02
rt3531	-1.000000000000000E+02
rt3541	-1.000000000000000E+02
rt3542	-1.000000000000000E+02
rt3556	-1.000000000000000E+02
rt3557	-1.000000000000000E+02
rt3577	-1.000000000000000E+02
rt3590	-1.000000000000000E+02
rt3599	-1.000000000000000E+02
rt3605	-1.000000000000000E+02
rt3609	-1.000000000000000E+02
rt3614	-9.999999999999999E+01
rt3621	-1.000000000000000E+02
rt3625	-1.000000000000000E+02
rt3639	-1.000000000000000E+02
rt3663	-1.000000000000000E+02
rt3664	-1.000000000000000E+02
rt3666	-1.000000000000000E+02
rt3670	-9.999999999999999E+01
rt3674	-1.000000000000000E+02
rt3682	-1.000000000000000E+02
rt3683	-1.000000000000000E+02
rt3712	-1.000000000000000E+02
rt3730	-1.000000000000000E+02
rt3748	-1.000000000000000E+02
rt3750	-1.000000000000000E+02
rt3753	-1.000000000000000E+02
rt3754	-1.000000000000000E+02
rt3764	-1.000000000000000E+02
rt3786	-1.000000000000000E+02
rt3787	-1.000000000000000E+02
rt3790	-9.999999999999999E+01
rt3791	-1.000000000000000E+02
rt3802	-1.000000000000000E+02
rt3852	-1.000000000000000E+02
rt3874	-1.000000000000000E+02
rt3880	-1.000000000000000E+02
rt3897	-9.999999999999999E+01
rt3901	-1.000000000000000E+02
rt3923	-1.000000000000000E+02
rt3932	-1.000000000000000E+02
rt3934	-1.000000000000000E+02
rt3939	-1.000000000000000E+02
rt4019	-1.000000000000000E+02
rt4023	-1.000000000000000E+02
rt4039	-1.000000000000000E+02
rt4053	-1.000000000000000E+02
rt4066	-1.000000000000000E+02
rt4077	-1.000000000000000E+02
rt4102	-1.000000000000000E+02
rt4117	-9.999999999999999E+01
rt4127	-1.000000000000000E+02
rt4145	-1.000000000000000E+02
rt4150	-1.000000000000000E+02
rt4177	-1.000000000000000E+02
rt4178	-1.000000000000000E+02
rt4183	-9.999999999999999E+01
rt4187	-1.000000000000000E+02
rt4202	-1.000000000000000E+02
rt4213	-9.999999999999999E+01
rt4220	-1.000000000000000E+02
rt4228	-1.000000000000000E+02
rt4237	-1.000000000000000E+02
rt4257	-1.000000000000000E+02
rt4267	-1.000000000000000E+02
rt4269	-1.000000000000000E+02
rt4271	-1.000000000000000E+02
rt4274	-1.000000000000000E+02
rt4312	-9.999999999999999E+01
rt4336	-1.000000000000000E+02
rt4363	-1.000000000000000E+02
rt4374	-1.000000000000000E+02
rt4375	-9.999999999999999E+01
rt4380	-1.000000000000000E+02
rt4393	-1.000000000000000E+02
rt4410	-1.000000000000000E+02
rt4445	-1.000000000000000E+02
rt4475	-1.000000000000000E+02
rt4499	-9.999999999999999E+01
rt4502	-1.000000000000000E+02
rt4513	-1.000000000000000E+02
rt4530	-1.000000000000000E+02
rt4544	-1.000000000000000E+02
rt4548	-1.000000000000000E+02
rt4558	-1.000000000000000E+02
rt4576	-1.000000000000000E+02
rt4597	-9.999999999999999E+01
rt4598	-1.000000000000000E+02
rt4609	-1.000000000000000E+02
rt4634	-1.000000000000000E+02
rt4639	-1.000000000000000E+02
rt4649	-1.000000000000000E+02
rt4673	-1.000000000000000E+02
rt4676	-1.000000000000000E+02
rt4680	-1.000000000000000E+02
rt4692	-1.000000000000000E+02
rt4722	-1.000000000000000E+02
rt4769	-9.999999999999999E+01
rt4772	-1.000000000000000E+02
rt4793	-1.000000000000000E+02
rt4822	-1.000000000000000E+02
rt4846	-9.999999999999999E+01
rt4862	-9.999999999999999E+01
rt4871	-1.000000000000000E+02
rt4881	-1.000000000000000E+02
rt4894	-1.000000000000000E+02
rt4896	-1.000000000000000E+02
rt4897	-1.000000000000000E+02
rt4918	-1.000000000000000E+02
rt4919	-1.000000000000000E+02
rt4920	-1.000000000000000E+02
rt4929	-1.000000000000000E+02
rt4934	-1.000000000000000E+02
rt4951	-1.000000000000000E+02
rt4960	-1.000000000000000E+02
rt5001	-1.000000000000000E+02
rt5012	-1.000000000000000E+02
rt5014	-1.000000000000000E+02
rt5017	-1.000000000000000E+02
rt5026	-1.000000000000000E+02
rt5030	-1.000000000000000E+02
rt5045	-1.000000000000000E+02
rt5056	-9.999999999999999E+01
rt5058	-1.000000000000000E+02
rt5064	-1.000000000000000E+02
rt5075	-1.000000000000000E+02
rt5078	-1.000000000000000E+02
rt5142	-1.000000000000000E+02
rt5185	-1.000000000000000E+02
rt5195	-1.000000000000000E+02
rt5212	-9.999999999999999E+01
rt5227	-9.999999999999999E+01
rt5246	-1.000000000000000E+02
rt5249	-1.000000000000000E+02
rt5260	-1.000000000000000E+02
rt5262	-1.000000000000000E+02
rt5301	-1.000000000000000E+02
rt5312	-1.000000000000000E+02
rt5326	-1.000000000000000E+02
rt5340	-1.000000000000000E+02
rt5343	-1.000000000000000E+02
rt5354	-1.000000000000000E+02
rt5356	-9.999999999999999E+01
rt5389	-1.000000000000000E+02
rt5398	-1.000000000000000E+02
rt5402	-1.000000000000000E+02
rt5403	-1.000000000000000E+02
rt5429	-1.000000000000000E+02
rt5445	-1.000000000000000E+02
rt5472	-9.999999999999999E+01
rt5474	-1.000000000000000E+02
rt5526	-1.000000000000000E+02
rt5532	-1.000000000000000E+02
rt5549	-1.000000000000000E+02
rt5562	-1.000000000000000E+02
rt5579	-1.000000000000000E+02
rt5580	-1.000000000000000E+02
rt5611	-1.000000000000000E+02
rt5622	-9.999999999999999E+01
rt5633	-1.000000000000000E+02
rt5634	-1.000000000000000E+02
rt5646	-1.000000000000000E+02
rt5654	-1.000000000000000E+02
rt5655	-1.000000007235076E+02
rt5669	-1.000000000000000E+02
rt5693	-1.000000000000000E+02
rt5702	-1.000000000000000E+02
rt5713	-1.000000000000000E+02
rt5719	-1.000000000000000E+02
rt5734	-1.000000000000000E+02
rt5740	-9.999999999999999E+01
rt5758	-1.000000000000000E+02
rt5764	-1.000000000000000E+02
rt5790	-9.999999999999999E+01
rt5791	-1.000000000000000E+02
rt5794	-9.999999999999999E+01
rt5811	-9.999999999999999E+01
rt5817	-1.000000000000000E+02
rt5828	-1.000000000000000E+02
rt5829	-9.999999999999999E+01
rt5845	-1.000000000000000E+02
rt5869	-1.000000000000000E+02
rt5873	-1.000000000000000E+02
rt5877	-1.000000000000000E+02
rt5884	-1.000000000000000E+02
rt5888	-9.999999999999999E+01
rt5890	-1.000000000000000E+02
rt5891	-1.000000000000000E+02
rt5893	-9.999999999999999E+01
rt5913	-1.000000000000000E+02
rt5934	-1.000000000000000E+02
rt5941	-1.000000000000000E+02
rt5949	-1.000000000000000E+02
rt5972	-1.000000000000000E+02
rt6000	-1.000000000000000E+02
rt6009	-1.000000000000000E+02
rt6050	-1.000000000000000E+02
rt6091	-9.999999999999999E+01
rt6095	-1.000000000000000E+02
rt6131	-1.000000000000000E+02
rt6162	-1.000000000000000E+02
rt6173	-1.000000000000000E+02
rt6177	-1.000000000000000E+02
rt6186	-1.000000000000000E+02
rt6190	-1.000000000000000E+02
rt6191	-9.999999999999999E+01
rt6197	-9.999999999999999E+01
rt6199	-1.000000000000000E+02
rt6208	-1.000000000000000E+02
rt6217	-1.000000000000000E+02
rt6229	-1.000000000000000E+02
rt6232	-1.000000000000000E+02
rt6234	-1.000000000000000E+02
rt6242	-1.000000000000000E+02
rt6247	-1.000000000000000E+02
rt6259	-1.000000000000000E+02
rt6294	-1.000000000000000E+02
rt6341	-1.000000000000000E+02
rt6356	-1.000000000000000E+02
rt6418	-1.000000000000000E+02
rt6434	-9.999999999999999E+01
rt6435	-1.000000000000000E+02
rt6437	-1.000000000000000E+02
rt6468	-9.999999999999999E+01
rt6471	-1.000000000000000E+02
rt6476	-1.000000000000000E+02
rt6488	-1.000000000000000E+02
rt6498	-1.000000000000000E+02
rt6500	-1.000000000000000E+02
rt6510	-1.000000000000000E+02
rt6543	-9.999999999999999E+01
rt6544	-1.000000000000000E+02
rt6546	-1.000000000000000E+02
rt6557	-1.000000000000000E+02
rt6574	-1.000000000000000E+02
rt6588	-1.000000000000000E+02
rt6592	-1.000000000000000E+02
rt6603	-1.000000000000000E+02
rt6665	-1.000000000000000E+02
rt6698	-1.000000000000000E+02
rt6741	-9.999999999999999E+01
rt6753	-1.000000000000000E+02
rt6761	-1.000000000000000E+02
rt6769	-1.000000000000000E+02
rt6791	-9.999999999999999E+01
rt6799	-1.000000000000000E+02
rt6811	-1.000000000000000E+02
rt6816	-1.000000000000000E+02
rt6820	-1.000000000000000E+02
rt6827	-1.000000000000000E+02
rt6850	-1.000000000000000E+02
rt6860	-1.000000000000000E+02
rt6880	-1.000000000000000E+02
rt6908	-9.999999999999999E+01
rt6932	-1.000000000000000E+02
rt6941	-1.000000000000000E+02
rt6960	-1.000000000000000E+02
rt6980	-1.000000000000000E+02
rt6983	-1.000000000000000E+02
rt6998	-9.999999999999999E+01
rt7036	-1.000000000000000E+02
rt7041	-9.999999999999999E+01
rt7052	-1.000000000000000E+02
rt7055	-1.000000000000000E+02
rt7056	-1.000000000000000E+02
rt7067	-1.000000000000000E+02
rt7110	-1.000000000000000E+02
rt7114	-1.000000000000000E+02
rt7115	-1.000000000000000E+02
rt7120	-1.000000000000000E+02
