id,type,val,vLB,vUB
'13GS_c.f','net',0.264630393,0,10000000
'16GS_c.f','net',0.069639498,0,10000000
'2OBUTt_c_m.f','net',0.002248633,-10000000,10000000
'2OBUTt_c_m.r','exc',2.00E-07,0,10000000
'2OXOADPt_c_m.f','net',0.105516141,0,10000000
'AASADy_c.f','net',0.105516139,0,10000000
'AATA_c.f','net',0.105516141,0,10000000
'ABTA_c.f','net',1.00E-07,0,10000000
'ACACT40ir_c.f','net',0.124093549,0,10000000
'ACGAM6PS_c.f','net',0.00625636,0,10000000
'ACGAMPM_c.f','net',0.00625636,0,10000000
'ACGK_m.f','net',0.603829842,0,10000000
'ACHBS_m.f','net',0.094594963,0,10000000
'ACITL_c.f','net',1.05628477,0,10000000
'ACKr_c.f','net',3.72E-07,0,10000000
'ACLS_m.f','net',0.246364626,0,10000000
'ACOADS180_c.f','net',0.036660231,0,10000000
'ACOADS181_c.f','net',0.02498535,0,10000000
'ACOADS182_c.f','net',0.004938272,0,10000000
'ACONTa_m.f','net',1.730561715,0,10000000
'ACONTb_m.f','net',1.730561714,0,10000000
'ACOTAi_m.f','net',0.603829846,0,10000000
'ACS_c.f','net',0.020548206,0,10000000
'ADK1_c.f','net',1.233606151,0,10000000
'ADNK1_c.f','net',0.054062865,0,10000000
'ADPATPt_c_m.f','net',78.07634834,0,10000000
'ADSK_c.f','net',0.02055699,0,10000000
'ADSL1r_c.f','net',0.059740806,0,10000000
'ADSL2i_c.f','net',0.072780426,0,10000000
'ADSS_c.f','net',0.059740805,0,10000000
'AGPAT_c.f','net',0.023727317,0,10000000
'AGPRi_m.f','net',0.603829844,0,10000000
'AGTi_c.f','net',1.00E-07,0,10000000
'AHCi_c.f','net',0.054062866,0,10000000
'AHSERL2_c.f','net',0.020557186,0,10000000
'AICART_c.f','net',0.10377693,0,10000000
'AIRC1_c.f','net',0.072780423,0,10000000
'AKGCITta_m.f','net',229.9079169,0,10000000
'AKGDH_m.f','net',1.246665404,0,10000000
'AKGMALta_m.f','net',234.1237853,0,10000000
'ALAt_c_m.f','net',-0.445259925,-10000000,10000000
'ALAt_c_m.r','exc',0.445260025,0,10000000
'ALATA_L_m.f','net',0.445259923,-10000000,10000000
'ALATA_L_m.r','exc',7635.628134,0,10000000
'ALDD2x_c.f','net',-4.62E-06,0,10000000
'ALDD2y_c.f','net',-4.62E-06,0,10000000
'ALPHNH_c.f','net',-1.87E-07,0,10000000
'ANPRT_c.f','net',0.612607983,0,10000000
'ANS_c.f','net',0.010439115,0,10000000
'ARGN_c.f','net',4.47E-06,0,10000000
'ARGSL_c.f','net',0.061997088,-10000000,10000000
'ARGSL_c.r','exc',1.00E-07,0,10000000
'ARGSS_c.f','net',0.061997089,-10000000,10000000
'ARGSS_c.r','exc',1.00E-07,0,10000000
'ASAD_c.f','net',0.20235043,0,10000000
'ASNS1_c.f','net',0.074519642,0,10000000
'ASPCT_c.f','net',0.076243387,0,10000000
'ASPGLUt_c_m.f','net',3.232442815,0,10000000
'ASPK_c.f','net',0.202350432,0,10000000
'ASPTA_c.f','net',2.610291393,-10000000,10000000
'ASPTA_c.r','exc',11956874.79,0,10000000
'ASPTAi_m.f','net',3.232442784,0,10000000
'ATPM_c.f','net',9.90E-08,0,10000000
'ATPPRT_c.f','net',0.030996503,0,10000000
'ATPS_m.f','net',25.49624118,0,10000000
