id,flux
13GS_c,0.2646304
16GS_c,0.0696395
2OBUTt_c_m,0.0022486
2OXOADPt_c_m,0.1055161
AASADy_c,0.1055161
AATA_c,0.1055161
ABTA_c,0
ACACT40ir_c,0.1240935
ACGAM6PS_c,0.0062564
ACGAMPM_c,0.0062564
ACGK_m,0.6038298
ACHBS_m,0.094595
ACITL_c,1.0562848
ACKr_c,0.0000004
ACLS_m,0.2463646
ACOADS180_c,0.0366602
ACOADS181_c,0.0249854
ACOADS182_c,0.0049383
ACONTa_m,1.7305617
ACONTb_m,1.7305617
ACOTAi_m,0.6038298
ACS_c,0.0205482
ADK1_c,1.2336062
ADNK1_c,0.0540629
ADPATPt_c_m,78.0763483
ADSK_c,0.020557
ADSL1r_c,0.0597408
ADSL2i_c,0.0727804
ADSS_c,0.0597408
AGPAT_c,0.0237273
AGPRi_m,0.6038298
AGTi_c,0
AHCi_c,0.0540629
AHSERL2_c,0.0205572
AICART_c,0.1037769
AIRC1_c,0.0727804
AKGCITta_m,229.9079169
AKGDH_m,1.2466654
AKGMALta_m,234.1237853
ALAt_c_m,-0.4452599
ALATA_L_m,0.4452599
ALDD2x_c,0
ALDD2y_c,0
ALPHNH_c,0
ANPRT_c,0.612608
ANS_c,0.0104391
ARGN_c,0.0000045
ARGSL_c,0.0619971
ARGSS_c,0.0619971
ASAD_c,0.2023504
ASNS1_c,0.0745196
ASPCT_c,0.0762434
ASPGLUt_c_m,3.2324428
ASPK_c,0.2023504
ASPTA_c,2.6102914
ASPTAi_m,3.2324428
ATPM_c,0
ATPPRT_c,0.0309965
ATPS_m,25.4962412
BIOMASS,0.3865768
BPNT_c,0.020557
C14STR_c,0.0206823
C22STDSy_c,0.0206822
C24STR_c,0.0206822
C3STDH1_c,0.0206822
C3STDH2_c,0.0206822
C3STKR1_c,0.0206823
C3STKR2_c,0.0206822
C4STMO1_c,0.0206822
C4STMO2_c,0.0206822
C4STMO3_c,0.0206822
C4STMO4_c,0.0206823
C5STDS_c,0.0206822
C8STI_c,0.0206822
CA2t_c_e,0.0004971
CBL_c,0
CBPS_c,0.1382405
CDPDAGS_c,0.0216715
CHORM_c,0.091865
CHORS_c,0.1023041
CHTNS_c,0.0062564
CITICITta_m,0
CITMALta_m,-228.8516319
CO2t_c_e,16.6385884
CO2t_c_m,-8.9446684
compACYLCOA_c,0.0556222
CS_m,2.7868465
CTPS2_c,0.0497451
CU2t_c_e,0.0000441
CYSS_c,0
CYSTGL_c,0.0022486
CYSTS_c,0.0022486
CYTK1_c,0.0216715
DDPA_c,0.1023041
DGAT_c,0.0040567
DHAD1_m,0.2463646
DHAD2_m,0.094595
DHFRi_c,0.0023229
DHORDfum_c,0.0762434
DHORTS_c,0.0762434
DHQS_c,0.1023041
DHQTi_c,0.1023041
DMATT_c,0.0413645
DOLPMMT_c,0.1894806
DOLPMT_c,0.1894806
DPMVD_c,0.1240935
DTMPK_c,0.0023229
DUTPDP_c,0.0023229
ENO_c,3.9475431
ETFOXRq9_m,0.474063
EX_ca2_e,-0.0004971
EX_co2_e,16.6385884
EX_cu2_e,-0.0000441
EX_fe2_e,-0.0002567
EX_glc__D_e,-5.3317693
EX_h_e,-2.5650245
EX_h2o_e,-24.0402373
EX_k_e,-0.2333571
EX_mg2_e,-0.024589
EX_mn2_e,-0.0000363
EX_nh4_e,-2.756317
EX_o2_e,-15.9684414
EX_pi_e,-0.2115399
