List of gene ontology (GO) terms and the difference in abundances (RT - SC) between proteins with them.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,(RT abundance) - (SC abundance) / sqrt(2)
GO Term Identifier,GO Term Obsolete,GO Term Name,GO Term Namespace,GO Term Description,Parents Name,Parents Identifier,Parents Namespace,Parents Description,kids,median dist from 45-degree,proteins w/ term or its kids,higher RT or SC?,is metabolic process?,involved in generating precursor metabolites/energy?,kids2,net dist from 45-degree
GO:0000001,FALSE,mitochondrion inheritance,biological_process,"The distribution of mitochondria, including the mitochondrial genome, into daughter cells after mitosis or meiosis, mediated by interactions between mitochondria and the cytoskeleton.",biological_process,GO:0008150,biological_process,"A biological process is the execution of a genetically-encoded biological module or program. It consists of all the steps required to achieve the specific biological objective of the module. A biological process is accomplished by a particular set of molecular functions carried out by specific gene products (or macromolecular complexes), often in a highly regulated manner and in a particular temporal sequence.",GO:0000001,2.3648E-05,1,RT,#CALC!,,#CALC!,2.3648E-05
GO:0000002,FALSE,mitochondrial genome maintenance,biological_process,The maintenance of the structure and integrity of the mitochondrial genome; includes replication and segregation of the mitochondrial chromosome.,biological_process,GO:0008150,biological_process,"A biological process is the execution of a genetically-encoded biological module or program. It consists of all the steps required to achieve the specific biological objective of the module. A biological process is accomplished by a particular set of molecular functions carried out by specific gene products (or macromolecular complexes), often in a highly regulated manner and in a particular temporal sequence.",GO:0000002; GO:0006264; GO:0032042; GO:0032043; GO:0043504; GO:0090297; GO:1901858,2.60212E-05,5,RT,#CALC!,"GO:0006264,GO:0032042,GO:0032043,GO:0043504,GO:0090297,GO:1901858",GO:0006264; GO:0032042; GO:0032043; GO:0043504; GO:0090297; GO:1901858,-0.000930871
GO:0000006,FALSE,high-affinity zinc transmembrane transporter activity,molecular_function,"Enables the transfer of zinc ions (Zn2+) from one side of a membrane to the other, probably powered by proton motive force. In high-affinity transport the transporter is able to bind the solute even if it is only present at very low concentrations.",biological_process,GO:0008150,biological_process,"A biological process is the execution of a genetically-encoded biological module or program. It consists of all the steps required to achieve the specific biological objective of the module. A biological process is accomplished by a particular set of molecular functions carried out by specific gene products (or macromolecular complexes), often in a highly regulated manner and in a particular temporal sequence.",GO:0000006,0,0,equal in both,#CALC!,,#CALC!,0
GO:0000009,FALSE,"alpha-1,6-mannosyltransferase activity",molecular_function,"Catalysis of the transfer of a mannose residue to an oligosaccharide, forming an alpha-(1->6) linkage.","alpha-1,6-mannosyltransferase activity",GO:0000009,molecular_function,"Catalysis of the transfer of a mannose residue to an oligosaccharide, forming an alpha-(1->6) linkage.",GO:0000009; GO:0033164,-2.65459E-06,2,SC,#CALC!,GO:0033164,GO:0033164,-5.30918E-06
GO:0000010,FALSE,trans-hexaprenyltranstransferase activity,molecular_function,"Catalysis of the reaction: (2E,6E)-farnesyl diphosphate + 4 isopentenyl diphosphate = 4 diphosphate + all-trans-heptaprenyl diphosphate.",catalytic activity,GO:0003824,molecular_function,"Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic.",GO:0000010,2.98224E-05,1,RT,#CALC!,,#CALC!,2.98224E-05
GO:0000011,FALSE,vacuole inheritance,biological_process,"The distribution of vacuoles into daughter cells after mitosis or meiosis, mediated by interactions between vacuoles and the cytoskeleton.",biological_process,GO:0008150,biological_process,"A biological process is the execution of a genetically-encoded biological module or program. It consists of all the steps required to achieve the specific biological objective of the module. A biological process is accomplished by a particular set of molecular functions carried out by specific gene products (or macromolecular complexes), often in a highly regulated manner and in a particular temporal sequence.",GO:0000011,-0.000360421,3,SC,#CALC!,,#CALC!,-0.000774663
GO:0045333,FALSE,cellular respiration,biological_process,The enzymatic release of energy from inorganic and organic compounds (especially carbohydrates and fats) which either requires oxygen (aerobic respiration) or does not (anaerobic respiration).,biological_process,GO:0008150,biological_process,"A biological process is the execution of a genetically-encoded biological module or program. It consists of all the steps required to achieve the specific biological objective of the module. A biological process is accomplished by a particular set of molecular functions carried out by specific gene products (or macromolecular complexes), often in a highly regulated manner and in a particular temporal sequence.",GO:0006099; GO:0006120; GO:0006121; GO:0006122; GO:0006123; GO:0009060; GO:0009061; GO:0022904; GO:0042773; GO:0042775; GO:0042776; GO:0043457; GO:0043490; GO:0045333; GO:1901856,0.000177306,45,RT,1,"GO:0006099,GO:0006120,GO:0006121,GO:0006122,GO:0006123,GO:0009060,GO:0009061,GO:0022904,GO:0042773,GO:0042775,GO:0042776,GO:0043457,GO:0043490,GO:1901856",GO:0006099; GO:0006120; GO:0006121; GO:0006122; GO:0006123; GO:0009060; GO:0009061; GO:0022904; GO:0042773; GO:0042775; GO:0042776; GO:0043457; GO:0043490; GO:1901856,0.024567789
GO:0000014,FALSE,single-stranded DNA endodeoxyribonuclease activity,molecular_function,Catalysis of the hydrolysis of ester linkages within a single-stranded deoxyribonucleic acid molecule by creating internal breaks.,catalytic activity,GO:0003824,molecular_function,"Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic.",GO:0000014,0,0,equal in both,#CALC!,,#CALC!,0
GO:0000015,FALSE,phosphopyruvate hydratase complex,cellular_component,"A multimeric enzyme complex, usually a dimer or an octamer, that catalyzes the conversion of 2-phospho-D-glycerate to phosphoenolpyruvate and water.",catalytic complex,GO:1902494,cellular_component,A protein complex which is capable of catalytic activity.,GO:0000015,0.003253131,1,RT,#CALC!,,#CALC!,0.003253131
