rxn_name,subsystem,in iRhtoC,in yeastGEM_hvd,gpr,bounds,stoichiometry
FMNRx_c,Unassigned,1,1,"{'GSM_iSace1144_rba': 'YLR011W', 'iRhtoC': 'rt8485'}",,
FMNRx2_c,Unassigned,1,1,"{'GSM_iSace1144_rba': 'YLR011W', 'iRhtoC': 'rt8485'}",,
RLFC2O_c,Methylglyoxal metabolism,1,1,"{'GSM_iSace1144_rba': 'YDL174C', 'iRhtoC': 'rt4960 and rt0434'}",,
RLFC2O_m,Pyruvate metabolism,1,1,"{'GSM_iSace1144_rba': 'YDL178W', 'iRhtoC': '(rt8275 or rt4871) and rt0434'}",,
BTDDH_c,Butanoate metabolism,1,1,"{'GSM_iSace1144_rba': 'YAL060W', 'iRhtoC': 'rt5273'}",,
LLFC2O_c,Methylglyoxal metabolism,1,1,"{'GSM_iSace1144_rba': '(YEL039C and YML054C) or (YJR048W and YML054C)', 'iRhtoC': 'rt8239 or rt0745'}",,
13GS_c,Starch and sucrose metabolism,1,1,"{'GSM_iSace1144_rba': '(YLR342W and YPR165W) or (YGR032W and YPR165W)', 'iRhtoC': 'rt7616'}",,
16GS_c,Cell wall biosynthesis,1,1,"{'GSM_iSace1144_rba': 'YGR143W or YPR159W', 'iRhtoC': 'rt3279 or rt0150'}",,
PRMICI_c,Histidine metabolism,1,1,"{'GSM_iSace1144_rba': 'YIL020C', 'iRhtoC': 'rt3242'}",,
DHPPDA2_c,Riboflavin metabolism,1,1,"{'GSM_iSace1144_rba': 'YOL066C', 'iRhtoC': 'rt7138'}",,
DRAPPRy_c,Riboflavin metabolism,1,1,"{'GSM_iSace1144_rba': 'YBR153W', 'iRhtoC': 'rt8469'}",,
ACHBS_m,"Valine, leucine and isoleucine metabolism",1,1,"{'GSM_iSace1144_rba': '(YCL009C and YMR108W) or YMR108W', 'iRhtoC': '(rt1432 and rt7317) or rt7317'}",,
HPPK2_m,Folate metabolism,1,1,"{'GSM_iSace1144_rba': 'YNL256W', 'iRhtoC': 'rt6009'}",,
AATA_c,Lysine metabolism,1,1,"{'GSM_iSace1144_rba': 'YER152C or YGL202W or YJL060W', 'iRhtoC': 'rt7471 or rt0172 or rt4039'}",,
DPR_c,Pantothenate and CoA biosynthesis,1,1,"{'GSM_iSace1144_rba': 'YHR063C', 'iRhtoC': 'rt5909 or rt8154'}",,
IPPMIb_c,"Valine, leucine and isoleucine metabolism",1,1,"{'GSM_iSace1144_rba': 'YGL009C', 'iRhtoC': 'rt6546'}",,
UNK3_c,Cysteine and methionine metabolism,1,1,"{'GSM_iSace1144_rba': 'YHR208W or YJR148W or YGL202W or YHR137W', 'iRhtoC': 'rt6242 or rt5646 or rt7471 or rt7697'}",,
HCITR_m,Lysine metabolism,1,1,"{'GSM_iSace1144_rba': 'YDR234W', 'iRhtoC': 'rt7648'}",,
MCITS_m,Citric acid cycle,1,1,"{'GSM_iSace1144_rba': 'YPR001W', 'iRhtoC': 'rt2960 or rt2963'}",,
OMCDC_c,Cysteine and methionine metabolism,1,1,"{'GSM_iSace1144_rba': 'YJR148W', 'iRhtoC': 'rt5646'}",,
OMCDC_m,Cysteine and methionine metabolism,1,1,"{'GSM_iSace1144_rba': 'YHR208W', 'iRhtoC': 'rt6242'}",,
BPNT_c,Sulfur metabolism,1,1,"{'GSM_iSace1144_rba': 'YOL064C', 'iRhtoC': 'rt2305'}",,
PDE1_c,Purine metabolism,1,1,"{'GSM_iSace1144_rba': 'YGL248W or YOR360C', 'iRhtoC': 'rt5322 or rt3419'}",,
PDE2_c,Purine metabolism,1,1,"{'GSM_iSace1144_rba': 'YOR360C', 'iRhtoC': 'rt5322 or rt3419'}",,
PDE3_c,Purine metabolism,1,1,"{'GSM_iSace1144_rba': 'YOR360C', 'iRhtoC': 'rt3419'}",,
PDE4_c,Purine metabolism,1,1,"{'GSM_iSace1144_rba': 'YOR360C', 'iRhtoC': 'rt3419'}",,
PDE5_c,Purine metabolism,1,1,"{'GSM_iSace1144_rba': 'YOR360C', 'iRhtoC': 'rt3419'}",,
DB4PS_c,Riboflavin metabolism,1,1,"{'GSM_iSace1144_rba': 'YDR487C', 'iRhtoC': 'rt8298'}",,
DHQTi_c,"Phenylalanine, tyrosine and tryptophan metabolism",1,1,"{'GSM_iSace1144_rba': 'YDR127W', 'iRhtoC': 'rt5884 or rt2204'}",,
DHQS_c,"Phenylalanine, tyrosine and tryptophan metabolism",1,1,"{'GSM_iSace1144_rba': 'YDR127W', 'iRhtoC': 'rt5884 or rt3937'}",,
3DSPHR_r,Sphingolipid biosynthesis,1,1,"{'GSM_iSace1144_rba': 'YBR265W', 'iRhtoC': 'rt1611'}",,
DDPA_c,"Phenylalanine, tyrosine and tryptophan metabolism",1,1,"{'GSM_iSace1144_rba': 'YBR249C or YDR035W', 'iRhtoC': 'rt2234 or (rt2234 and rt3787)'}",,
HKYNH_c,Tryptophan metabolism,1,1,"{'GSM_iSace1144_rba': 'YLR231C', 'iRhtoC': 'rt0357'}",,
HACD140i_x,Fatty acid degradation,1,1,"{'GSM_iSace1144_rba': 'YKR009C', 'iRhtoC': 'rt2994 or rt7916'}",,
3HAO_c,Tryptophan metabolism,1,1,"{'GSM_iSace1144_rba': 'YJR025C', 'iRhtoC': 'rt0234'}",,
3IPM3MT_c,Unassigned,1,1,"{'GSM_iSace1144_rba': 'YER175C', 'iRhtoC': 'rt6691'}",,
IPPMIa_c,"Valine, leucine and isoleucine metabolism",1,1,"{'GSM_iSace1144_rba': 'YGL009C', 'iRhtoC': 'rt6546'}",,
