id	rxn_src	dir	enz	protein_stoich	status	comments	MW (g/mmol)
RXN-12AMANTF_g_FWD-rt2093	12AMANTF_g	FWD	rt2093	rt2093:1	protStoichAsgnAuto		48.25209
RXN-12AMANTF_g_FWD-rt7201	12AMANTF_g	FWD	rt7201	rt7201:1	protStoichAsgnAuto		37.362880000000004
RXN-13BDGLUCANt_c_en_FWD-SPONT	13BDGLUCANt_c_en	FWD	SPONT	zeroCost	protStoichAsgnManual		
RXN-13BDGLUCANt_c_en_REV-SPONT	13BDGLUCANt_c_en	REV	SPONT	zeroCost	protStoichAsgnManual		
RXN-13BGH_e_FWD-rt5185	13BGH_e	FWD	rt5185	rt5185:1	protStoichAsgnAuto		86.06639999999999
RXN-13GS_c_FWD-rt7616	13GS_c	FWD	rt7616	rt7616:1	protStoichAsgnAuto		202.03608999999997
RXN-14BMANTF_c_FWD-rt6298	14BMANTF_c	FWD	rt6298	rt6298:1	protStoichAsgnAuto		55.59587999999999
RXN-14DMLANOSTt_c_e_FWD-SPONT	14DMLANOSTt_c_e	FWD	SPONT	zeroCost	protStoichAsgnAuto		
RXN-14DMLANOSTt_c_e_REV-SPONT	14DMLANOSTt_c_e	REV	SPONT	zeroCost	protStoichAsgnAuto		
RXN-16GS_c_FWD-rt0150	16GS_c	FWD	rt0150	rt0150:1	protStoichAsgnAuto		52.96475000000001
RXN-16GS_c_FWD-rt3279	16GS_c	FWD	rt3279	rt3279:1	protStoichAsgnAuto		58.63476
RXN-1AGPCt_l_rm_FWD-SPONT	1AGPCt_l_rm	FWD	SPONT	zeroCost	protStoichAsgnAuto		
RXN-1AGPCt_l_rm_REV-SPONT	1AGPCt_l_rm	REV	SPONT	zeroCost	protStoichAsgnAuto		
RXN-1AGPEt_l_rm_FWD-SPONT	1AGPEt_l_rm	FWD	SPONT	zeroCost	protStoichAsgnAuto		
RXN-1AGPEt_l_rm_REV-SPONT	1AGPEt_l_rm	REV	SPONT	zeroCost	protStoichAsgnAuto		
RXN-1MLCLAT_mm_FWD-rt8106	1MLCLAT_mm	FWD	rt8106	rt8106:1	protStoichAsgnAuto		33.74957
RXN-1MLCLAT_mm_REV-rt8106	1MLCLAT_mm	REV	rt8106	rt8106:1	protStoichAsgnAuto		33.74957
RXN-2DDA7Pt_c_m_FWD-SPONT	2DDA7Pt_c_m	FWD	SPONT	zeroCost	protStoichAsgnManual		
RXN-2DDA7Pt_c_m_REV-SPONT	2DDA7Pt_c_m	REV	SPONT	zeroCost	protStoichAsgnManual		
RXN-2DHPt_c_m_FWD-SPONT	2DHPt_c_m	FWD	SPONT	zeroCost	protStoichAsgnManual		
RXN-2DHPt_c_m_REV-SPONT	2DHPt_c_m	REV	SPONT	zeroCost	protStoichAsgnManual		
RXN-2DOXG6PP_c_FWD-rt0208	2DOXG6PP_c	FWD	rt0208	rt0208:1	protStoichAsgnAuto		26.685189999999995
RXN-2DOXG6PP_c_FWD-rt5045	2DOXG6PP_c	FWD	rt5045	rt5045:1	protStoichAsgnAuto		28.469700000000003
RXN-2MBACt_c_e_FWD-SPONT	2MBACt_c_e	FWD	SPONT	zeroCost	protStoichAsgnAuto		
RXN-2MBALDt_c_e_FWD-SPONT	2MBALDt_c_e	FWD	SPONT	zeroCost	protStoichAsgnAuto		
RXN-2MBALDt_c_e_REV-SPONT	2MBALDt_c_e	REV	SPONT	zeroCost	protStoichAsgnAuto		
RXN-2MBALDt_c_m_FWD-SPONT	2MBALDt_c_m	FWD	SPONT	zeroCost	protStoichAsgnAuto		
RXN-2MBALDt_c_m_REV-SPONT	2MBALDt_c_m	REV	SPONT	zeroCost	protStoichAsgnAuto		
RXN-2MBTOHt_c_e_FWD-SPONT	2MBTOHt_c_e	FWD	SPONT	zeroCost	protStoichAsgnManual		
RXN-2MBTOHt_c_e_REV-SPONT	2MBTOHt_c_e	REV	SPONT	zeroCost	protStoichAsgnManual		
RXN-2MBTOHt_c_m_FWD-SPONT	2MBTOHt_c_m	FWD	SPONT	zeroCost	protStoichAsgnManual		
RXN-2MBTOHt_c_m_REV-SPONT	2MBTOHt_c_m	REV	SPONT	zeroCost	protStoichAsgnManual		
RXN-2OBUTt_c_m_FWD-SPONT	2OBUTt_c_m	FWD	SPONT	zeroCost	protStoichAsgnAuto		
RXN-2OBUTt_c_m_REV-SPONT	2OBUTt_c_m	REV	SPONT	zeroCost	protStoichAsgnAuto		
RXN-2OGMAH_c_FWD-rt6557	2OGMAH_c	FWD	rt6557	rt6557:1	protStoichAsgnAuto		33.7838
